method,step,epoch,layer,log_pearson,log_spearman,log_ratio_spread,A_raw,A_residual,R,config_fingerprint
syn_diag,0,1,conv1,0.16031116976225188,0.10653052853627096,1.2994822787261526,1.0280663216037844,1.2985583577207052,1.2631075743196731,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,0,1,conv2,0.7752312324421584,0.836033059109445,1.7337019591265879,2.7188579681276126,1.6326074292956698,0.6004754380089934,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,0,1,fc1,0.717078498470318,0.7633442378490183,6.48437272295118,8.670236175638045,13.559495465920444,1.5639130458776223,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,0,1,fc2,0.7944606759206226,0.7937935791233202,4.169168525002583,9.740898564976705,13.818238969763657,1.4185794952682276,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,50,1,conv1,0.15439072889470218,0.125512715340443,1.373937755804227,1.2219294170112414,1.3718192451715574,1.1226665190915337,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,50,1,conv2,0.7834543988372838,0.8041480718503095,1.707263618899752,2.5607474781000037,1.6144791021469223,0.6304718118261378,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,50,1,fc1,0.748480229613802,0.7441299527564306,5.67157042394852,8.705740262084138,13.520279053156653,1.553030373768574,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,50,1,fc2,0.8220281187750688,0.7695736865575841,4.105173702387207,9.571110125741555,7.981409101269581,0.8339063072530674,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,100,1,conv1,0.32550988998014013,0.4125043947029181,1.4548143724099414,1.5697809573748205,1.452211613956463,0.9251046186628665,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,100,1,conv2,0.7422415310517254,0.8154454184163669,1.611526760786643,2.6278242938875174,1.5838489216593168,0.602722535651812,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
syn_diag,100,1,fc1,0.7161302181235888,0.7485501517598087,5.727692231972019,8.796302116555731,13.336070520646139,1.516099645502853,c56078eeb31f5d72b5322fae4f945230067f289331a27b29171056ce4ca72109
