contrast,metric,seed,difference,mean,std,n
syn_adam_floor - dp_adam,final_accuracy,42,-0.125,,,
syn_adam_floor - dp_adam,final_accuracy,all,,-0.125,,1.0
syn_adam_floor - dp_adam,best_accuracy,42,-0.0625,,,
syn_adam_floor - dp_adam,best_accuracy,all,,-0.0625,,1.0
syn_adam_floor - dp_adam,late_mean_accuracy,42,-0.125,,,
syn_adam_floor - dp_adam,late_mean_accuracy,all,,-0.125,,1.0
syn_adam_floor - dp_adam,final_test_loss,42,0.0023365020751953125,,,
syn_adam_floor - dp_adam,final_test_loss,all,,0.0023365020751953125,,1.0
syn_adam_floor - dp_adam,epsilon_spent,42,0.0,,,
syn_adam_floor - dp_adam,epsilon_spent,all,,0.0,,1.0
syn_adam_floor - dp_adam,final_update_norm,42,0.00044204297999142494,,,
syn_adam_floor - dp_adam,final_update_norm,all,,0.00044204297999142494,,1.0
syn_adam_floor - dp_adam,final_first_moment_norm,42,-2.880526642456971e-05,,,
syn_adam_floor - dp_adam,final_first_moment_norm,all,,-2.880526642456971e-05,,1.0
syn_adam_floor - dp_adam,final_denominator_q05,42,0.3941769927740097,,,
syn_adam_floor - dp_adam,final_denominator_q05,all,,0.3941769927740097,,1.0
syn_adam_floor - dp_adam,final_denominator_q50,42,0.0557369589805603,,,
syn_adam_floor - dp_adam,final_denominator_q50,all,,0.0557369589805603,,1.0
syn_adam_floor - dp_adam,final_denominator_q95,42,-0.3690016478300091,,,
syn_adam_floor - dp_adam,final_denominator_q95,all,,-0.3690016478300091,,1.0
syn_adam_floor - dp_adam,final_max_inverse_denominator,42,-85.55859207537429,,,
syn_adam_floor - dp_adam,final_max_inverse_denominator,all,,-85.55859207537429,,1.0
syn_adam_ema_floor - syn_adam_floor,final_accuracy,42,0.0,,,
syn_adam_ema_floor - syn_adam_floor,final_accuracy,all,,0.0,,1.0
syn_adam_ema_floor - syn_adam_floor,best_accuracy,42,0.0,,,
syn_adam_ema_floor - syn_adam_floor,best_accuracy,all,,0.0,,1.0
syn_adam_ema_floor - syn_adam_floor,late_mean_accuracy,42,0.0,,,
syn_adam_ema_floor - syn_adam_floor,late_mean_accuracy,all,,0.0,,1.0
syn_adam_ema_floor - syn_adam_floor,final_test_loss,42,1.7881393432617188e-06,,,
syn_adam_ema_floor - syn_adam_floor,final_test_loss,all,,1.7881393432617188e-06,,1.0
syn_adam_ema_floor - syn_adam_floor,epsilon_spent,42,0.0,,,
syn_adam_ema_floor - syn_adam_floor,epsilon_spent,all,,0.0,,1.0
syn_adam_ema_floor - syn_adam_floor,final_update_norm,42,-8.717717644990408e-08,,,
syn_adam_ema_floor - syn_adam_floor,final_update_norm,all,,-8.717717644990408e-08,,1.0
syn_adam_ema_floor - syn_adam_floor,final_first_moment_norm,42,-2.7705198135663522e-09,,,
syn_adam_ema_floor - syn_adam_floor,final_first_moment_norm,all,,-2.7705198135663522e-09,,1.0
syn_adam_ema_floor - syn_adam_floor,final_denominator_q05,42,0.0,,,
syn_adam_ema_floor - syn_adam_floor,final_denominator_q05,all,,0.0,,1.0
syn_adam_ema_floor - syn_adam_floor,final_denominator_q50,42,1.7285346984863281e-06,,,
syn_adam_ema_floor - syn_adam_floor,final_denominator_q50,all,,1.7285346984863281e-06,,1.0
syn_adam_ema_floor - syn_adam_floor,final_denominator_q95,42,-3.5762786865234375e-06,,,
syn_adam_ema_floor - syn_adam_floor,final_denominator_q95,all,,-3.5762786865234375e-06,,1.0
syn_adam_ema_floor - syn_adam_floor,final_max_inverse_denominator,42,0.0,,,
syn_adam_ema_floor - syn_adam_floor,final_max_inverse_denominator,all,,0.0,,1.0
syn_adam_ema_floor - dp_adam,final_accuracy,42,-0.125,,,
syn_adam_ema_floor - dp_adam,final_accuracy,all,,-0.125,,1.0
syn_adam_ema_floor - dp_adam,best_accuracy,42,-0.0625,,,
syn_adam_ema_floor - dp_adam,best_accuracy,all,,-0.0625,,1.0
syn_adam_ema_floor - dp_adam,late_mean_accuracy,42,-0.125,,,
syn_adam_ema_floor - dp_adam,late_mean_accuracy,all,,-0.125,,1.0
syn_adam_ema_floor - dp_adam,final_test_loss,42,0.0023382902145385742,,,
syn_adam_ema_floor - dp_adam,final_test_loss,all,,0.0023382902145385742,,1.0
syn_adam_ema_floor - dp_adam,epsilon_spent,42,0.0,,,
syn_adam_ema_floor - dp_adam,epsilon_spent,all,,0.0,,1.0
syn_adam_ema_floor - dp_adam,final_update_norm,42,0.00044195580281497504,,,
syn_adam_ema_floor - dp_adam,final_update_norm,all,,0.00044195580281497504,,1.0
syn_adam_ema_floor - dp_adam,final_first_moment_norm,42,-2.8808036944383275e-05,,,
syn_adam_ema_floor - dp_adam,final_first_moment_norm,all,,-2.8808036944383275e-05,,1.0
syn_adam_ema_floor - dp_adam,final_denominator_q05,42,0.3941769927740097,,,
syn_adam_ema_floor - dp_adam,final_denominator_q05,all,,0.3941769927740097,,1.0
syn_adam_ema_floor - dp_adam,final_denominator_q50,42,0.05573868751525879,,,
syn_adam_ema_floor - dp_adam,final_denominator_q50,all,,0.05573868751525879,,1.0
syn_adam_ema_floor - dp_adam,final_denominator_q95,42,-0.36900522410869563,,,
syn_adam_ema_floor - dp_adam,final_denominator_q95,all,,-0.36900522410869563,,1.0
syn_adam_ema_floor - dp_adam,final_max_inverse_denominator,42,-85.55859207537429,,,
syn_adam_ema_floor - dp_adam,final_max_inverse_denominator,all,,-85.55859207537429,,1.0
