method,metric,mean,std,n
syn_adam_floor,final_accuracy,0.1875,,1
syn_adam_floor,best_accuracy,0.25,,1
syn_adam_floor,late_mean_accuracy,0.1875,,1
syn_adam_floor,final_test_loss,2.2889830470085144,,1
syn_adam_floor,epsilon_spent,0.9941875233938002,,1
syn_adam_floor,final_update_norm,0.2289141062789496,,1
syn_adam_floor,final_first_moment_norm,156.49323897698758,,1
syn_adam_floor,final_denominator_q05,0.68359375,,1
syn_adam_floor,final_denominator_q50,0.683595597743988,,1
syn_adam_floor,final_denominator_q95,0.6837590306997299,,1
syn_adam_floor,final_max_inverse_denominator,1.4628571428571429,,1
syn_adam_ema_floor,final_accuracy,0.1875,,1
syn_adam_ema_floor,best_accuracy,0.25,,1
syn_adam_ema_floor,late_mean_accuracy,0.1875,,1
syn_adam_ema_floor,final_test_loss,2.2889848351478577,,1
syn_adam_ema_floor,epsilon_spent,0.9941875233938002,,1
syn_adam_ema_floor,final_update_norm,0.22891401910177314,,1
syn_adam_ema_floor,final_first_moment_norm,156.49323897421706,,1
syn_adam_ema_floor,final_denominator_q05,0.68359375,,1
syn_adam_ema_floor,final_denominator_q50,0.6835973262786865,,1
syn_adam_ema_floor,final_denominator_q95,0.6837554544210434,,1
syn_adam_ema_floor,final_max_inverse_denominator,1.4628571428571429,,1
dp_adam,final_accuracy,0.3125,,1
dp_adam,best_accuracy,0.3125,,1
dp_adam,late_mean_accuracy,0.3125,,1
dp_adam,final_test_loss,2.286646544933319,,1
dp_adam,epsilon_spent,0.9941875233938002,,1
dp_adam,final_update_norm,0.22847206329895817,,1
dp_adam,final_first_moment_norm,156.493267782254,,1
dp_adam,final_denominator_q05,0.2894167572259903,,1
dp_adam,final_denominator_q50,0.6278586387634277,,1
dp_adam,final_denominator_q95,1.052760678529739,,1
dp_adam,final_max_inverse_denominator,87.02144921823144,,1
