seed,method,final_accuracy,best_accuracy,late_mean_accuracy,final_test_loss,epsilon_spent,final_update_norm,final_first_moment_norm,final_denominator_q05,final_denominator_q50,final_denominator_q95,final_max_inverse_denominator
42,syn_adam_floor,0.1875,0.25,0.1875,2.2889830470085144,0.9941875233938002,0.2289141062789496,156.49323897698758,0.68359375,0.683595597743988,0.6837590306997299,1.4628571428571429
42,syn_adam_ema_floor,0.1875,0.25,0.1875,2.2889848351478577,0.9941875233938002,0.22891401910177314,156.49323897421706,0.68359375,0.6835973262786865,0.6837554544210434,1.4628571428571429
42,dp_adam,0.3125,0.3125,0.3125,2.286646544933319,0.9941875233938002,0.22847206329895817,156.493267782254,0.2894167572259903,0.6278586387634277,1.052760678529739,87.02144921823144
