method,learning_rate,layer,H_q50,H_q10,H_q90,signal_retention,noise_retention,effective_signal_lr,relmse_filtered
dp_sgd,0.5,conv1,1.0,1.0,1.0,1.0,1.0,0.5,885.2717639368215
dp_sgd,0.5,conv2,1.0,1.0,1.0,1.0,1.0,0.5,27664.95909462662
dp_sgd,0.5,fc1,1.0,1.0,1.0,1.0,1.0,0.5,954059.8192940024
dp_sgd,0.5,fc2,1.0,1.0,1.0,1.0,1.0,0.5,7408.762350286257
dp_fisher_wiener_adaptive_beta,0.5,conv1,2.2726087536284467e-06,1.260261905144944e-06,2.18959487028769e-05,4.889344936325399e-10,1.207485603717096e-10,1.1040650445854351e-05,0.9998943469538619
dp_fisher_wiener_adaptive_beta,0.5,conv2,0.0008346251852344,0.0002660394849954,0.0108211232349276,0.30395018721236694,0.0034768725249335,0.27511945602337257,228.70841766786947
dp_fisher_wiener_adaptive_beta,0.5,fc1,5.7059679647863966e-08,5.6358405942091856e-08,5.829984637273356e-08,0.1333089366288889,9.402694126225821e-05,0.1754244694872063,47.36090055183031
dp_fisher_wiener_adaptive_beta,0.5,fc2,1.7044985725078732e-05,2.1942801708974e-08,3.453025819908362e-05,0.30760427045513805,0.0048531715460192,0.2691639040132192,48.906297987883754
dp_fisher_wiener_adaptive_beta,1.0,conv1,2.274126586598868e-06,1.26062147387529e-06,2.1920248400419927e-05,5.195923159427189e-10,1.2087997769912166e-10,2.2780024886597654e-05,0.9999734329088081
dp_fisher_wiener_adaptive_beta,1.0,conv2,0.0008377633930649,0.0002670120564289,0.0108521535061299,0.34063472162208625,0.003486616402558,0.5835269015697404,169.81798979949315
dp_fisher_wiener_adaptive_beta,1.0,fc1,5.7059036606688096e-08,5.639052282901957e-08,5.826516513707247e-08,0.16767768305017025,9.570898246146896e-05,0.3709020380199663,62.532727382034736
dp_fisher_wiener_adaptive_beta,1.0,fc2,1.6800763660285156e-05,2.2005726663110186e-08,3.513186311465688e-05,0.3871243569284152,0.0050682535337652004,0.5840570655766385,23.987840720079344
dp_fisher_wiener_adaptive_beta,5.0,conv1,2.323794092262688e-06,1.2695692191755371e-06,2.2772166266804545e-05,5.728035901011543e-10,1.253890305501558e-10,0.00011964450115534999,1.0000282183378333
dp_fisher_wiener_adaptive_beta,5.0,conv2,0.0009141000045929,0.0002840078406734,0.011864744964987,0.4950211564427699,0.00370027146407635,3.5013736758600644,260.9407361355034
dp_fisher_wiener_adaptive_beta,5.0,fc1,5.7013686216578214e-08,5.633540958172035e-08,5.82449501962401e-08,0.2077002361860867,0.00010182968554086223,1.990937024548567,409.4947032157771
dp_fisher_wiener_adaptive_beta,5.0,fc2,6.63931314193178e-06,2.08789039390922e-08,5.8492354582995176e-05,0.5802052970646485,0.0059285463891334995,3.5568708877046014,13.463991861946702
