comparison,seed,metric,adaptive,dp_sgd,delta,mean,sd
adaptive_lr0p50_minus_dp_sgd_lr0p50,42,final_accuracy,0.0,0.1875,-0.1875,,
adaptive_lr0p50_minus_dp_sgd_lr0p50,42,accuracy_auc,0.07291666666666667,0.078125,-0.005208333333333329,,
adaptive_lr0p50_minus_dp_sgd_lr0p50,42,late_mean_accuracy,0.0,0.125,-0.125,,
adaptive_lr0p50_minus_dp_sgd_lr0p50,aggregate,final_accuracy,,,,-0.1875,
adaptive_lr0p50_minus_dp_sgd_lr0p50,aggregate,accuracy_auc,,,,-0.005208333333333329,
adaptive_lr0p50_minus_dp_sgd_lr0p50,aggregate,late_mean_accuracy,,,,-0.125,
