learning_rate,source,status,final_accuracy,accuracy_auc,final_test_loss,steps_to_acc_90
0.1,expv1b,completed,0.818,0.593881308411215,0.6319047325134277,
0.15,expv1b,completed,0.8564,0.6868719626168225,0.6213823435783387,
0.2,expv1b,completed,0.8678,0.7390322429906541,0.6429205562591552,
0.3,expv1b,completed,0.8784,0.7933775700934581,0.641954162311554,
0.5,expv1b,completed,0.8921,0.8368518691588785,0.6365414772510528,
0.8,expv1c,completed,0.9006,0.855779906542056,0.6363517887473107,1100
1.0,expv1c,completed,0.9056,0.8619467289719627,0.6460649538993836,1100
1.2,expv1c,completed,0.907,0.8649845794392523,0.6854450998306274,1170
1.5,expv1c,completed,0.9076,0.8684242990654206,0.7327912291884422,1100
