learning_rate,layer,status,signal_retention,signal_amplitude_retention,effective_signal_lr,noise_retention,snr_gain_db,relmse_filtered,cosine_filtered,kappa,H_q50,H_q10,H_q90
0.8,conv1,completed,0.0627120955557455,0.2504238318446259,0.2003390654757008,0.0333229469371602,2.7532229737407587,89.55954668360442,0.0227773856471488,0.0020486969826751,0.0575801990926265,0.0337154475972056,0.3693956881761548
0.8,conv2,completed,0.5715200906459503,0.7559894778672189,0.6047915822937752,0.017889299518154,14.995894917336145,242.1087174698717,0.0556391505069423,0.0004208664069168,0.0044083117973059,0.0009674517263192,0.0604346495121717
0.8,fc1,completed,0.9747767911795064,0.9873078502572064,0.7898462802057652,0.0223626526865501,16.38752679848769,45.722107065497184,0.1438903774568728,0.0001545584109234,0.00214066170156,7.96498779891408e-06,0.0460003364831209
0.8,fc2,completed,0.8971684701047561,0.947189775126799,0.7577518201014393,0.2553498603520795,5.505085042911082,4.599489732871958,0.4041267018972311,0.0018543368360041,0.3173752576112747,0.0356605514883995,0.919746506214142
1.0,conv1,completed,0.0555013539697101,0.2355872534109393,0.2355872534109393,0.0333316099358475,2.1215906537694638,83.05009795093262,0.0255358109070359,0.0022192837689725,0.0576362274587154,0.0337196292355656,0.3697451949119565
1.0,conv2,completed,0.5663569305689264,0.7525668944146603,0.7525668944146603,0.0178492624634274,15.007501858335235,222.31516268142585,0.0612824516362421,0.0004570085528483,0.0044272646773606,0.000831988378195,0.0612294942140579
1.0,fc1,completed,0.9729500827165122,0.986382320764374,0.986382320764374,0.0228018115455876,16.299266699600413,48.9865292147771,0.1405031865502305,0.0001549514038529,0.00231479620561,6.730756285833195e-06,0.0529615469276905
1.0,fc2,completed,0.8764866050926207,0.936208633314509,0.936208633314509,0.3103126313775491,4.560176214447504,6.166267964081137,0.3475397350954022,0.0014702240123767,0.4077899754047394,0.0401018366217613,0.9400002479553224
1.2,conv1,completed,0.0547437130306033,0.2339737443188943,0.2807684931826732,0.0333399917940535,1.999831203477269,74.1721919196385,0.0242543042678559,0.0024952378634967,0.0577133167535066,0.0337237872183322,0.3701279819011686
1.2,conv2,completed,0.5601584055184852,0.7484373090102371,0.8981247708122845,0.017667201398223,14.99482954866895,180.35667342641472,0.0582847243259509,0.0005721637594324,0.00443612691015,0.0007699571666307,0.0617253743112087
1.2,fc1,completed,0.9688728224068596,0.9843133761190384,1.181176051342846,0.0230204238011915,16.238128273287312,51.06287298797045,0.1364456183415131,0.0001673419300384,0.0025567858247086,1.5244488713506148e-05,0.0613296791911125
1.2,fc2,completed,0.8627343989842232,0.9288349686484804,1.1146019623781762,0.3552040739096874,3.891972194593092,7.620819860219029,0.3126290134896954,0.0013186289609997,0.487940564751625,0.0332646138966083,0.948335474729538
1.5,conv1,completed,0.0594062217218782,0.2437339158219025,0.3656008737328538,0.0333476439888348,2.4033811023816694,50.77844706180561,0.0245884767141405,0.0035390072262263,0.0577659681439399,0.0337307680398225,0.3708475559949873
1.5,conv2,completed,0.5449773168325485,0.7382257898722778,1.1073386848084168,0.0172542519108648,14.96370749613922,124.43282733088614,0.0634742479671249,0.0008226098572571,0.004431773442775,0.0007334863650612,0.0623661927878856
1.5,fc1,completed,0.9583189335314468,0.9789376555896944,1.4684064833845414,0.0227139571136261,16.251280928236532,50.06318735114729,0.1362507898386737,0.0002127278218974,0.0029363308567553,8.511740888934584e-05,0.0698889397084712
1.5,fc2,completed,0.8453789554259149,0.9194449170156496,1.3791673755234746,0.3865131711510459,3.436110427499216,8.949762912582209,0.2927298108035132,0.0012626417294363,0.546068549156189,0.0384106885641813,0.9563304364681248
