learning_rate,layer,status,signal_retention,signal_amplitude_retention,effective_signal_lr,noise_retention,snr_gain_db,relmse_filtered,cosine_filtered,kappa,H_q50,H_q10,H_q90
0.1,conv1,completed,4.268489839120771e-10,2.0657714311872705e-05,2.065771431187271e-06,1.2089448779462425e-10,5.476254642372937,1.000482904332122,-0.0777573025372441,1.6396909525873853,2.2734117237632745e-06,1.2603915649833654e-06,2.191001985920591e-05
0.1,conv2,completed,3.243571563081286e-08,0.00018005270479565,1.800527047956968e-05,5.556364139749512e-10,17.824873153559423,0.9992337902822739,0.054153461930931596,2.73182553443379,1.304033929727666e-07,4.1552430474212096e-08,1.7174137951769816e-06
0.1,fc1,completed,0.0036145708836518497,0.059647104537389195,0.0059647104537389,4.02900991207984e-07,39.56414827825381,1.1215096934593776,0.1347766354450706,0.32835958990970626,2.1399458594029144e-10,2.115108824196632e-10,2.1838866687273748e-10
0.1,fc2,completed,0.0007402294813054001,0.0272057481707611,0.00272057481707605,1.054808589792843e-05,19.60934245565524,1.3902262026699423,-0.1757944404362681,0.2894891673297842,1.663486699499117e-07,2.1405103522997848e-10,3.355254449388667e-07
0.15,conv1,completed,4.1323923212354644e-10,2.0327998304817353e-05,3.0491997457226027e-06,1.208480095137215e-10,5.339145464819797,1.000435030425435,-0.0641785949006017,1.5711953799270626,2.2730612272425788e-06,1.260292037841282e-06,2.19047415157547e-05
0.15,conv2,completed,3.441045711631155e-08,0.00018542261576949998,2.7813392365434952e-05,5.543919594570331e-10,18.088705622854206,0.9987466607325455,0.08327047131949711,2.8052129379369104,1.3025820777556876e-07,4.151795423013028e-08,1.714731547508564e-06
0.15,fc1,completed,0.00320234067767685,0.0563267662830336,0.008449014942455,3.804788479960065e-07,39.280042313324934,1.1030654350574192,0.1374329970716103,0.35064299674384913,2.139945998180792e-10,2.1133016586682983e-10,2.1868398342173022e-10
0.15,fc2,completed,0.00088408644472055,0.029729061186372703,0.004459359177955849,1.2465011666669606e-05,19.47947329242188,1.4389951761428648,-0.19305669817012805,0.28313864173239045,1.6638469446661477e-07,2.139553492708224e-10,3.354583242298759e-07
0.2,conv1,completed,4.12446676759163e-10,2.030777063905628e-05,4.0615541278112555e-06,1.2081544842405482e-10,5.331362138883044,1.0003649437542,-0.057316524495167706,1.5386739768557849,2.2729017246092557e-06,1.260277360870532e-06,2.19017232666374e-05
0.2,conv2,completed,3.5482446608028496e-08,0.00018829595107575,3.7659190215158145e-05,5.535192561931901e-10,18.230112729731957,0.9987899599620633,0.0800057704698319,2.8357946403633427,1.3021571021454292e-07,4.147833614354113e-08,1.7134378367700269e-06
0.2,fc1,completed,0.0029835894572822,0.0541787326728205,0.01083574653456405,3.2553426963737144e-07,39.479996187201465,1.0783924182260693,0.1352800246723856,0.35174897290556983,2.139945998180792e-10,2.1143933964795635e-10,2.1833154589812052e-10
0.2,fc2,completed,0.00111038509448135,0.033322070696800196,0.00666441413936,1.5084414259938205e-05,19.4665545004138,1.4734375083280824,-0.1969923364280823,0.2909639443775274,1.6653154233381429e-07,2.1397140170797966e-10,3.355838572360881e-07
0.3,conv1,completed,4.349298522152229e-10,2.0850118908988242e-05,6.255035672696473e-06,1.207716227060288e-10,5.56027088726257,1.0002529609457613,-0.04725979400226165,1.977899890529543,2.2725354256181163e-06,1.2601970524883657e-06,2.1895725330978144e-05
0.3,conv2,completed,4.000805356895701e-08,0.00019991023094335,5.99730692830227e-05,5.514775027421122e-10,18.764772255825147,0.9991797657040453,0.059891664780532795,3.3599811842924687,1.3011949562269365e-07,4.1410655526874516e-08,1.7076119092962473e-06
0.3,fc1,completed,0.00240697759130125,0.048641232110783,0.01459236963323485,3.4690224537437295e-07,38.47516718771279,1.078236746526207,0.1223843645154445,0.35298950990522737,2.1399476635153287e-10,2.1142648881644632e-10,2.1846411624171224e-10
0.3,fc2,completed,0.0017528068809679,0.0418623424268799,0.01255870272806395,2.2828351549651927e-05,19.3870593119953,1.5683050213158987,-0.20092798633178327,0.28556209201240984,1.6650915313221049e-07,2.1396926869199358e-10,3.358494893745956e-07
0.5,conv1,completed,4.6323281252516793e-10,2.1514604819341282e-05,1.0757302409670641e-05,1.2074856121744936e-10,5.832287551126311,1.0000546606871907,-0.012916049149036449,2.654218907908872,2.2726087536284467e-06,1.260261905144944e-06,2.18959487028769e-05
0.5,conv2,completed,5.0574285088619474e-08,0.0002248540329587,0.00011242701647930001,5.506878499054872e-10,19.796073987076255,0.9989305300357707,0.0885613171549084,4.219712640574158,1.3001744747498378e-07,4.14199156750783e-08,1.7027245235112794e-06
0.5,fc1,completed,0.0025067573797012003,0.049457664876053145,0.02472883243802655,2.3709540891711793e-07,40.27745952175922,1.017092016683162,0.1642524350245499,0.329256151015478,2.1399482186268412e-10,2.11364786784074e-10,2.1864590554754318e-10
0.5,fc2,completed,0.0043583391408341,0.06600249307702645,0.033001246538513204,5.201169188818765e-05,19.417585128441537,1.7868680012094118,-0.1941757939293307,0.277492977771049,1.6619772225112686e-07,2.1395043930949598e-10,3.366943161609015e-07
0.8,conv1,completed,4.964501707779464e-10,2.227572901509997e-05,1.7820583212079974e-05,1.208039548129609e-10,6.133469461807469,0.9999752811890535,0.009565946325367801,5.477373687744918,2.2733011064701718e-06,1.260439370298627e-06,2.1906764777668264e-05
0.8,conv2,completed,6.547514068546211e-08,0.0002558378967253,0.0002046703173802,5.519847985811066e-10,20.906164375785522,0.9989186462865345,0.10235610221449995,8.128964509114844,1.3015755939704834e-07,4.1433294484249926e-08,1.7035599512382765e-06
0.8,fc1,completed,0.0036165223984934002,0.0591006594897542,0.04728052759180335,2.3285904148308359e-07,41.77577175122657,1.0346765014444257,0.15769460147212394,0.3038914793871283,2.139947247181695e-10,2.1153315210575838e-10,2.1843129943688311e-10
0.8,fc2,completed,0.0135047325330238,0.11606002228022685,0.0928480178241815,0.00014315516912095,19.743542800838,2.192789261738657,-0.20984945911420583,0.24594384627570684,1.6488146314941332e-07,2.1398501998115548e-10,3.3885939387801045e-07
