method,step,epoch,layer,log_pearson,log_spearman,log_ratio_spread,A_raw,A_residual,R
dp_sgd,0,1,conv1,0.15561296195194538,0.15454119301535216,1.5436989831999814,1.25797602454784,1.25797602454784,1.0
dp_sgd,0,1,conv2,0.7036256429295054,0.7731572264456649,2.3906456045522724,3.091402407009302,3.091402407009302,1.0
dp_sgd,0,1,fc1,0.5809704251805261,0.6208642091239823,13.691603088182966,8.703186450489493,8.703186450489493,1.0
dp_sgd,0,1,fc2,0.6692346723415359,0.6640702840801286,11.807091436181459,9.928134291363838,9.928134291363838,1.0
dp_sgd,2,1,conv1,-0.017568974833911573,-0.05699343724364233,1.7241148963005437,1.3336786571527655,1.3336786571527655,1.0
dp_sgd,2,1,conv2,0.6767809458680131,0.7395732126357962,2.5430172814740475,3.0765163918311775,3.0765163918311775,1.0
dp_sgd,2,1,fc1,0.5829664900164834,0.6202534045827306,13.234455442437453,8.695157294544686,8.695157294544686,1.0
dp_sgd,2,1,fc2,0.6536013334195415,0.5936609312172756,11.114227535735104,9.926371833037521,9.926371833037521,1.0
syn_diag,0,1,conv1,0.15561296195194538,0.15454119301535216,1.5436989831999814,1.25797602454784,1.5436973815537534,1.2271278239254293
syn_diag,0,1,conv2,0.7036256429295054,0.7731572264456649,2.3906456045522724,3.091402407009302,2.448191321704395,0.7919355034962385
syn_diag,0,1,fc1,0.5809704251805261,0.6208642091239823,13.691603088182966,8.703186450489493,22.74771882997822,2.6137230265472273
syn_diag,0,1,fc2,0.6692346723415359,0.6640702840801286,11.807091436181459,9.928134291363838,21.980987757378195,2.2140099148838814
syn_diag,2,1,conv1,-0.013497956869286662,-0.05522969647251846,1.7117798301061051,1.3245619418763677,1.7117794118212428,1.2923362492178696
syn_diag,2,1,conv2,0.6776720932214809,0.739273014794581,2.5446495635170763,3.075774090276712,2.607275011747376,0.8476809203867156
syn_diag,2,1,fc1,0.5849766386914027,0.6222335243178708,13.191591202048228,8.694178819052452,22.044458656473473,2.5355423571649083
syn_diag,2,1,fc2,0.653683023387687,0.5935216602837763,11.077150911550909,9.925444196515647,20.33661457610645,2.0489374755888177
