clip_rate,coefficient_mean,norm_q10,norm_q50,norm_q90,norm_q99,coefficient_q10,coefficient_q50,coefficient_q90,contrib_conv1,contrib_conv2,contrib_fc1,contrib_fc2,aggregate_cosine,relative_distortion,clipped_aggregate_norm,actual_noise_norm,expected_noise_norm,noisy_update_norm,update_norm,diagnostic_snr,method,step,epoch,train_loss,test_loss,test_accuracy,wall_seconds
1.0,0.21332155168056488,4.157775402069092,4.919147491455078,5.232138633728027,5.334498405456543,0.19134366512298584,0.20330625772476196,0.24331168830394745,0.0026183235459029675,0.06567981839179993,0.8262131810188293,0.10549081861972809,0.9923561621406873,0.7904725622392051,0.46093973968970403,311.5024075325348,310.9577728256891,311.5018800647534,0.3115018800647534,0.0014823226173159127,dp_sgd,1,1,2.312324047088623,,,3.0337916761636734
1.0,0.21162919700145721,4.2226243019104,4.788205146789551,5.336118221282959,5.451639652252197,0.18766386806964874,0.20941011607646942,0.2373698204755783,0.002513703191652894,0.06724125146865845,0.826275646686554,0.10397092998027802,0.9908779862318,0.7949926155756339,0.4241908999354054,311.98612180335203,310.9577728256891,311.9856287972466,0.3119856287972466,0.0013641430991763277,dp_sgd,2,1,2.290719747543335,2.297099530696869,0.15625,3.074382171034813
1.0,0.22018268704414368,4.238561153411865,4.567734718322754,4.886222839355469,4.891782283782959,0.20465779304504395,0.21990138292312622,0.2359326034784317,0.003159631509333849,0.0689755380153656,0.81782066822052,0.11004576086997986,0.9963216480081543,0.7831120445980322,0.4417178479608889,311.6180418525,310.9577728256891,311.6185173921191,0.3116185173921191,0.0014205074983235661,dp_sgd,3,1,2.3357348442077637,,,3.5383903766050935
1.0,0.21034128963947296,4.163843631744385,5.196231842041016,5.272926330566406,5.283773422241211,0.189650297164917,0.1924639195203781,0.2453341782093048,0.003464365378022194,0.07014350593090057,0.8142955899238586,0.11209840327501297,0.9910012851088367,0.803459933605994,0.5176872060609543,310.8390267824771,310.9577728256891,310.8377619848317,0.3108377619848317,0.001664815133439832,dp_sgd,4,1,2.2932865619659424,2.296979784965515,0.1875,3.574286243878305
