seed,run_id,layer,step,interval_index,beta_train,gamma_model,sum_a,sum_a_H2,mean_H2,model_signal_retention,gamma_model_raw,model_noise_retention_after_raw
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,0,0,1.0,3.0831657383868585,0.0005026419275705341,5.2876776264543734e-05,0.03382423498613831,0.10519770310470908,3.0831657383868585,0.321530166418854
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,0,0,1.0,1.3682344828415307,0.006154069154135959,0.0032873149071354878,0.00973835520548857,0.5341693154237933,1.3682344828415307,0.018230839781132806
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,0,0,1.0,1.1178678827490303,0.08008011051501268,0.06408312862294019,0.0008220862481933625,0.800237764543625,1.1178678827490303,0.0010273024901070464
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,0,0,1.0,1.9420717493712738,0.0002120594580503244,5.622469466456841e-05,0.0021973713410689305,0.2651364630537987,1.9420717493712738,0.008287699533138388
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,50,1,1.0,3.080194759886605,0.0005027183194177318,5.29868810021949e-05,0.033848873752540976,0.10540073626830707,3.080194759886605,0.321144566451373
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,50,1,1.0,1.338831521710698,0.0073206123170695275,0.004084092317373814,0.01140438564330854,0.5578894415499787,1.338831521710698,0.020442017349573512
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,50,1,1.0,1.0761366845382458,0.32578000902749094,0.28131284200948525,0.003386024845456359,0.8635055381367697,1.0761366845382458,0.003921254347438881
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,50,1,1.0,1.1120313391211192,0.002006424813378265,0.001622515434445327,0.006608433415802577,0.8086599725177139,1.1120313391211192,0.008172079292149975
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,100,2,1.0,3.0832853379410334,0.000502571232721596,5.2865237842195885e-05,0.03381796630137438,0.10518954209916165,3.0832853379410334,0.3214955177720459
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,100,2,1.0,1.255593774904792,0.010923756577472988,0.006929050174617417,0.015159533521462994,0.63431019589969,1.255593774904792,0.023899243019357565
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,100,2,1.0,1.0295039770393297,2.079999046353682,1.9624883102885051,0.011996287606113607,0.9435044279125138,1.0295039770393297,0.012714606578641265
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,100,2,1.0,1.0382043975280826,0.022091578600712397,0.020495618198037184,0.02336850606729841,0.9277570683598071,1.0382043975280826,0.02518817356855267
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,150,3,1.0,3.083804169699382,0.000502789841439789,5.287043842721847e-05,0.03382726601316667,0.10515415004372142,3.083804169699382,0.3216921633535323
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,150,3,1.0,1.2183687819916702,0.013603797572586965,0.009164370436327557,0.017453515212179523,0.6736626583443652,1.2183687819916702,0.025908390491873712
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,150,3,1.0,1.0179963569537676,4.512120491330338,4.353998156880582,0.01672527592570591,0.9649560922068516,1.0179963569537676,0.017332680793232004
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,150,3,1.0,1.0219841430857775,0.0779511825114729,0.07463360040181052,0.053447752425185756,0.9574402593677896,1.0219841430857775,0.0558235899339328
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,200,4,1.0,3.0898661634464593,0.0005026651443987441,5.265012839184119e-05,0.0337835875925759,0.10474195193067924,3.0898661634464593,0.322541130558028
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,200,4,1.0,1.2037211169265172,0.014887086520313775,0.010274435107392947,0.018352552833310543,0.6901575464999979,1.2037211169265172,0.026591830990448494
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,200,4,1.0,1.014747203162667,6.140578548026392,5.963394838466119,0.018871373855515166,0.9711454371645126,1.014747203162667,0.019432077970334267
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,200,4,1.0,1.0189937204424833,0.12628034254714032,0.12161656587575786,0.07624786400395882,0.9630680707914497,1.0189937204424833,0.07917183251781806
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,250,5,1.0,3.0878813763457926,0.000502715379338207,5.272310210707696e-05,0.03380203190776801,0.10487664446726015,3.0878813763457926,0.322302759393872
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,250,5,1.0,1.190638938292762,0.01603688057575393,0.011312529692458374,0.01902847709062866,0.7054071169901784,1.190638938292762,0.026975170270210923
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,250,5,1.0,1.0125857810955818,7.690992009580366,7.500992147931773,0.02034832130396803,0.9752957926088185,1.0125857810955818,0.020863743551623768
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,250,5,1.0,1.0168019348410968,0.17231670440155272,0.16666893186004772,0.0933768047245904,0.9672244628800242,1.0168019348410968,0.09654098744209799
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv1,300,6,1.0,3.08140474652267,0.0005025454996435535,5.292707503313109e-05,0.03382864715834762,0.10531797632387778,3.08140474652267,0.321204872512139
2027,dp_fisher_wiener_beta1_gamma_lr0p50,conv2,300,6,1.0,1.1818173894481285,0.017116719103783318,0.012255182182246785,0.019794375905341232,0.7159772914388726,1.1818173894481285,0.027646653241698797
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc1,300,6,1.0,1.0112768083257557,8.989823688623122,8.7904494125196,0.02134436676654477,0.9778222262183143,1.0112768083257557,0.021828473718677067
2027,dp_fisher_wiener_beta1_gamma_lr0p50,fc2,300,6,1.0,1.0163519281461928,0.2039954966023917,0.19748419737004513,0.10823555006330778,0.9680811618844815,1.0163519281461928,0.1118042105608323
