seed,run_id,method,learning_rate,config_fingerprint,step,layer,r,dimension,trace_A,trace_G,trace_F,clean_signal_energy,noisy_gradient_energy,expected_noise_energy,noise_debiased_energy_raw,beta_oracle_step,beta_dp_step_raw,beta_dp_step_positive,beta_dp_step_negative,refresh_index,diagnostic_valid
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,0,conv1,0.4673004150390625,160,3.152873992919922,0.0001606377772986,0.0005064706703254,0.0007806840106554,74.26287866654064,74.76806640625,-0.5051877397093563,1.5414199802600337,inf,0.0,True,0,False
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,0,conv2,0.4673004150390625,4640,19.285022735595703,0.0003318757517263,0.0064002314174351,0.0167207261997547,2184.681659445708,2168.27392578125,16.407733664458192,2.612519002704347,2563.615687357976,2563.615687357976,False,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,0,fc1,0.4673004150390625,200832,46.139556884765625,0.012393170967698,0.5718154168467322,0.2276381937022598,94193.37892359814,93848.876953125,344.5019704731385,0.3980973352512378,602.470588101471,602.470588101471,False,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,0,fc2,0.4673004150390625,1290,1.6497923135757446,0.0563734918832778,0.0930045535984565,0.0239411127741571,582.7581612402669,602.8175354003906,-20.059374160123756,0.2574187160504196,-215.68163475875937,0.0,True,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,1,conv1,0.4673004150390625,160,3.152873992919922,0.0001606377772986,0.0005064706703254,0.0080596390971025,71.58840787139845,74.76806640625,-3.179658534851555,15.913338262851072,-6278.070421744369,0.0,True,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,1,conv2,0.4673004150390625,4640,19.285022735595703,0.0003318757517263,0.0064002314174351,0.0487498524993628,2180.9886897902056,2168.27392578125,12.714764008955626,7.616889034131021,1986.610042617948,1986.610042617948,False,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,1,fc1,0.4673004150390625,200832,46.139556884765625,0.012393170967698,0.5718154168467322,0.0772406448995041,94470.16011498266,93848.876953125,621.2831618576602,0.1350796824007413,1086.5099882820878,1086.5099882820878,False,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,1,fc2,0.4673004150390625,1290,1.6497923135757446,0.0563734918832778,0.0930045535984565,0.0480253406314457,612.78301845749,602.8175354003906,9.96548305709939,0.516376228617722,107.15048534209382,107.15048534209382,False,0,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,2,conv1,0.4673004150390625,160,3.1488211154937744,0.000904263171833,0.0028473629694311,0.013216790811721,66.53735979860659,74.76806640625,-8.230706607643413,4.641765364519558,-2890.641866178286,0.0,True,1,True
42,dp_sgd_lr0p10,dp_sgd,0.1,dd6ba0265f44ec1b8885c6adddd5d175420afc500b0a048424ac26b6104eb75f,2,conv2,0.4673004150390625,4640,21.533103942871094,0.002887035254389,0.0621668302194926,0.1002422578469087,2110.556663699447,2168.27392578125,-57.7172620818028,1.612471755323265,-928.4253657138422,0.0,True,1,True
