checkpoint,step,layer,source,family,metric,value
0,0,conv1,private,diagonal,log_pearson,1.0
0,0,conv1,private,diagonal,log_spearman,1.0
0,0,conv1,private,diagonal,log_ratio_spread,0.0
0,0,conv1,private,diagonal,A_raw,1.0138283698414337
0,0,conv1,private,diagonal,A_residual,3.970148041367438e-09
0,0,conv1,private,diagonal,R,3.915996197648704e-09
0,0,conv1,private,kfac_raw,cosine,1.0
0,0,conv1,private,kfac_raw,relative_frobenius_error,0.0
0,0,conv1,private,kfac_raw,trace_ratio,1.0
0,0,conv1,private,kfac_raw,alpha_star,1.0
0,0,conv1,private,kfac_raw,shape_error,0.0
0,0,conv1,private,factor_A_raw,cosine,1.0
0,0,conv1,private,factor_A_raw,relative_frobenius_error,0.0
0,0,conv1,private,factor_A_raw,trace_ratio,1.0
0,0,conv1,private,factor_A_raw,alpha_star,1.0
0,0,conv1,private,factor_A_raw,shape_error,0.0
0,0,conv1,private,factor_G_raw,cosine,1.0
0,0,conv1,private,factor_G_raw,relative_frobenius_error,0.0
0,0,conv1,private,factor_G_raw,trace_ratio,1.0
0,0,conv1,private,factor_G_raw,alpha_star,1.0
0,0,conv1,private,factor_G_raw,shape_error,0.0
0,0,conv1,private,kfac_direct_diagonal_raw,cosine,0.7217630159890379
0,0,conv1,private,kfac_direct_diagonal_raw,relative_frobenius_error,0.9992010771759897
0,0,conv1,private,kfac_direct_diagonal_raw,trace_ratio,0.0012222442572692482
0,0,conv1,private,kfac_direct_diagonal_raw,alpha_star,651.8154781124817
0,0,conv1,private,kfac_direct_diagonal_raw,shape_error,0.6921402666731706
0,0,conv1,private,kfac_diagonal_raw,log_pearson,0.12984598982087728
0,0,conv1,private,kfac_diagonal_raw,log_spearman,0.049572248915973276
0,0,conv1,private,kfac_diagonal_raw,log_ratio_spread,1.2644544734604435
0,0,conv1,private,kfac_diagonal_raw,A_raw,1.0138283698414337
0,0,conv1,private,kfac_diagonal_raw,A_residual,1.2644544876440444
0,0,conv1,private,kfac_diagonal_raw,R,1.2472076391409421
0,0,conv1,private,kfac_repo,cosine,1.0
0,0,conv1,private,kfac_repo,relative_frobenius_error,0.0
0,0,conv1,private,kfac_repo,trace_ratio,1.0
0,0,conv1,private,kfac_repo,alpha_star,1.0
0,0,conv1,private,kfac_repo,shape_error,0.0
0,0,conv1,private,factor_A_repo,cosine,1.0
0,0,conv1,private,factor_A_repo,relative_frobenius_error,0.0
0,0,conv1,private,factor_A_repo,trace_ratio,1.0
0,0,conv1,private,factor_A_repo,alpha_star,1.0
0,0,conv1,private,factor_A_repo,shape_error,0.0
0,0,conv1,private,factor_G_repo,cosine,1.0
0,0,conv1,private,factor_G_repo,relative_frobenius_error,0.0
0,0,conv1,private,factor_G_repo,trace_ratio,1.0
0,0,conv1,private,factor_G_repo,alpha_star,1.0
0,0,conv1,private,factor_G_repo,shape_error,0.0
0,0,conv1,private,kfac_direct_diagonal_repo,cosine,0.8210385387853395
0,0,conv1,private,kfac_direct_diagonal_repo,relative_frobenius_error,0.985542254584409
0,0,conv1,private,kfac_direct_diagonal_repo,trace_ratio,0.021522895868136698
0,0,conv1,private,kfac_direct_diagonal_repo,alpha_star,46.459890102168515
0,0,conv1,private,kfac_direct_diagonal_repo,shape_error,0.5708727685125947
0,0,conv1,private,kfac_diagonal_repo,log_pearson,-0.0026308400810432946
0,0,conv1,private,kfac_diagonal_repo,log_spearman,0.003211062932145787
0,0,conv1,private,kfac_diagonal_repo,log_ratio_spread,1.0164662314438893
0,0,conv1,private,kfac_diagonal_repo,A_raw,1.0138283698414337
0,0,conv1,private,kfac_diagonal_repo,A_residual,1.016466235413998
0,0,conv1,private,kfac_diagonal_repo,R,1.0026018857343446
0,0,conv1,private,empirical,cosine,1.0
