aggregation,seed,n_runs,sample_count,method,learning_rate,layer,interval_count,oracle_beta_median,oracle_beta_mean,dp_beta_raw_median,dp_beta_raw_mean,negative_interval_rate,positive_interval_coverage,median_positive_ratio,median_log10_abs_ratio_error,mean_log10_abs_ratio_error,pearson,spearman,lag_positive_coverage,lag_median_log10_error,hold_median_log10_error,oracle_observability_snr_median
run,42,1,24,dp_sgd,0.1,conv1,24,0.05899717252098395,0.4650083594372238,0.06972445381562556,0.42721725124011484,0.16666666666666666,0.8333333333333334,1.02332271211464,0.3175451653412082,0.34864298075722555,0.9938992571776841,0.7339130434782607,0.8260869565217391,0.4015464506223845,0.415944428890618,0.6663945051897855
run,42,1,24,dp_sgd,0.1,conv2,24,0.0039315156265702,0.06112034143182218,0.0062625922617964,0.06129439411977699,0.4166666666666667,0.5833333333333334,1.1551987507973984,0.3089020611279474,0.4487023067183818,0.9922809607017489,0.6452173913043477,0.6086956521739131,0.4022727282623399,0.9329850941776454,0.21995595104782378
run,42,1,24,dp_sgd,0.1,fc1,24,0.00047305895945425,0.011136114036722058,0.00058080906579715,0.013576836854655884,0.08333333333333333,0.9166666666666666,1.1783655687546393,0.1975388989229842,0.26046199735033776,0.9936633831995162,0.5939130434782608,0.9130434782608695,0.304840533037744,0.3440851090229783,1.0904474021472144
run,42,1,24,dp_sgd,0.1,fc2,24,0.013040737573304251,0.5496663032229704,0.01279858563391005,0.5419042351742545,0.0,1.0,0.9685783656923018,0.04646463195837727,0.060897327823913626,0.9996232540137656,0.96,1.0,0.055763376868267,0.055763376868267,5.594335227428021
run,42,1,24,dp_fisher_wiener,0.1,conv1,24,0.4445558407549733,0.674275341677894,0.48041399451004263,0.6278228453515448,0.041666666666666664,0.9583333333333334,0.9428726503994113,0.04882601100312468,0.146626400167039,0.983014494954386,0.9660869565217389,0.9565217391304348,0.14988781591213396,0.1546811201618006,4.710736300140397
run,42,1,24,dp_fisher_wiener,0.1,conv2,24,0.09712602808930654,0.0881304933965979,0.09278946110353944,0.08607910665563316,0.20833333333333334,0.7916666666666666,0.9779917153701828,0.08803936598282132,0.2269413980769286,0.9270542081817524,0.8843478260869565,0.8260869565217391,0.1421234581702849,0.1647018282328862,3.222391934679055
run,42,1,24,dp_fisher_wiener,0.1,fc1,24,0.0039222254542601,0.029708308161875474,0.00371282814682325,0.030916873378873767,0.0,1.0,1.0335994634526977,0.11517563990541438,0.1276807631132708,0.975660646223232,0.9930434782608695,1.0,0.1657003568725138,0.1657003568725138,2.9006265630183954
run,42,1,24,dp_fisher_wiener,0.1,fc2,24,0.1508251875477932,0.9871129435554642,0.1530995386263104,0.9906415172266853,0.0,1.0,0.9888329741818573,0.022719164090134164,0.02879120373747815,0.9969915112750816,0.9991304347826085,1.0,0.0923143056518939,0.0923143056518939,10.442887689859182
run,42,1,24,dp_fisher_wiener,0.8,conv1,24,0.00503156660966425,0.07450942314778243,0.01058811773374445,0.028813512863513097,0.4166666666666667,0.5833333333333334,7.4629429113496,0.9054431041667494,0.8226528912773746,0.8720567414563953,0.21043478260869564,0.5652173913043478,0.9231475005991848,0.9456316919041224,0.057405497452933496
run,42,1,24,dp_fisher_wiener,0.8,conv2,24,0.00080647496661875,0.013051204793206933,-0.0033541135697857504,0.012987156373824957,0.5416666666666666,0.4583333333333333,2.520059106129753,0.9396737221875607,0.8136149410135445,0.9212962698437287,0.28521739130434776,0.4782608695652174,0.7906340442442586,1.4597874436861336,0.04551959079941725
run,42,1,24,dp_fisher_wiener,0.8,fc1,24,0.0003312077513684,0.009411219493959145,0.00032890116913185,0.011913447881588856,0.0,1.0,1.0459034538189584,0.1541585217387525,0.17896669611594718,0.995983525331799,0.8078260869565217,1.0,0.257408791952214,0.257408791952214,1.8797399729639515
run,42,1,24,dp_fisher_wiener,0.8,fc2,24,0.00502707895250405,0.3926706726237839,0.0050488571845822994,0.38396501697739577,0.0,1.0,0.9760372177920442,0.01639808808708041,0.024714902863829987,0.9999829581428801,0.9939130434782607,1.0,0.1146583571555257,0.1146583571555257,15.08717313143746
run,7,1,24,dp_sgd,0.1,conv1,24,0.060741890571206,0.5121592089274924,0.11427100955295649,0.5184773450103923,0.25,0.75,1.0072333063831629,0.15627260146212918,0.24002455614669257,0.9965653832351941,0.8156521739130433,0.7391304347826086,0.3056489312024224,0.2654928669404868,0.6858038635002381
run,7,1,24,dp_sgd,0.1,conv2,24,0.0046794544658907995,0.06700145729830696,0.01669909423335425,0.055558515849924994,0.3333333333333333,0.6666666666666666,3.989516598152857,0.5999303293644149,0.5748059533811369,0.9773955886228206,0.3695652173913043,0.6956521739130435,0.6828309203124403,0.7202522651914197,0.20545883837738582
run,7,1,24,dp_sgd,0.1,fc1,24,0.00051096300229985,0.007595061914320863,0.0007620711099025,0.007568868852353518,0.08333333333333333,0.9166666666666666,1.1974366990681684,0.2387834881775118,0.23901769128883574,0.995287354796313,0.697391304347826,0.9130434782608695,0.2924134331116579,0.303344183657999,1.0914237708760983
run,7,1,24,dp_sgd,0.1,fc2,24,0.0143823507594905,0.4666228109224508,0.01511452863025475,0.4709334943483457,0.0,1.0,1.0729641638445573,0.06135489666602863,0.07399111911226684,0.9991965834198792,0.9347826086956521,1.0,0.1407375301296686,0.1407375301296686,5.514353417070906
run,7,1,24,dp_fisher_wiener,0.1,conv1,24,0.6154207043455574,0.81626175490186,0.6189411916533434,0.8139941087269366,0.0,1.0,0.9730045544918839,0.044076172860944916,0.07752200861902049,0.989774166159478,0.9791304347826085,1.0,0.0979824463829372,0.0979824463829372,6.346437424500904
run,7,1,24,dp_fisher_wiener,0.1,conv2,24,0.1192070769931051,0.09689886598052681,0.0707495305317951,0.0810970727846953,0.08333333333333333,0.9166666666666666,0.9841815533597631,0.2077617520951348,0.23652271127756253,0.6947200880108209,0.7165217391304347,0.9130434782608695,0.2919642800334331,0.2919642800334331,2.3029626220363144
run,7,1,24,dp_fisher_wiener,0.1,fc1,24,0.0052945643427523,0.020350557372624197,0.00670244772733345,0.019846248676335203,0.0,1.0,1.0633791038842717,0.10476844865010185,0.13195933182707761,0.9745725624457631,0.9817391304347826,1.0,0.1389314355175255,0.1389314355175255,3.303558026783573
