aggregation,seed,n_runs,method,learning_rate,layer,sample_count,median_lag_log10_error,mean_lag_log10_error,positive_lag_coverage,spearman_lag
run,42,1,dp_sgd,0.1,conv1,23,0.4015464506223845,0.4161476947375486,0.8260869565217391,0.7401185770750989
run,42,1,dp_sgd,0.1,conv2,23,0.4022727282623399,0.5262397969616426,0.6086956521739131,0.650197628458498
run,42,1,dp_sgd,0.1,fc1,23,0.304840533037744,0.3369402866001339,0.9130434782608695,0.5849802371541503
run,42,1,dp_sgd,0.1,fc2,23,0.055763376868267,0.14259655486394743,1.0,0.9782608695652174
run,42,1,dp_fisher_wiener,0.1,conv1,23,0.14988781591213396,0.23072951226827534,0.9565217391304348,0.9090909090909092
run,42,1,dp_fisher_wiener,0.1,conv2,23,0.1421234581702849,0.25943916536669764,0.8260869565217391,0.8181818181818183
run,42,1,dp_fisher_wiener,0.1,fc1,23,0.1657003568725138,0.16280216934932176,1.0,0.9920948616600791
run,42,1,dp_fisher_wiener,0.1,fc2,23,0.0923143056518939,0.11068832882244921,1.0,0.9990118577075099
run,42,1,dp_fisher_wiener,0.8,conv1,23,0.9231475005991848,0.9298951296131233,0.5652173913043478,0.2341897233201581
run,42,1,dp_fisher_wiener,0.8,conv2,23,0.7906340442442586,0.9166611089494107,0.4782608695652174,0.2766798418972332
run,42,1,dp_fisher_wiener,0.8,fc1,23,0.257408791952214,0.27746236409671093,1.0,0.7648221343873517
run,42,1,dp_fisher_wiener,0.8,fc2,23,0.1146583571555257,0.1785847350727933,1.0,0.9802371541501977
run,7,1,dp_sgd,0.1,conv1,23,0.3056489312024224,0.3102189812435345,0.7391304347826086,0.8932806324110673
run,7,1,dp_sgd,0.1,conv2,23,0.6828309203124403,0.6040134018159413,0.6956521739130435,0.3784584980237154
run,7,1,dp_sgd,0.1,fc1,23,0.2924134331116579,0.2953977901294957,0.9130434782608695,0.6808300395256918
run,7,1,dp_sgd,0.1,fc2,23,0.1407375301296686,0.17689033014460823,1.0,0.9456521739130436
run,7,1,dp_fisher_wiener,0.1,conv1,23,0.0979824463829372,0.11992706656981279,1.0,0.9476284584980237
run,7,1,dp_fisher_wiener,0.1,conv2,23,0.2919642800334331,0.2901127541153243,0.9130434782608695,0.6630434782608696
run,7,1,dp_fisher_wiener,0.1,fc1,23,0.1389314355175255,0.18410556127286132,1.0,0.974308300395257
run,7,1,dp_fisher_wiener,0.1,fc2,23,0.129729017726088,0.12622584761030667,1.0,0.9960474308300397
run,91,1,dp_sgd,0.1,conv1,23,0.2701292704478547,0.26192087383739576,0.8260869565217391,0.8754940711462451
run,91,1,dp_sgd,0.1,conv2,23,0.4760023700417655,0.5439947126831315,0.6521739130434783,0.5464426877470356
run,91,1,dp_sgd,0.1,fc1,23,0.3393178102865346,0.374951707556497,0.8695652173913043,0.700592885375494
run,91,1,dp_sgd,0.1,fc2,23,0.0873226857082518,0.1426678927274409,1.0,0.9752964426877472
run,91,1,dp_fisher_wiener,0.1,conv1,23,0.0845507731157682,0.12840075402687215,1.0,0.9683794466403162
run,91,1,dp_fisher_wiener,0.1,conv2,23,0.0881766150167817,0.1827175853609301,1.0,0.46936758893280633
run,91,1,dp_fisher_wiener,0.1,fc1,23,0.1298553238324404,0.13368080108907546,1.0,0.9792490118577075
run,91,1,dp_fisher_wiener,0.1,fc2,23,0.0955590982865395,0.10198342920290948,1.0,0.9970355731225298
