seed,layer,interval_index,comparison,left_run,right_run,beta_oracle_left,beta_oracle_right,trajectory_log_difference,ratio
42,conv1,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,1.0008961761155883,0.0789608289542568,1.1029773310100235,12.675856996073618
42,conv1,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,3.5571394580406657,0.1543845914677747,1.3624969391811785,23.040767373362915
42,conv1,2,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,2.9335424654672777,0.2379976752707677,1.090819664424488,12.325929075272748
42,conv1,3,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,1.3653395354783062,0.3190206505241202,0.6314218697829395,4.279784187121382
42,conv1,4,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.7361290670727085,0.4410134823659951,0.2225021001594932,1.6691758789854827
42,conv1,5,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.4265529571004565,0.6353998183411298,0.17307412925609347,0.6713142572405508
42,conv1,6,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.271663248803178,0.9037687754744808,0.5220264426226645,0.3005893279069684
42,conv1,7,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.1788669427181732,1.2244196717579607,0.8354002145602206,0.14608303577919893
42,conv1,8,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.1398038891915835,1.5623754551902729,1.0482661544211744,0.08948162154439221
42,conv1,9,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0978569247444625,1.8634653992333223,1.279729769715475,0.052513411187953024
42,conv1,10,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0877695201670285,1.8225887507922276,1.3173449613449626,0.04815651371099355
42,conv1,11,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.064959870136128,1.7193835008393068,1.4227276069248065,0.0377809081594759
42,conv1,12,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0530344749058399,1.2456287209246624,1.370830340104137,0.04257647083351694
42,conv1,13,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0439153387640298,0.9076253443559328,1.3152903772783404,0.04838487492346626
42,conv1,14,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0361442163530284,0.7383915470070328,1.3102479031140881,0.04894993245729037
42,conv1,15,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0307106294759348,0.5367946718126285,1.2425194781342737,0.057211129485008255
42,conv1,16,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0261126683205197,0.4480981991439515,1.2345219461054084,0.058274432636429785
42,conv1,17,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0222822568647145,0.3374935731317166,1.1803063306346322,0.06602275906456509
42,conv1,18,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0190898396531853,0.2627274819685016,1.1387032229652911,0.07266023146932904
42,conv1,19,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.017274360222839,0.2019004574083724,1.0677353311309092,0.08555879686740456
42,conv1,20,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0142073447730974,0.1750959746938982,1.0907632424219813,0.08114032774273995
42,conv1,21,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0142672721140781,0.1455228016229408,1.0085901027774922,0.09804148872178496
42,conv1,22,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0113568886883137,0.1167098188032217,1.0118480256231235,0.09730876806056869
42,conv1,23,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0112852813222341,0.1038410091849811,0.9638565104463165,0.10867846345879245
42,conv2,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.3419806856360678,0.1441097201895619,0.3753083037605672,2.373057731194166
42,conv2,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.5614460361747793,0.1523283463687934,0.5665272925107577,3.685762036801047
42,conv2,2,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.2954811761045349,0.1452050703944797,0.30854803728196345,2.0349232661214858
42,conv2,3,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.1090871497123945,0.1408189896449549,0.11088762957337661,0.7746622098868521
42,conv2,4,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0518884863472093,0.1424539125687428,0.4386033798966118,0.3642475338974625
42,conv2,5,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0280959576260055,0.1537994761646561,0.7383110170482949,0.18267915032380383
42,conv2,6,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0171790137312381,0.1663887664558361,0.9861257752382293,0.10324623529075719
42,conv2,7,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0113357049681093,0.1771293122926115,1.1938419023784241,0.06399677626130625
42,conv2,8,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0088732843873717,0.1820430726667869,1.3120897564495921,0.04874277420934017
42,conv2,9,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0064360798654966,0.1777986891555529,1.441307130119351,0.03619869131805459
42,conv2,10,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.005483898798478,0.145633514328737,1.4241718981474996,0.037655472531544165
42,conv2,11,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0041707765644214,0.1183518707248239,1.4529582024037415,0.03524047857358113
42,conv2,12,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.003692254688719,0.0759001854537892,1.3129511863812517,0.0486461879723203
42,conv2,13,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0030858430060483,0.0502616946984834,1.2118633005061135,0.06139552246616572
42,conv2,14,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0028113327882618,0.0377255764936109,1.1277236273002214,0.07452060510560839
42,conv2,15,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0024569304738993,0.0260631398346262,1.02563386711113,0.09426839933671934
42,conv2,16,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0021566170866376,0.0207285448057482,0.9827957728812342,0.10404093036186274
42,conv2,17,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0019488097779473,0.0151477228686912,0.8905779010123438,0.12865364615134936
42,conv2,18,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0017483005660126,0.0115831750707604,0.8212115222473646,0.15093448517633684
42,conv2,19,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0017609452117352,0.0088635298042728,0.7018608654059615,0.19867313030146405
42,conv2,20,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0015257894109243,0.0074387295873649,0.6880041749875483,0.2051142460556624
42,conv2,21,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0014384967360925,0.0061276291325802,0.6293835914403525,0.23475584193633842
42,conv2,22,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0014899694803905,0.0048793271845198,0.5151825681302098,0.3053637159478855
42,conv2,23,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0013146552209573,0.0043518456283654,0.5198616108812883,0.3020914189575927
42,fc1,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.1597942596375859,0.1565261469286851,0.008974279183091682,1.0208790210008158
42,fc1,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0713501431925428,0.1361821016937534,0.28072518330926965,0.5239318699383504
42,fc1,2,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0171774633206244,0.1044383204165197,0.7839008490001697,0.16447471820800488
42,fc1,3,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0061599021637696,0.0835856401724681,1.1325578585934424,0.07369569881931207
42,fc1,4,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0027561603582723,0.0619614982938326,1.3518174289190683,0.04448182232782833
42,fc1,5,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0016678808671326,0.0517751214873192,1.4919560998529444,0.03221394405691735
42,fc1,6,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.001186318159585,0.0368512616138663,1.4922511822272029,0.03219206365349009
42,fc1,7,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0009221843786979,0.0262023880111517,1.4535231122546417,0.03519466921508908
42,fc1,8,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0007879720376449,0.0179378566451385,1.3572597427400053,0.04392788130896649
42,fc1,9,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0006920123777286,0.012037630468099,1.2404271446300248,0.057487424918259984
42,fc1,10,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0005313674513322,0.0072991614472021,1.1378780213597501,0.07279842419924588
42,fc1,11,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0004578002339697,0.0045674296447852,0.9989958560487047,0.10023148019201285
42,fc1,12,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0004883176849388,0.003277021263735,0.8267768064143746,0.14901266901827717
42,fc1,13,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0004486764088622,0.0023578238865622,0.7205781279322685,0.19029258776251853
42,fc1,14,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0004097935812722,0.0017546829928935,0.6316335151181098,0.23354280113950607
42,fc1,15,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0003772171748175,0.0012568476607367,0.5226911830810108,0.30012959135906303
42,fc1,16,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0003187838354666,0.0010040310317014,0.49825084424082844,0.31750396691066285
42,fc1,17,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0002880751682929,0.0008522557729571,0.47106412743695625,0.33801492161602625
42,fc1,18,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0002696612276957,0.0007037893509213,0.41662418379729527,0.3831561636201205
42,fc1,19,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.000274974331652,0.0006199256107419,0.353047423427181,0.4435602060752462
42,fc1,20,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0002565581290835,0.0005446340858558,0.32691903822367996,0.4710651348241682
42,fc1,21,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0002313244596651,0.0005013189814649,0.3358925922353233,0.4614316796646094
42,fc1,22,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0002252817542528,0.0004352894972282,0.2860521692249409,0.5175446586405835
42,fc1,23,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0001946089464442,0.0003272189273924,0.2256756151985866,0.594736215276525
42,fc2,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,6.306959806009466,4.7676773423747925,0.1215132068750081,1.3228579354466032
42,fc2,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,5.10268487027347,4.229497167840959,0.08151000967909927,1.2064518943461662
42,fc2,2,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,1.0694226941619769,3.2646310487375216,0.48468471072642,0.3275784240842583
42,fc2,3,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.2961064331227894,2.743197275535504,0.96680919793014,0.10794208486700467
