seed,method,config_fingerprint,step,epoch,train_loss,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,learning_rate,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,refresh_time,diagnostic_spectrum_time,wiener_filter_time,active_state_bytes,diagnostics_finite
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,0,1,2.3067173957824707,,,1.0,0.10232851681315358,1.8980261676600805,1.9007811897798015,0.0829792908915913,344.041658491307,1.0187803671310862,0.053821285786439764,0.3938755586422454,0.23941664405616905,0.001025906065992739,0.0029066247508787923,0.6783216966270388,23.6804674097828,0.9970387877689046,0.15,0.4893022011560637,0.07339533017340956,0.012446893633738694,0.01023285168131536,1.2163660746934983,0.14643386751413345,0.00460593868046999,0.0014743832871317863,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,1,1,2.3149216175079346,,,1.0,0.10770045941118472,1.9019209139268498,1.9050130730830555,0.08323252970385535,311.8529067187577,0.9041180876444779,0.05695507514022267,0.44844169139239964,0.30035229326296153,0.001008991525394101,0.003206639984328749,0.9545389119148576,24.737434334478934,0.9971008187893544,0.15,0.548044061424774,0.0822066092137161,0.012484879455578302,0.010770045941118474,1.1592224882489701,0.0,0.0,0.00133613683283329,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,2,1,2.309269428253174,,,1.0,0.08998497628991182,1.9008806984367084,1.9030665380793284,0.07277923737784399,446.24124498246465,1.196139115629337,0.04791931113693535,0.2831424212484916,0.17351039447114555,0.0010214806258225376,0.0022409403234690257,0.38064984261545065,22.30095363001331,0.9973195236229766,0.15,0.4165457891650635,0.062481868374759525,0.010916885606676597,0.008998497628991183,1.2131898074064718,0.0,0.0,0.0013403194025158882,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,3,1,2.306835174560547,,,1.0,0.10848836097071804,1.896172515317271,1.899539076853621,0.08013394491087766,305.484654113285,0.9470118800669575,0.059560543301862466,0.4051891288349192,0.24946319354276883,0.000936915422480286,0.0032734868558861262,0.8715989355312166,24.253060896180006,0.9968999690579694,0.15,0.49946290507180696,0.07491943576077104,0.01202009173663165,0.010848836097071804,1.1079614096822807,0.0,0.0,0.0015142560005187988,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,4,1,2.3027398586273193,,,1.0,0.09941660143027486,1.9031808493057956,1.9055064292359478,0.08114453537606577,366.4732609453088,1.1243623255327322,0.049464656133728226,0.33192047637082445,0.2279902062844061,0.0011846038844958167,0.002728712041143387,0.5251710121934638,22.843430388864526,0.9969319389834005,0.15,0.47748320000226824,0.07162248000034023,0.012171680306409865,0.009941660143027487,1.224310641288827,0.0,0.0,0.0015653818845748901,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,5,1,2.3060994148254395,,,1.0,0.11020116919931384,1.897018443566583,1.899750245552706,0.07944590158226354,296.3266436593215,0.9375099189554809,0.05377552576384225,0.40379921147791853,0.2811559087642001,0.0010360188630694116,0.0033746543596904874,0.9158173146350529,24.335795520565966,0.9968362280644832,0.15,0.5302413684014103,0.07953620526021155,0.01191688523733953,0.011020116919931384,1.0813755718602986,0.0,0.0,0.001528572291135788,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,6,1,2.3037662506103516,,,1.0,0.1136625183692795,1.902206092284959,1.9054704577273975,0.0812866553333336,280.07902631704667,0.9142786361327837,0.05852052130562015,0.4175107514164457,0.2593108108794852,0.0009991081784744278,0.0035704208668246697,0.9266751588267574,24.14208109008007,0.9967356404792068,0.15,0.5092256973872049,0.07638385460808074,0.012192998300000039,0.011366251836927951,1.072736947400138,0.0,0.0,0.001361585222184658,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,7,1,2.3083739280700684,,,1.0,0.11124819398549966,1.8973013565538752,1.9004158340175537,0.09321748724907516,290.86180558888435,0.9459691313942152,0.057242251853198936,0.45120272798295646,0.2833734318652337,0.0011533531643657664,0.0034380588331090864,0.8447148370833233,23.90396818141341,0.9967477024716987,0.15,0.5323283121018774,0.0798492468152816,0.013982623087361274,0.011124819398549967,1.2568854005780008,0.0,0.0,0.001569901593029499,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,8,1,2.295536518096924,,,1.0,0.10652543022142176,1.9039278892040623,1.9068808823469257,0.07907569194061394,319.4437514153887,1.0079982517186445,0.055631403791372804,0.3657714019314118,0.2445965105709317,0.0010672250894496222,0.0031304415737694307,0.7174635350398355,23.601942303163487,0.9968445203662549,0.15,0.49456699300593415,0.07418504895089012,0.011861353791092091,0.010652543022142177,1.113476262459004,0.0,0.0,0.0015494991093873978,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,9,1,2.3047566413879395,,,1.0,0.09568970721939837,1.8975386377169343,1.899693051898392,0.07844376432033773,393.2337672609286,1.0910675764235302,0.04768739034493676,0.3543416743230669,0.24119892743276322,0.0010807721953311731,0.0025430166052524293,0.5675320665998532,23.48641208803404,0.9972253970353995,0.15,0.4911200743532718,0.07366801115299076,0.011766564648050658,0.009568970721939837,1.2296583393073297,0.0,0.0,0.0011800182983279228,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,10,1,2.303950071334839,,,1.0,0.10134269954648975,1.9047282537910881,1.9074971196118302,0.08172781120803334,353.2491376641558,1.0472132283092186,0.053866291251711974,0.3739526930534273,0.2390012829868775,0.0010745102223360628,0.00283086324432329,0.6296635743260284,23.471896805753687,0.9970354825627217,0.15,0.4888775746410112,0.07333163619615168,0.012259171681205,0.010134269954648976,1.209674869019211,0.0,0.0,0.0011792462319135666,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,11,1,2.2976927757263184,,,1.0,0.10873046800755423,1.897438705917693,1.9009579706651345,0.08870408510172086,304.5320431699612,0.948115085391812,0.06093576946141909,0.4397075230546875,0.26762237479721734,0.0010608532823929472,0.003283726695903164,0.8283885726446337,24.01867095492775,0.996886649183047,0.15,0.5173223122940063,0.07759834684410094,0.013305612765258127,0.010873046800755425,1.223724408425242,0.0,0.0,0.0014196978881955147,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,12,1,2.294506549835205,,,1.0,0.12631898654217374,1.8986339675306025,1.9027306393172736,0.09106610480506613,225.9150831123017,0.7982878454589944,0.06559038386960647,0.5003596603967622,0.30423515097606124,0.0009151185443049496,0.0044264419451797085,1.4715899284693388,25.217320341478178,0.9964664251963117,0.15,0.5515751544223699,0.08273627316335548,0.01365991572075992,0.012631898654217375,1.0813826245445646,0.0,0.0,0.0015189079567790031,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,13,1,2.2954344749450684,,,1.0,0.10185594994130176,1.8924709282313412,1.8950898752256993,0.07935152989976163,345.2117952284416,1.0079371232430292,0.052568142769099165,0.3844341390076416,0.23877219393168264,0.0010028047440723018,0.0028967723980624373,0.6897341728474358,23.76767369825117,0.9970802355621257,0.15,0.48864321742113914,0.07329648261317087,0.011902729484964245,0.010185594994130177,1.1685846031238278,0.0,0.0,0.0015370780602097511,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,14,1,2.300950527191162,,,1.0,0.11580481940918845,1.8976143432980042,1.9011228535245848,0.08745602502325817,268.5113458443777,0.8380327435325203,0.06072575179835651,0.4848353740055056,0.31739682527062296,0.000955649202122345,0.0037242374126891815,1.2369194977206062,25.213040767015844,0.9968789671032449,0.15,0.5633798232725618,0.08450697349088426,0.013118403753488725,0.011580481940918846,1.1328029195402425,0.0,0.0,0.0015222439542412758,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,15,1,2.297696828842163,,,1.0,0.10581080904749451,1.8955749545751353,1.8985892931058244,0.08172434707049162,320.9385259646769,0.9713434756112918,0.05633102645605427,0.40473267139666286,0.264442596745548,0.001025017227862755,0.0031158615093174113,0.803856253412751,24.116002481219017,0.9969734282517458,0.15,0.5142398241536219,0.07713597362304328,0.012258652060573742,0.010581080904749452,1.1585444029553489,0.0,0.0,0.0015338966622948647,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,16,1,2.293851137161255,,,1.0,0.10769728375034866,1.898957077747676,1.901961094844325,0.08235607959197375,310.90005353611883,0.9824264041038947,0.05618329587740323,0.39384036650161197,0.2539490801154382,0.0010736462270012584,0.0032164677636420252,0.7607897360555269,23.738854415583376,0.9968400571407766,0.15,0.5039336068525676,0.07559004102788514,0.012353411938796062,0.010769728375034867,1.1470495362060622,0.0,0.0,0.0015892693772912025,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,17,1,2.2988662719726562,,,1.0,0.10157490338358657,1.896923110155422,1.8993129409248626,0.07508291996615142,348.7599600720551,1.0361655969535624,0.050252873197664805,0.3451307865684931,0.23362957284288055,0.0010273006405777626,0.002867301624005793,0.6520841388117208,23.56830255790266,0.9970290007008281,0.15,0.48335243129923383,0.07250286469488507,0.011262437994922712,0.010157490338358659,1.1087815610596798,0.0,0.0,0.0015411507338285446,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,18,1,2.296935796737671,,,1.0,0.10448287740003662,1.8957245048643847,1.8982633874449857,0.07552993530209624,329.20028253289877,1.016296838960905,0.051803906722088844,0.3501745154110457,0.26104052843610703,0.0011301323507376848,0.003037664464362005,0.7016466136452468,23.63578632684017,0.9969128312067622,0.15,0.5109212546333408,0.07663818819500112,0.011329490295314435,0.010448287740003663,1.0843394225115515,0.0,0.0,0.00153337512165308,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,19,1,2.2865257263183594,,,1.0,0.12005817388703793,1.8980744238248866,1.9024161372056312,0.09536694946532678,249.94416795532726,0.8297932096379532,0.06767627763865433,0.5043070562831026,0.32270366773815923,0.0010668066142333669,0.0040008935119825485,1.210250286297704,24.80718201616468,0.996680085731042,0.15,0.5680701257223084,0.08521051885834625,0.014305042419799017,0.012005817388703793,1.191509245515182,0.0,0.0,0.0013755597174167633,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,20,1,2.2931113243103027,,,1.0,0.09293763410463377,1.897537908425262,1.8995543853508217,0.07723369400715904,416.8671724889463,1.152106918524414,0.04614859091813691,0.3239961357258188,0.2092157110659404,0.001067343137214358,0.0023988456416784956,0.47021073082322135,22.922902325334945,0.9972362733394301,0.15,0.45740103964239126,0.06861015594635869,0.011585054101073857,0.009293763410463377,1.246540673370735,0.0,0.0,0.001522500067949295,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,21,1,2.284799814224243,,,1.0,0.10797961007551206,1.8966188087626605,1.899830614575383,0.0839202636660973,308.5152218130422,0.9664620460113218,0.05813763600392509,0.41016962797709133,0.2705756029865595,0.0010933829154549666,0.003241331153896671,0.8021207565073455,23.935163511690632,0.9968673764609361,0.15,0.5201688216209805,0.07802532324314708,0.012588039549914594,0.010797961007551206,1.1657793114779516,0.0,0.0,0.0015205247327685356,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,22,1,2.288318157196045,,,1.0,0.11063866269379315,1.8988214557919005,1.9021484299848141,0.08809266023792262,294.54687894624624,0.9367797356782525,0.05912688381832942,0.43781002191721474,0.2854601146444501,0.0010868002904496482,0.0033950453099200074,0.8917461945319696,24.193956898598948,0.9968195903516976,0.15,0.5342846756593811,0.08014270134890716,0.013213899035688393,0.011063866269379316,1.1943292437531752,0.0,0.0,0.001545536331832409,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,23,1,2.2997608184814453,,,1.0,0.099850017107634,1.8950948816878361,1.8978701319127704,0.07916520893511042,360.2181820143025,0.9787933346073003,0.05407967575619001,0.4097944491378324,0.2663737521406946,0.0009651991658870192,0.0027760952939896734,0.7661412750407991,24.408744900605438,0.9972827764297357,0.15,0.5161140882989871,0.07741711324484805,0.011874781340266562,0.0099850017107634,1.189261823187952,0.0,0.0,0.0015408331528306007,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,24,1,2.2932043075561523,,,1.0,0.11062745316341348,1.8981250153253002,1.9014664253919622,0.08711914036451092,294.39050388960857,0.9375267173793796,0.05926766427257865,0.4334156615633994,0.2897584946335762,0.001120968259412635,0.0033968486982616656,0.8780496297538122,24.12442860933084,0.9968153635902242,0.15,0.5382922019067118,0.08074383028600676,0.013067871054676638,0.011062745316341348,1.18125028460993,0.0,0.0,0.001550896093249321,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,25,1,2.291102647781372,,,1.0,0.09100427461136679,1.901781531748836,1.9038802246421986,0.068350281530044,436.71455515205673,1.2346283298786278,0.04694845019518198,0.21933662692710637,0.14441110982094127,0.0010468041278017303,0.0022898252143915675,0.3158911888829314,21.39735178868267,0.9971729169195004,0.15,0.38001461790428703,0.05700219268564305,0.0102525422295066,0.009100427461136679,1.126600071498116,0.0,0.0,0.0015136441215872765,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,26,1,2.289630889892578,,,1.0,0.1054225006591018,1.8959612877599108,1.8991273936359663,0.07775340565897472,323.43893910825483,0.9782674981797839,0.0577630201937503,0.3835035307903469,0.22413282641224425,0.0009164172613376824,0.0030917736827446277,0.756170800385212,23.884122067485322,0.9969754182941711,0.15,0.47342668536136007,0.071014002804204,0.011663010848846208,0.010542250065910181,1.106311344809952,0.0,0.0,0.001387094147503376,10905008,True
42,dp_fisher_wiener,a976ed8fbe95b6107fe96b59fc7aa3f1fbb1cc4d8e96ddd5bb4e06f8cac65dbf,27,1,2.285879135131836,,,1.0,0.0944259961378944,1.900310964251165,1.9025677885709866,0.07523993732721618,405.01042118224507,1.177362867623116,0.048701689290265596,0.2871118508437327,0.17009221068512084,0.0010707743300655567,0.0024690722697172087,0.39221145748825353,22.00986474269569,0.997093005991831,0.15,0.4124223692831426,0.061863355392471384,0.011285990599082427,0.00944259961378944,1.1952207082259192,0.0,0.0,0.0014943620190024376,10905008,True
