step,layer,M_syn,M_stale,refresh_seconds,preconditioner_state_bytes,A_old_diag,A_new_diag,delta_stale_diag,S_old_full,S_new_full,delta_stale_full
0,conv1,2560,512,1.0416836738586426,827688,,0.11375342472735793,,,1.9041331453454986,
0,conv2,2560,512,1.0416836738586426,827688,,0.8289577704672452,,,1.6506087102381835,
0,fc1,2560,512,1.0416836738586426,827688,,11.957576069300892,,,1.1723371970850591,
0,fc2,2560,512,1.0416836738586426,827688,,12.078725578153975,,,1.777770100240676,
50,conv1,2560,512,0.4764645369723439,827688,0.18086371548596014,0.10661607592427258,0.07424763956168756,1.910191501943538,1.9199870115402047,-0.00979550959666664
50,conv2,2560,512,0.4764645369723439,827688,0.8083071659784917,0.6213830081281476,0.1869241578503441,1.6470963121353979,1.650822872699381,-0.003726560563983128
50,fc1,2560,512,0.4764645369723439,827688,12.630129603054357,11.963923867663839,0.666205735390518,1.2390937777376303,1.1450949776648438,0.09399880007278649
50,fc2,2560,512,0.4764645369723439,827688,13.448261193160782,12.075861020533976,1.372400172626806,3.183043047270852,1.8141050945662747,1.3689379527045775
100,conv1,2560,512,0.48791735898703337,827688,0.31952349812199576,0.09371799970615165,0.22580549841584413,1.9416666346656801,1.955364803372738,-0.013698168707057867
100,conv2,2560,512,0.48791735898703337,827688,0.6193370857696456,0.33479438153346286,0.2845427042361828,1.7759573157719601,1.5835755537492477,0.1923817620227124
100,fc1,2560,512,0.48791735898703337,827688,13.02720382124226,11.981676327018619,1.0455274942236414,1.292249831467795,1.2125431630126644,0.07970666845513064
100,fc2,2560,512,0.48791735898703337,827688,13.633031042134276,12.106808938142697,1.5262221039915786,3.1757071562749557,2.0071484250073306,1.168558731267625
150,conv1,2560,512,0.5101339081302285,827688,0.35763451170611965,0.09935462823565018,0.2582798834704695,1.9648924334242674,2.023339418798373,-0.05844698537410542
150,conv2,2560,512,0.5101339081302285,827688,0.6815491265556657,0.24491510015417614,0.4366340264014895,1.6067981887450307,1.5707035336074433,0.03609465513758736
150,fc1,2560,512,0.5101339081302285,827688,12.733863585194738,12.0030024712313,0.7308611139634387,1.37665261725447,1.3181080524779587,0.058544564776511265
150,fc2,2560,512,0.5101339081302285,827688,13.19124120359137,12.106092482617107,1.0851487209742618,2.7130683420484774,2.275668684129637,0.4373996579188404
200,conv1,2560,512,0.5172322215512395,827688,0.3053376652356273,0.11106139191028451,0.19427627332534275,1.9460078914658197,2.0319060896478027,-0.08589819818198308
200,conv2,2560,512,0.5172322215512395,827688,0.35577016022251473,0.1985845287174907,0.15718563150502404,1.6629996448806603,1.5752852848062968,0.0877143600743635
200,fc1,2560,512,0.5172322215512395,827688,12.613946616430798,12.021298465437571,0.5926481509932273,1.3967698417067396,1.3659229564956992,0.030846885211040398
