seed,method,config_fingerprint,step,layer,bin,count,lambda_min,lambda_max,lambda_mean,log10_lambda_mean,signal_power,noise_power,empirical_snr,H_mean,mse_before,mse_after,mse_reduction,signal_retention,noise_retention
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,0,16,4.5456931729859207e-07,4.5682574523198127e-07,4.559629651623709e-07,-6.341070430753991,2.0609395928509067e-07,0.307402455493589,6.704369324360143e-07,9.757374783703199e-07,0.307402455493589,2.0602757953127572e-07,0.9999993297790052,9.527351036765489e-13,9.509443679828042e-13
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,1,16,6.432059649341682e-07,6.46398746084742e-07,6.451779164251548e-07,-6.190320506346365,1.7605446459360263e-07,0.5386616316690036,3.268368382722637e-07,1.380647212556596e-06,0.5386616316690036,1.75983408630676e-07,0.9999996732950738,1.905985850332977e-12,1.9056645128423308e-12
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,2,16,6.638992431362567e-07,6.67194740344712e-07,6.659346745152561e-07,-6.176568371263666,3.944668510921237e-07,0.4664170357221591,8.457385148475982e-07,1.425065583759988e-06,0.4664170357221591,3.9447581352330397e-07,0.9999991542422697,2.034991275745864e-12,2.031829714704165e-12
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,3,16,9.340835163129668e-07,9.387201771460241e-07,9.369472877551743e-07,-6.028284841642648,1.1448821974819109e-06,0.3505729334821571,3.2657461205199274e-06,2.005017364581363e-06,0.3505729334821571,1.1449123763716404e-06,0.999996734167795,4.02562907446928e-12,4.0167519427139195e-12
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,4,16,9.932992952599307e-07,9.982298934119171e-07,9.963446601091164e-07,-6.001590402448941,8.876174915364459e-07,0.6111012420072564,1.4524884430270127e-06,2.132124265585844e-06,0.6111012420072564,8.866074905845315e-07,0.9999985491643125,4.548705850514602e-12,4.555816536382257e-12
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,5,16,1.1778878388213343e-06,1.183734752885357e-06,1.1814991083269888e-06,-5.927566601791929,1.7218268046607442e-06,0.41989455109512774,4.10061716725293e-06,2.5283437707912526e-06,0.41989455109512774,1.7206863131101443e-06,0.9999959020989707,6.406126569896798e-12,6.388935437165189e-12
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,6,16,2.503373480067239e-06,2.5157999061775627e-06,2.511048506903535e-06,-5.600144897770126,1.0896420805419022e-05,0.39595486125689516,2.7519350995723512e-05,5.373492086846454e-06,0.39595486125689516,1.0904063381624106e-05,0.9999724613473693,2.8881533561083567e-11,2.8844946224884032e-11
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,7,16,2.62997468780668e-06,2.643029347382253e-06,2.6380377278201195e-06,-5.578718997695291,4.603618553486749e-06,0.5957205520634563,7.727815563074015e-06,5.645239582463546e-06,0.5957205520634563,4.597633816295206e-06,0.9999922822306527,3.1889270578963975e-11,3.1835333634857576e-11
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,8,16,1.0006910088122822e-05,1.0056583050754853e-05,1.0037589902367472e-05,-4.99837055190731,6.233281779092492e-06,0.5067332631586202,1.2300912989659054e-05,2.1479489532794105e-05,0.5067332631586202,6.238023557277533e-06,0.9999876897294676,4.6222958590291166e-10,4.6180445631271096e-10
42,dp_fisher_wiener,d9c545447e9ad895a94ccf81dea4e55cc56ab5145782f0caa55cc6eaa21f329b,0,conv1,9,16,1.1471210200397763e-05,1.1528150935191661e-05,1.1506378939429851e-05,-4.939061327460405,2.078426194095235e-05,0.23306688678456267,8.917724103842894e-05,2.46224809643536e-05,0.23306688678456267,2.0792568608662803e-05,0.9999107871182585,6.075943144664496e-10,6.058756493065677e-10
