contrast,metric,seed,difference,mean,sd,improvement_direction
dp_fisher_wiener - dp_sgd,final_accuracy,91,-0.12760000000000005,,,positive difference improves
dp_fisher_wiener - dp_sgd,final_accuracy,aggregate,,-0.09933333333333338,0.025134504835650405,positive difference improves
dp_fisher_wiener - dp_sgd,best_accuracy,42,-0.07950000000000002,,,positive difference improves
dp_fisher_wiener - dp_sgd,best_accuracy,7,-0.09090000000000009,,,positive difference improves
dp_fisher_wiener - dp_sgd,best_accuracy,91,-0.12760000000000005,,,positive difference improves
dp_fisher_wiener - dp_sgd,best_accuracy,aggregate,,-0.09933333333333338,0.025134504835650405,positive difference improves
dp_fisher_wiener - dp_sgd,late_mean_accuracy,42,-0.13272857142857153,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mean_accuracy,7,-0.1557142857142858,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mean_accuracy,91,-0.24271428571428588,,,positive difference improves
dp_fisher_wiener - dp_sgd,late_mean_accuracy,aggregate,,-0.17705238095238107,0.058014653907674185,positive difference improves
dp_fisher_wiener - dp_sgd,accuracy_auc,42,-0.2497602803738317,,,positive difference improves
dp_fisher_wiener - dp_sgd,accuracy_auc,7,-0.2648915887850467,,,positive difference improves
dp_fisher_wiener - dp_sgd,accuracy_auc,91,-0.3536892523364486,,,positive difference improves
dp_fisher_wiener - dp_sgd,accuracy_auc,aggregate,,-0.28944704049844233,0.05614744393058584,positive difference improves
dp_fisher_wiener - dp_sgd,final_test_loss,42,0.15163996069431301,,,negative difference improves
dp_fisher_wiener - dp_sgd,final_test_loss,7,0.1929071333646774,,,negative difference improves
dp_fisher_wiener - dp_sgd,final_test_loss,91,0.23268557715415955,,,negative difference improves
dp_fisher_wiener - dp_sgd,final_test_loss,aggregate,,0.1924108904043833,0.04052508704057115,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_noisy,42,-1156.3422903905891,,,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_noisy,7,-1229.24258494812,,,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_noisy,91,-1377.3816953855296,,,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_noisy,aggregate,,-1254.3221902414127,112.63367432246828,negative difference improves
dp_fisher_wiener - dp_sgd,late_relmse_filtered,42,-1994.3923856571882,,,negative difference improves
