seed,run_id,method,config_fingerprint,step,epoch,train_loss,learning_rate,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,refresh_time,diagnostic_spectrum_time,beta_observation_time,oracle_diagnostic_time,reconstruction_diagnostic_time,wiener_filter_time,beta_controller_time,active_state_bytes,diagnostics_finite,beta_diagnostics_finite,oracle_diagnostics_finite,oracle_diagnostic_error
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,1,2.301727294921875,0.5,,,1.0,0.0916288685294725,1.9027749503578344,1.904847513019995,0.07114727449576332,431.2312280708054,1.1255810921580764,0.046658293024982346,0.307369690773029,0.2304909603958913,0.0009608314754026058,0.002318941520896589,0.5562838768780094,23.80006675778276,0.9973898432699476,0.4800947410625233,0.24004737053126166,0.03557363724788166,0.04581443426473625,0.7764722585363564,1.0414611059733374,0.1525870868936181,0.004738929681479931,0.0007183253765106201,0.0006183739751577377,0.014193645678460598,0.001473553478717804,6.302259862422943e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,1,2.2940444946289062,0.5,,,1.0,0.1084251324539656,1.9000100046397965,1.9030525631552868,0.08361635577901398,307.08022685800364,0.8879935150546819,0.05652610679244981,0.45821417113743756,0.31805564899668,0.000937517119780724,0.003256477989958852,1.1047704606867255,25.305239062529942,0.9971082686627523,0.5639642266994246,0.2819821133497123,0.04180817788950699,0.0542125662269828,0.7711897959910067,0.8865810566130073,0.0,0.0,0.0006891489028930664,0.0006046649068593979,0.014140795916318893,0.0014417404308915138,6.194226443767548e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,1,2.3197054862976074,0.5,,,1.0,0.11481172857619583,1.896877318132755,1.900570837117288,0.09371470166137838,272.9643784077294,0.7802844069103377,0.062343502371844266,0.5427123332158751,0.365668934309875,0.0008431616679116917,0.0036634816812256368,1.5888073342037852,26.371772115684394,0.9971414423689211,0.6047056592342055,0.30235282961710275,0.04685735083068919,0.057405864288097914,0.8162467617369883,0.8268485541087366,0.0,0.0,0.0007118294015526772,0.0006058914586901665,0.014160512015223503,0.0014444701373577118,6.034970283508301e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,3,1,2.3015806674957275,0.5,,,1.0,0.09954759813116924,1.9006107234305438,1.9033659863347898,0.07715746667089664,364.52286810408015,1.0405266701108966,0.05380822028859611,0.3613970727260229,0.2518669198219926,0.0010039297815119907,0.002743312113996886,0.6882449199796944,23.99467793071881,0.9971455105806599,0.5018634473858329,0.25093172369291644,0.03857873333544832,0.04977379906558462,0.7750811482932985,0.9962869433975802,0.0,0.0,0.0006834231317043304,0.0006222333759069443,0.014248950406908989,0.0014274055138230324,6.341375410556793e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,4,1,2.2963345050811768,0.5,,,1.0,0.09957372032083599,1.9060872515134077,1.9082480219843398,0.07491601295661734,366.4342720428719,0.9475670445176341,0.04777827308968279,0.41102897624943435,0.3009904196031291,0.0008458410151905971,0.0027290023783088425,0.9711087024735738,25.512639317035877,0.9974140872816435,0.5486259377783091,0.2743129688891546,0.03745800647830867,0.049786860160417994,0.752367318542745,0.9113677745967792,0.0,0.0,0.0006834594532847404,0.0006033340469002724,0.014318151399493217,0.0014549940824508667,5.991198122501373e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,5,1,2.3001632690429688,0.5,,,1.0,0.09984124983825265,1.898838197412905,1.9013349778775797,0.07742914906542522,361.70615661873427,0.9769428428328527,0.05124664995049995,0.4026268774140984,0.2701283518060355,0.0008673724177959912,0.0027646750866711957,0.8610109209784356,24.933645608973023,0.9972990704610474,0.5197387341790445,0.25986936708952224,0.03871457453271261,0.04992062491912633,0.7755226340747227,0.9620218142656138,0.0,0.0,0.0006851674988865852,0.0006112828850746155,0.014467919245362282,0.0014324989169836044,6.895512342453003e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,6,1,2.300647020339966,0.5,,,1.0,0.09690829998420393,1.8969895020877923,1.8994364651733544,0.07740176554902234,383.18447495351995,1.0112502795877523,0.05074378009521585,0.39231293943542683,0.2719935537606113,0.000924079536042653,0.0026097090703232143,0.7681417199437635,24.688492583413662,0.997360930972712,0.5215300123296945,0.26076500616484727,0.03870088277451117,0.048454149992101965,0.7987114164632072,0.9587175966451521,0.0,0.0,0.0006125420331954956,0.0006093215197324753,0.014676644466817379,0.0014398451894521713,5.558133125305176e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,7,1,2.2902822494506836,0.5,,,1.0,0.09105924031934705,1.8979149823961272,1.9002293115301416,0.07308681618303256,434.41565024123315,1.1351357095447452,0.04936023200187423,0.31713152226384084,0.21805138676163222,0.0009818086376024006,0.002301942849719655,0.5112420193936703,23.465320042342,0.9973869824696369,0.46695972713032996,0.23347986356516498,0.03654340809151628,0.045529620159673524,0.8026293204853236,1.0707561507962284,0.0,0.0,0.0007549989968538284,0.0006674602627754211,0.014116302132606506,0.001580454409122467,7.1749091148376465e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,8,1,2.2804245948791504,0.5,,,1.0,0.10815961110380815,1.9014692528730883,1.9045482894049286,0.08481029821459232,309.06397091192264,0.9075041254181867,0.056839596905594786,0.4510414106864959,0.3034906811937229,0.0009368977119281103,0.0032355761073141177,1.0481050216635581,25.104531818739897,0.9970637013342569,0.5508998830946716,0.2754499415473358,0.04240514910729616,0.05407980555190407,0.7841217007670808,0.9076059286677465,0.0,0.0,0.0005851006135344505,0.0004895869642496109,0.01614306401461363,0.0012659328058362007,8.259899914264679e-06,10905008,True,True,True,
91,dp_fisher_wiener_adaptive_beta_lr0p50,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,9,1,2.288140296936035,0.5,,,1.0,0.09314797054786798,1.8927572378173998,1.8956683968541141,0.08081525180122123,412.8982448128759,1.1054272406449446,0.055797696866764876,0.37304246753107934,0.25078065700299706,0.0010446432096262834,0.0024219042159834424,0.5814106910316771,23.80326049963471,0.9973227611051105,0.5007800485272922,0.2503900242636461,0.040407625900610616,0.04657398527393399,0.8676007788914277,0.9984423330550316,0.0,0.0,0.0007402366027235985,0.0006380444392561913,0.014878155663609505,0.0016213878989219666,9.858980774879456e-06,10905008,True,True,True,
