seed,method,config_fingerprint,step,layer,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,kappa
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,0.0058237029141965475,0.05438881499997752,0.053677470331957335,0.053677470331957335,87.22093869680492,87.22093869680492,-0.06870862893742273,-0.06870862893742273,1.0,1.0,0.011465136527056809,0.011465136619548339,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,0.023028169924334055,0.28999989047243274,0.29110461421174666,0.29110461421174666,158.59037134950245,158.59037134950245,0.08743476721032237,0.08743476721032237,1.0,1.0,0.0063055530395257475,0.006305553044569558,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,fc1,0.10599929232315534,1.8705993354123287,1.8739183200654748,1.8739183200654748,311.4265393129227,311.4265393129227,0.0595664506652259,0.0595664506652259,1.0,1.0,0.00321103012645274,0.0032110301260881865,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,fc2,0.028492797817851013,0.14927386662489858,0.15092041869715464,0.15092041869715464,27.44715732014483,27.44715732014483,0.15186988545690308,0.15186988545690308,1.0,1.0,0.03643364546132441,0.03643364554886444,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,conv1,0.005787212939326878,0.05256698607944457,0.052860896421393404,0.052860896421393404,82.50632006449446,82.50632006449446,0.10538499496658028,0.10538499496658028,1.0,1.0,0.01212028325828127,0.012120283193721017,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,conv2,0.024653681362526155,0.2927207739676181,0.29331192776527837,0.29331192776527837,140.97546364472944,140.97546364472944,0.06598054127403272,0.06598054127403272,1.0,1.0,0.007093432945630525,0.007093432934139034,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,fc1,0.10825496194370811,1.8680482417795066,1.8712949528765408,1.8712949528765408,297.769733147508,297.769733147508,0.058890466543494835,0.058890466543494835,1.0,1.0,0.0033582996812473436,0.0033582996815270847,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,fc2,0.033967186951691375,0.15293238874155113,0.1566366472100171,0.1566366472100171,20.271215038367707,20.271215038367707,0.2161912223817326,0.2161912223817326,1.0,1.0,0.04933103404003169,0.04933103405009897,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,2,conv1,0.007856229313575496,0.05726708446006001,0.05845571143620605,0.05845571143620605,53.135140880548256,53.135140880548256,0.2169572952175664,0.2169572952175664,1.0,1.0,0.018819936616730485,0.018819936493074188,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7,dp_sgd,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,2,conv2,0.027843374690461484,0.29068702442884486,0.29111687870684716,0.29111687870684716,108.99524416161158,108.99524416161158,0.06324854144230822,0.06324854144230822,1.0,1.0,0.00917471222153074,0.009174712205521638,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
