seed,method,config_fingerprint,step,layer,bin,count,lambda_min,lambda_max,lambda_mean,log10_lambda_mean,signal_power,noise_power,empirical_snr,H_mean,mse_before,mse_after,mse_reduction,signal_retention,noise_retention
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,0,16,4.2896965624095174e-07,4.2897033836197807e-07,4.289700328286017e-07,-6.367573045884635,3.485099071227076e-09,1.1193903519518884e-05,0.0003113390028608951,0.024049090105108917,1.1193903519518884e-05,7.769737063314403e-09,0.9993058957176412,0.0005781928589028037,0.0005783587006377659
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,1,16,6.246040697988064e-07,6.246050361369271e-07,6.246046098112856e-07,-6.204394814841305,2.0738015508617892e-08,1.7451286195119557e-05,0.0011883373000942592,0.03463694592937827,1.7451286195119557e-05,3.1364839140515105e-08,0.9982027205907604,0.0011996605196519824,0.0011997179642519683
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,2,16,6.272801442719356e-07,6.272811106100562e-07,6.272806842844147e-07,-6.202538085390845,1.2859991388625444e-08,1.9891262056657448e-05,0.0006465145703415403,0.03478018497116864,1.9891262056657448e-05,3.63690221372902e-08,0.9981716082063921,0.001209567245713624,0.0012096612590272431
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,3,16,9.019927915687731e-07,9.019942126542446e-07,9.019935980347782e-07,-6.044796544883819,6.913629749235509e-08,1.4511767822742782e-05,0.004764153724941165,0.04926156951114535,1.4511767822742782e-05,6.009125541931911e-08,0.9958591363910687,0.0024266672918249813,0.002426701581121234
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,4,16,9.55798327595403e-07,9.557998055242933e-07,9.55799123403267e-07,-6.019633372121668,2.9650727935912248e-08,2.1849521787687937e-05,0.0013570423585003988,0.052047167206183076,2.1849521787687937e-05,5.803277645444791e-08,0.9973439796823779,0.002708815947391545,0.0027089078888110846
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,5,16,1.1632206451395177e-06,1.1632224641289213e-06,1.1632216754264846e-06,-5.934337513783516,6.382226989426907e-08,1.5355402069221082e-05,0.004156339602846161,0.06263471208512783,1.5355402069221082e-05,5.8092694162607275e-08,0.9962167913208967,0.003923045129355948,0.003923105896352476
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,6,16,2.5047997951332945e-06,2.504803660485777e-06,2.5048019551832112e-06,-5.60122660639204,3.500059536068452e-07,2.196585414527e-05,0.015934091857207455,0.12578665371984243,2.196585414527e-05,5.493566436459953e-07,0.9749904276426821,0.01582223756229073,0.01582228059076043
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,7,16,2.511088723622379e-06,2.5110925889748614e-06,2.5110908836722956e-06,-5.600137568623959,3.8122962294101606e-07,1.5069414129337191e-05,0.025298236173667873,0.1260626595467329,1.5069414129337191e-05,7.793567846090063e-07,0.9482822141456737,0.015891753853941037,0.015891793989156817
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,8,16,1.0000098882301245e-05,1.0000114343711175e-05,1.0000107522500912e-05,-4.999995330382221,2.13868026831643e-07,1.9035544366809005e-05,0.011235193040728439,0.36485552601516247,1.9035544366809005e-05,2.5417455262644656e-06,0.8664737218038241,0.1331189902994394,0.13311956612877252
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,9,16,1.170540417660959e-05,1.1705422366503626e-05,1.1705414351581567e-05,-4.931613208415846,2.3633099591454996e-06,8.5397564606181e-06,0.2767420468372934,0.4020584896206856,8.5397564606181e-06,1.5267897023387501e-06,0.8212139268147034,0.16165097755510346,0.16165097097594594
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,0,464,1.004303484819502e-08,2.3105789281885336e-08,1.5157861397087118e-08,-7.819362068424374,4.4354934016693e-09,1.866452037232136e-05,0.00023764302942409955,0.0008698736750500694,1.866452037232136e-05,4.4176262970657615e-09,0.9997633142469103,8.307445656853645e-07,8.419129009974262e-07
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,1,464,2.3105789281885336e-08,2.9579911853261365e-08,2.5947566134035548e-08,-7.5859033724640845,2.835451367164301e-09,1.8086028231156612e-05,0.0001567757815120468,0.0014882990438089673,1.8086028231156612e-05,2.8694347152761316e-09,0.9998413452351204,2.201563029112361e-06,2.2546645091572357e-06
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,2,464,2.9583960170498358e-08,3.719086194564625e-08,3.350914255651693e-08,-7.474836684899361,5.685607798145234e-09,1.703475215638436e-05,0.0003337652002321124,0.001921179087667983,1.703475215638436e-05,5.729375130085246e-09,0.9996636655032516,3.756952107946065e-06,3.69809307252425e-06
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,3,464,3.719086194564625e-08,4.6816527543569464e-08,4.227654493915328e-08,-7.373900512735794,7.457071777031783e-09,1.7125224275511885e-05,0.0004354437186700825,0.002422618221066057,1.7125224275511885e-05,7.563275365714088e-09,0.9995583546934983,5.912937321464517e-06,5.856671645140102e-06
42,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,4,464,4.810537745925103e-08,6.12048651760233e-08,5.403286335600434e-08,-7.267342017343972,8.52219688671915e-09,1.8219563328189637e-05,0.00046774976246459715,0.003094195021448882,1.8219563328189637e-05,8.464897686009539e-09,0.9995353951645862,9.74470642154788e-06,9.78374696627565e-06
