seed,method,config_fingerprint,step,layer,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90,trace_A,trace_G,trace_F,kappa
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,0.0058237029141965475,0.05438881499997752,0.053677470331957335,0.009107151004304403,87.22093869680492,3.570166554315099,-0.06870862893742273,-0.0398618026450625,0.11577987978910433,0.029265996640403944,0.011465136527056809,0.0453574900928529,5.972697836699636,0.959067551823551,0.1278278917190619,0.13200287587947532,0.02429337240755558,0.40014487504959106,0.03391425516456366,0.03506887424737215,0.057815058156847954,0.12710241600871086,0.36838462352752666,3.1413754411957487e-06,1.0688184488572006e-06,6.113117507311472e-07,1.0161357386095906e-05,3.1413726806640625,0.0001600001414772123,0.0005026200669817626,0.0674774403039792
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,0.023028169924334055,0.28999989047243274,0.29110461421174666,0.026276000607599603,158.59037134950245,1.448989938535235,0.08743476721032237,0.3737722524978377,0.2774824976695158,0.0062750892964196555,0.0063055530395257475,0.2788295949154859,16.456156845970327,0.9908633170715976,0.019904569368194142,0.08115745421709317,0.00023427128326147795,0.8472965955734253,0.00039068495971150696,0.0010870529513340443,0.002139722229912877,0.006420033168978989,0.03247810900211334,9.595330217958515e-07,3.7328792501512e-08,6.803817065303974e-09,5.843677399752778e-07,13.91309928894043,0.0003200031351298094,0.004452235531061888,0.11910794167226285
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,fc1,0.10599929232315534,1.8705993354123287,1.8739183200654748,0.08544563784486699,311.4265393129227,0.7930267176573831,0.0595664506652259,0.5314281493041336,0.37617151859649156,0.0007799131746996899,0.00321103012645274,1.5487596796358933,26.833396533534266,0.9974535673182936,0.0036281692590463656,0.028409783959783573,5.744252121075988e-06,0.9765444993972778,2.6136469386983663e-05,0.00016552229135413654,0.0005484581924974918,0.0014671040698885918,0.003621640638448298,5.02067085419739e-07,9.552962421111033e-09,4.5500328504921583e-10,6.327575263753715e-08,78.62708282470703,0.0012824101140722632,0.10083216428756714,0.1114312090024603
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,fc2,0.028492797817851013,0.14927386662489858,0.15092041869715464,0.012455125879265802,27.44715732014483,0.8131756969125516,0.15186988545690308,0.4322592394027222,0.11976260019890551,0.003361448969446766,0.03643364546132441,1.298067619634742,15.517946886850225,0.9703730449244291,0.005075766284982128,0.05065688535851441,5.4617944442725275e-06,0.5834171772003174,6.663824342467705e-06,1.4918327224222594e-05,0.0002892055199481547,0.0006888740026624873,0.001546168210916229,1.953943629792581e-07,5.036031813787645e-09,1.1600660640431748e-10,2.695783951622857e-08,2.2157912254333496,0.00011375571193639189,0.00025205890415236354,3.220832554986296
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,conv1,0.005789235522993574,0.05256698580882066,0.05280063879458745,0.008794781777366346,82.44867886599104,3.214032771698006,0.0950922459459332,0.030878150932405042,0.10343293106746498,0.029651890666396525,0.012128756743650309,0.042308023337684963,5.426064493597704,0.9610177771828358,0.1278278917190619,0.13200287587947532,0.02429337240755558,0.40014487504959106,0.03391425516456366,0.03506887424737215,0.057815058156847954,0.12710241600871086,0.36838462352752666,3.1413754411957487e-06,1.0688184488572006e-06,6.113117507311472e-07,1.0161357386095906e-05,3.1413726806640625,0.0001600001414772123,0.0005026200669817626,0.06668107796664172
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,conv2,0.024906027473476696,0.29272077438423383,0.2933396688426975,0.02596422717030459,138.1332291409201,1.4193080851176363,0.06727550930307044,0.32013447731742617,0.34147657235914947,0.007256782572608898,0.007239387688215537,0.3406580352967196,16.726168024300403,0.9897250785062505,0.019904569368194142,0.08115745421709317,0.00023427128326147795,0.8472965955734253,0.00039068495971150696,0.0010870529513340443,0.002139722229912877,0.006420033168978989,0.03247810900211334,9.595330217958515e-07,3.7328792501512e-08,6.803817065303974e-09,5.843677399752778e-07,13.91309928894043,0.0003200031351298094,0.004452235531061888,0.1393255590461321
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,fc1,0.1089224022177788,1.8680482419105982,1.8713408273276384,0.08286727701371084,294.1316460522357,0.7668741920872796,0.059304901961467295,0.5336085366603557,0.3838907828626204,0.0007675865927867133,0.0033998381790507253,1.7003508816462862,26.990803042364995,0.9973927518429933,0.0036281692590463656,0.028409783959783573,5.744252121075988e-06,0.9765444993972778,2.6136469386983663e-05,0.00016552229135413654,0.0005484581924974918,0.0014671040698885918,0.003621640638448298,5.02067085419739e-07,9.552962421111033e-09,4.5500328504921583e-10,6.327575263753715e-08,78.62708282470703,0.0012824101140722632,0.10083216428756714,0.11766175791822009
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,1,fc2,0.03404593624186162,0.15293238864549105,0.15669332847095865,0.01692595289612142,20.17754758754592,0.6595323103046629,0.21777967923140698,0.5909943931523498,0.16649566477042796,0.0036278527924191086,0.049560036706926124,2.274494484638061,16.61753268682546,0.9673135544636979,0.005075766284982128,0.05065688535851441,5.4617944442725275e-06,0.5834171772003174,6.663824342467705e-06,1.4918327224222594e-05,0.0002892055199481547,0.0006888740026624873,0.001546168210916229,1.953943629792581e-07,5.036031813787645e-09,1.1600660640431748e-10,2.695783951622857e-08,2.2157912254333496,0.00011375571193639189,0.00025205890415236354,4.598630522037072
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,2,conv1,0.006905288959337004,0.05726708460420458,0.05852568582078332,0.010990476932811083,68.77750637621818,2.5970915817963562,0.23930009674400565,0.2940770524927681,0.11525578398976036,0.03432097395274245,0.014539637032682951,0.04882662385081544,5.261031307859245,0.9622392302681322,0.1278278917190619,0.13200287587947532,0.02429337240755558,0.40014487504959106,0.03391425516456366,0.03506887424737215,0.057815058156847954,0.12710241600871086,0.36838462352752666,3.1413754411957487e-06,1.0688184488572006e-06,6.113117507311472e-07,1.0161357386095906e-05,3.1413726806640625,0.0001600001414772123,0.0005026200669817626,0.09486890526160145
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,2,conv2,0.027032663873106776,0.290687024915091,0.2911056290155821,0.025653444836130888,115.63081981555466,1.2343274714844144,0.06190501068654851,0.35102689892183403,0.3421620352202938,0.006510335808761829,0.008648213341519665,0.45452191154894106,17.206284298153943,0.9893252726786966,0.019904569368194142,0.08115745421709317,0.00023427128326147795,0.8472965955734253,0.00039068495971150696,0.0010870529513340443,0.002139722229912877,0.006420033168978989,0.03247810900211334,9.595330217958515e-07,3.7328792501512e-08,6.803817065303974e-09,5.843677399752778e-07,13.91309928894043,0.0003200031351298094,0.004452235531061888,0.1641343794176912
