seed,method,config_fingerprint,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,clip_rate,wiener_filter_time,step,epoch,train_loss,refresh_time,diagnostic_spectrum_time,active_state_bytes,test_loss,test_accuracy
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.1123027231468387,1.899600652919797,1.9031473958402023,0.09071634689916863,286.11725235726686,0.8293734129522983,0.06105702994285891,0.5095060058164855,0.35481639923790126,0.0009472781011017266,0.003495070610673137,1.3091280875748004,25.7352618650933,0.9971012813588869,1.0,0.0013195760548114777,0,1,2.308786153793335,0.1474764971062541,0.004681809805333614,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.11694888170447273,1.897746371187473,1.901395634786316,0.08890985749719481,263.32020990629206,0.7933642635408529,0.06192740801674161,0.5160234041833739,0.36285568707834764,0.0009627146239483771,0.0037976576134527533,1.4313708632257334,25.762363650702653,0.9969870741641025,1.0,0.001264321617782116,1,1,2.3144068717956543,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.13573030337425834,1.9036788936405356,1.9083548975692095,0.10583880150939627,196.7133117956361,0.6784062949565113,0.06997061586827782,0.5960962810008137,0.41293339918573596,0.0009677728112017856,0.005083540055409851,2.1690663864444555,26.301065942484914,0.9965512944255592,1.0,0.0012913187965750694,2,1,2.3114848136901855,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.11761300439991296,1.8934285704351501,1.8966622075512867,0.09031118024069244,259.1714531857377,0.8512224984539086,0.058475695242546186,0.48081074191942996,0.33861771841773386,0.0011000387021122228,0.0038584496387832103,1.1877213143218723,24.883017139574882,0.996715600858079,1.0,0.0011373842135071754,3,1,2.3052334785461426,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.10903655764020258,1.8982049594963821,1.9009177237858317,0.0846560769310459,303.0692982299932,0.8799908259044411,0.05354162714677079,0.4654860044422845,0.30232002574837796,0.0008892626626053981,0.0032995753966366163,1.1217469939869973,25.314368576536978,0.9970964039213356,1.0,0.00113776046782732,4,1,2.2917730808258057,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.11592006652523532,1.89614212601937,1.8997551664700365,0.09560789959566877,267.56205964330604,0.80616681851746,0.06164795135234549,0.5298939766974928,0.3446084483361004,0.0009320728036407056,0.003737450673157581,1.3818202525492222,25.678760839290902,0.9969869912812304,1.0,0.001378924585878849,5,1,2.2921032905578613,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.11873575736874643,1.8960489930715545,1.8995368582066583,0.08262235984915728,254.9975786946075,0.8251508173544145,0.060601920693626694,0.4735623454584388,0.30482953415677455,0.0008695192927015926,0.0039216058640557504,1.3748070898746731,25.44777819697723,0.996764083715703,1.0,0.0014328379184007645,6,1,2.301184892654419,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.11782998243597542,1.8979572324616003,1.9013292843814098,0.0914112278049707,259.4545063538826,0.7816688595150227,0.059578778827447575,0.5286101064851992,0.37698068465163415,0.0009481983453124787,0.0038542402441981405,1.5323525219505967,25.994199055314013,0.9969872604238037,1.0,0.001178189180791378,7,1,2.3057003021240234,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.11592005325112217,1.9011411022172593,1.9048528567655234,0.08866574602804755,268.9747785395736,0.8348132890316662,0.06241631644302812,0.4904246338566922,0.31852630080631233,0.0009316003564341315,0.003717820701832744,1.2711713416310486,25.33915651730873,0.996896313871642,1.0,0.0011275289580225945,8,1,2.3009183406829834,0.0,0.0,10905008,,
7,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0.10597066789324772,1.8991393591734473,1.9018255975057023,0.080103082397222,321.1754386247294,0.9588227562193834,0.053191232106451145,0.4051865927146996,0.26899591589411087,0.0010199201557268048,0.0031135631173811597,0.8211777731798372,24.211795116122733,0.9970146448298637,1.0,0.0011397069320082664,9,1,2.288569927215576,0.0,0.0,10905008,,
