metric,seed,beta1_effect,beta2_effect,interaction,beta1_effect_mean,beta1_effect_std,beta1_effect_n,beta2_effect_mean,beta2_effect_std,beta2_effect_n,interaction_mean,interaction_std,interaction_n
final_accuracy,7,0.0016000000000000458,0.000500000000000056,-0.0008000000000001339,,,,,,,,,
final_accuracy,42,0.0,-0.000500000000000056,0.000500000000000056,,,,,,,,,
final_accuracy,91,-0.0019000000000000128,-0.00040000000000006697,-0.0011999999999999789,,,,,,,,,
final_accuracy,all,,,,-9.999999999998899e-05,0.001752141546793552,3.0,-0.00013333333333335565,0.0005507570547286772,3.0,-0.000500000000000019,0.0008888194417316047,3.0
final_test_loss,7,0.007713867712020872,0.03143183917999265,-0.005341887414455404,,,,,,,,,
final_test_loss,42,-0.0066249195933341665,0.022486328268051192,0.0019160233855247122,,,,,,,,,
final_test_loss,91,0.004712141489982613,0.03037633059024808,-0.00034036750793459136,,,,,,,,,
final_test_loss,all,,,,0.0019336965362231062,0.0075624085196355564,3.0,0.028098166012763975,0.004888564896827434,3.0,-0.0012554105122884278,0.003714471035016921,3.0
late_mean_accuracy,7,0.0013571428571430566,0.00017142857142860013,0.00021428571428550036,,,,,,,,,
late_mean_accuracy,42,0.0007428571428571562,-0.001942857142857024,0.00039999999999995595,,,,,,,,,
late_mean_accuracy,91,-0.0020857142857143574,-0.0020285714285713796,0.0016142857142857903,,,,,,,,,
late_mean_accuracy,all,,,,4.7619047619518184e-06,0.0018362746967447957,3.0,-0.001266666666666601,0.0012461641826292196,3.0,0.0007428571428570822,0.0007603704789813429,3.0
