method,step,epoch,layer,v_syn_q01,v_syn_q05,v_syn_q50,v_syn_q95,v_syn_q99,sqrt_v_q01,sqrt_v_q05,sqrt_v_q50,sqrt_v_q95,sqrt_v_q99,P_q01,P_q05,P_q50,P_q95,P_q99,attenuation_q05,attenuation_q50,attenuation_q95,lambda_over_median,fraction_below_lambda,D_sample,D_time,A_new,A_old,stale_ratio,refresh_seconds,config_fingerprint
syn_diag,0,1,conv1,3.6980900958372464e-05,6.659252907609609e-05,0.0001439134853079774,0.00043744799162019735,0.0009247303681899568,0.006081189786494264,0.008160397020146454,0.011996383967061687,0.020914788341216486,0.03040937718669687,32.563348650747514,47.13893076515331,81.32485961368417,118.19851289057779,156.71070962695006,0.9645404461328266,0.9756025421158947,0.985858320770454,0.025007535672724884,0.0,0.05662687452242123,,0.01898812533999445,,,2.0828086314722896,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,0,1,conv2,7.583220584222149e-13,3.4616789067487943e-07,0.00010806182726684339,0.0005632263227270482,0.0008563730292941149,7.741440813257512e-07,0.0005883603343254054,0.010395276818139279,0.02373238972708743,0.029263806785934918,33.82524558104011,41.61051032962353,93.49925477539102,1125.6693608218125,3324.759712458809,0.6622991917534563,0.9719502235673827,0.9875168469011129,0.028859260339899155,0.03577586206896552,0.6720453703175795,,0.3469805777295455,,,2.0828086314722896,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,0,1,fc1,0.0,0.0,7.550550093176282e-06,0.00020463223116619936,0.000452513868015706,0.0,0.0,0.002747826430674412,0.014304972252624594,0.021272373247743635,46.355586287320435,68.469832245243,328.10267341423025,3333.3333333333335,3333.3333333333335,0.0,0.901569197975731,0.9794590503264271,0.1091772015332022,0.1730501115360102,1.6746912184022036,,11.981972567054946,,,2.0828086314722896,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,0,1,fc2,0.0,9.199050475944304e-11,0.00019712435067540193,0.0020435263851464967,0.004480911830310844,0.0,9.588479292000728e-06,0.014040025753669114,0.045205371819077175,0.06693868248562529,14.872796008978318,21.975435410937674,69.73556930586265,3230.0960948548977,3333.3333333333335,0.030971171543530632,0.9790793292082411,0.9934073693767186,0.021367482173001016,0.09224806201550388,1.4522100737170318,,3.012567531534723,,,2.0828086314722896,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,100,1,conv1,8.019967268087339e-05,0.0001277845462426982,0.0003231279428979023,0.0011031860019506737,0.0020269931349007186,0.008955255307855252,0.01130400387264693,0.017975759626418508,0.0332049187414992,0.044947415112040166,22.172022828501884,29.861382927132173,54.7172892750875,86.17979880161845,108.0506096663057,0.9741460603595145,0.9835848132174736,0.9910415851218602,0.01668914172389676,0.0,0.050747752192982075,0.221175424447417,0.014935592990463998,0.316894517101468,21.21740444337093,1.622636429965496,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,100,1,conv2,0.0,3.039246503921393e-06,0.00023131331653903213,0.0011654890293350067,0.0022680161327478907,0.0,0.001743341049887476,0.015208987675521219,0.034139258886907484,0.047623642267946215,20.86657142582076,29.036630266499586,64.47874382670818,489.3955636836562,3333.3333333333335,0.8531813308949033,0.9806563768519876,0.9912890109200501,0.019725178716716845,0.014224137931034483,0.08835178329593914,1.9859277147913657,0.1303179224994462,0.9717359260298828,7.456656056088951,1.622636429965496,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,100,1,fc1,0.0,0.0,1.6603832181939603e-05,0.00028776933444861616,0.0006188408661121314,0.0,0.0,0.004074780016286231,0.01696376533083182,0.02487651233424407,39.71956032010002,57.92479112594377,228.5829221857502,3333.3333333333335,3333.3333333333335,0.0,0.931425123344275,0.9826225626622167,0.07362360637898216,0.1005168499043977,1.3330116688647446,4.053675988222906,11.984773464086437,14.093082001804186,1.1759155935683163,1.622636429965496,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,100,1,fc2,0.0,5.744836365695909e-09,0.00037958974807128867,0.004848719013323885,0.05758625807373627,0.0,7.578579340142185e-05,0.019482993865207333,0.06963274338035644,0.23997126556305282,4.161966092423503,14.299453510233118,50.54881485353092,2661.11590908279,3333.3333333333335,0.20166522727516295,0.9848353555439406,0.9957101639469301,0.01539804416485184,0.059689922480620154,1.4292055589316701,3.9827126633126437,1.3870687171687246,4.378533498566006,3.156681024066553,1.622636429965496,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,200,1,conv1,0.00017997074966294533,0.00025249707722550216,0.0007486433520405043,0.0025465664528926835,0.004736180764251723,0.013415236784749183,0.015890151948978668,0.027361331904725793,0.050463433027296604,0.0688167341516847,14.469597837612472,19.699282894614367,36.15159018516262,61.765977894786886,72.91245313764607,0.9814702066315638,0.9891545229444512,0.9940902151316157,0.010964378526769911,0.0,0.05454379957489034,0.28573410502564967,0.011097356610649253,0.44265485626584133,39.88831500658204,1.6381548643112183,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
syn_diag,200,1,conv2,5.6699858219083895e-06,1.3348670049637716e-05,0.0005339878625347434,0.0021862954783051503,0.0052875746321821345,0.0023811731824891318,0.0036535831548281743,0.023108177254744885,0.046757838658509764,0.07271538761625747,13.695864217983818,21.25044476204628,42.72011447009457,252.93511540911797,372.97106356659924,0.9241194653772645,0.9871839656589716,0.993624866571386,0.01298241729292603,0.00021551724137931034,0.06392429355213745,2.2391245869184284,0.06298866699865953,1.3325315980514119,21.155100774852315,1.6381548643112183,0a809179e48f0d52084636eb303f9a25b0535ab16fdc3f7baaf0448e82afbe6a
