method,seed,mean_refresh_time,total_refresh_time,wall_time,number_of_refreshes,peak_cuda_memory_allocated,peak_cuda_memory_reserved,preconditioner_state_bytes,final_accuracy,best_accuracy,late_mean_accuracy,peak_cuda_memory,late_norm_cv,late_norm_cv_q25,late_norm_cv_q75,late_norm_cv_iqr,late_coefficient_cv,late_coefficient_cv_q25,late_coefficient_cv_q75,late_coefficient_cv_iqr,late_aggregate_cosine,late_aggregate_cosine_q25,late_aggregate_cosine_q75,late_aggregate_cosine_iqr,late_shape_error,late_shape_error_q25,late_shape_error_q75,late_shape_error_iqr,late_snr,late_snr_q25,late_snr_q75,late_snr_iqr,oracle_R_diag_conv1,oracle_A_diag_raw_conv1,oracle_A_diag_pre_conv1,oracle_R_full_conv1,oracle_S_full_raw_conv1,oracle_S_full_pre_conv1,oracle_R_diag_conv2,oracle_A_diag_raw_conv2,oracle_A_diag_pre_conv2,oracle_R_full_conv2,oracle_S_full_raw_conv2,oracle_S_full_pre_conv2,oracle_R_diag_fc1,oracle_A_diag_raw_fc1,oracle_A_diag_pre_fc1,oracle_R_full_fc1,oracle_S_full_raw_fc1,oracle_S_full_pre_fc1,oracle_R_diag_fc2,oracle_A_diag_raw_fc2,oracle_A_diag_pre_fc2,oracle_R_full_fc2,oracle_S_full_raw_fc2,oracle_S_full_pre_fc2,refresh_A_old_diag_conv1,refresh_A_new_diag_conv1,refresh_delta_stale_diag_conv1,refresh_S_old_full_conv1,refresh_S_new_full_conv1,refresh_delta_stale_full_conv1,refresh_A_old_diag_conv2,refresh_A_new_diag_conv2,refresh_delta_stale_diag_conv2,refresh_S_old_full_conv2,refresh_S_new_full_conv2,refresh_delta_stale_full_conv2,refresh_A_old_diag_fc1,refresh_A_new_diag_fc1,refresh_delta_stale_diag_fc1,refresh_S_old_full_fc1,refresh_S_new_full_fc1,refresh_delta_stale_full_fc1,refresh_A_old_diag_fc2,refresh_A_new_diag_fc2,refresh_delta_stale_diag_fc2,refresh_S_old_full_fc2,refresh_S_new_full_fc2,refresh_delta_stale_full_fc2,G_diag,G_full
dp_sgd,42,0.0,0,1.175754594616592,0,84236800,96468992,0,0.09375,0.09375,0.09375,84236800,0.2910068983361812,0.2356634389008366,0.3463503577715258,0.11068691887068918,0.46185813611508564,0.3234071800302655,0.6003090921999057,0.2769019121696402,0.945737340658086,0.92419790965468,0.9672767716614921,0.0430788620068121,0.28974843153174,0.21944384320777688,0.3600530198557031,0.14060917664792622,0.0017049371760566,0.00155729380169755,0.00185258055041565,0.00029528674871809996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syn_diag,42,0.026929300278425217,0.05385860055685043,1.1632943470031023,2,89969664,117440512,827688,0.09375,0.09375,0.078125,89969664,0.3335676751532901,0.28022620052412084,0.3869091497824593,0.10668294925833849,0.5363309419980863,0.38538455868981136,0.6872773253063612,0.30189276661654985,0.930731510840309,0.9049811562562335,0.9564818654243845,0.05150070916815097,0.33203280845630295,0.25985118719418343,0.4042144297184224,0.144363242524239,0.0015995170130916501,0.001475928376203125,0.001723105649980175,0.0002471772737770502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dp_kfc,42,0.05809222161769867,0.11618444323539734,1.3022172451019287,2,175031808,222298112,10069164,0.09375,0.09375,0.078125,175031808,0.3539606415709632,0.2703892650625669,0.43753201807935954,0.16714275301679266,0.6363908764296831,0.4338861538997464,0.8388955989596196,0.40500944505987324,0.9271454549719299,0.8964751669389291,0.9578157430049307,0.06134057606600152,0.3258469574710927,0.23857955324843438,0.413114361693751,0.1745348084453166,0.0016839823064122,0.0015969989187525,0.0017709656940719,0.00017396677531940005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
