step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full
0,conv1,1.2647554858999743,1.0090075546981128,1.2761478401189565,0.8902776564850003,3.117477293787133,2.7754203792580094,160,160,1.4340032911026814e-15,2.0716260450182974e-12,1.2647554858999743,0.8902776564850003,1.2761478401189565,2.7754203792580094,160,2.0716260450182974e-12,,,,,,,,
0,conv2,0.7060500914257654,2.660017431334592,1.878105550587918,0.5853215884521662,2.2669681985148777,1.3269054269252738,512,512,2.631590883710698e-13,1.0875697040931537e-09,0.7060500914257654,0.5853215884521662,1.878105550587918,1.3269054269252738,512,1.0875697040931537e-09,,,,,,,,
0,fc1,1.3412815500412876,8.677166754498447,11.638523674440407,0.7300571839908049,1.941218298218679,1.4172003643089512,512,512,1.2455922971113472e-10,3.955369827795533e-06,1.3412815500412876,0.7300571839908049,11.638523674440407,1.4172003643089512,512,3.955369827795533e-06,,,,,,,,
0,fc2,0.5179632453750737,9.734194479933374,5.041954963938418,0.9698683796557735,2.5726592705286095,2.495140878113987,512,512,9.613749656889174e-14,7.521276552473242e-09,0.5179632453750737,0.9698683796557735,5.041954963938418,2.495140878113987,512,7.521276552473242e-09,,,,,,,,
50,conv1,0.9127644865345098,2.095141427583373,1.9123706893653174,0.9372129448149488,3.2890477455949054,3.08253812328597,160,160,6.859930117506948e-14,8.557345718143291e-11,0.9127644865345098,0.9372129448149488,1.9123706893653174,3.08253812328597,160,8.557345718143291e-11,0.9128023106861127,0.9371178684237563,1.9124499363123038,3.082225412495859,160,8.558747393071387e-11,7.924694698635548e-05,-0.00031271079011085945
50,conv2,0.6935359742093944,2.9034539065933616,2.013649733681299,0.6041520796958818,2.2751242010374924,1.3745210176232325,512,512,2.252521723552575e-12,9.430796114132567e-09,0.6935359742093944,0.6041520796958818,2.013649733681299,1.3745210176232325,512,9.430796114132567e-09,0.7154903529107122,0.6162611922726234,2.07739326028847,1.402070752699665,512,1.1108340687327691e-08,0.06374352660717131,0.027549735076432436
50,fc1,1.419435989815733,9.040513553926386,12.832430304860049,0.7554998156807033,2.018255040002114,1.5247913107182476,512,512,2.552224575111565e-10,6.825017657059326e-06,1.419435989815733,0.7554998156807033,12.832430304860049,1.5247913107182476,512,6.825017657059326e-06,1.3934844593375024,0.8173349425000688,12.597815141826473,1.6495903670706018,512,1.4271221011985512e-05,-0.23461516303357577,0.12479905635235422
50,fc2,0.5260683992554641,10.42102887441638,5.482173978559196,0.930345097904592,3.0498909793727975,2.8374511218029173,512,512,3.3098805896628067e-13,6.442972139120206e-08,0.5260683992554641,0.930345097904592,5.482173978559196,2.8374511218029173,512,6.442972139120206e-08,0.43719652479237037,0.9839770507132585,4.556037608655789,3.0010227308802166,512,1.1885173105442757e-07,-0.9261363699034071,0.1635716090772994
100,conv1,0.9431876577935777,2.0846342998515626,1.9662013426331502,0.9332666831722651,3.551499024476182,3.3144957148624217,160,160,9.241219043093419e-14,1.2613544875872216e-10,0.9431876577935777,0.9332666831722651,1.9662013426331502,3.3144957148624217,160,1.2613544875872216e-10,0.9437466710477,0.9334570560403423,1.9673666808367651,3.3151718239176846,160,1.2613332972095016e-10,0.001165338203614974,0.0006761090552629412
100,conv2,0.7619252868386637,3.0169323316754437,2.298677032184651,0.8438996451518403,4.558495259000761,3.8469125314970887,512,512,7.677543322475084e-12,2.1670248792519572e-08,0.7619252868386637,0.8438996451518403,2.298677032184651,3.8469125314970887,512,2.1670248792519572e-08,0.8028923522233458,0.8532092032999414,2.42227189627756,3.8893501081785997,512,3.471308767851199e-08,0.12359486409290898,0.04243757668151105
