seed,run_id,method,config_fingerprint,step,layer,clean_clipped_norm,learning_rate,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,kappa,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,trace_A,trace_G,trace_F,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,0,conv1,0.006260889024560795,0.1,0.05171752663773142,0.052262859230108344,0.052262859230108344,68.23441471884871,68.23441471884871,0.1465451083264288,0.1465451083264288,1.0,1.0,0.014655360908941201,0.014655360966200686,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,0,conv2,0.02594422380950015,0.1,0.2816563790095097,0.28252825545105265,0.28252825545105265,117.85766114849824,117.85766114849824,0.07946833619549402,0.07946833619549402,1.0,1.0,0.008484811159129975,0.00848481114613368,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,0,fc1,0.08400440509568913,0.1,1.8753708580683492,1.8771688000442024,1.8771688000442024,498.3910158479342,498.3910158479342,0.04376799226149808,0.04376799226149808,1.0,1.0,0.002006456713824714,0.002006456714371519,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,0,fc2,0.025036133728182003,0.1,0.14673662807550694,0.1487538988260423,0.1487538988260423,34.351249916282036,34.351249916282036,0.1641808978723737,0.1641808978723737,1.0,1.0,0.029111022183917246,0.029111022237565554,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,1,conv1,0.0058542897257972525,0.1,0.05422033854223075,0.054581715081409514,0.054581715081409514,85.77801932813684,85.77801932813684,0.1151528269910498,0.1151528269910498,1.0,1.0,0.011657997915021716,0.011657997942481426,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,1,conv2,0.02792992806074667,0.1,0.28037476273853307,0.28121252465641783,0.28121252465641783,100.77161143973669,100.77161143973669,0.07961027645123085,0.07961027645123085,1.0,1.0,0.009923429668517102,0.0099234296708938,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,1,fc1,0.10018152789873448,0.1,1.8728112593953896,1.8755235148314722,1.8755235148314722,349.47227036452654,349.47227036452654,0.05376144983201401,0.05376144983201401,1.0,1.0,0.0028614573592834697,0.0028614573592206623,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,1,fc2,0.029494013309345077,0.1,0.14514183082045135,0.14824229048586476,0.14824229048586476,24.216838731810906,24.216838731810906,0.20350144085841365,0.20350144085841365,1.0,1.0,0.04129358129182165,0.04129358122945401,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,2,conv1,0.005723330380108087,0.1,0.046938732943313445,0.047540876192005345,0.047540876192005345,67.2612723401876,67.2612723401876,0.16473605060418783,0.16473605060418783,1.0,1.0,0.014867395965395047,0.014867395916647194,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,2,conv2,0.029940783826150973,0.1,0.28652201965843876,0.2881192609080224,0.2881192609080224,91.57768817061607,91.57768817061607,0.10515781727693709,0.10515781727693709,1.0,1.0,0.010919690361796793,0.010919690370982624,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
91,dp_sgd_lr0p10,dp_sgd,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,2,fc1,0.10486055067151366,0.1,1.8688765332721868,1.8720601269970158,1.8720601269970158,317.64129170271565,317.64129170271565,0.05834117244995841,0.05834117244995841,1.0,1.0,0.0031482053058916578,0.0031482053060782546,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
