seed,run_id,method,config_fingerprint,step,layer,learning_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,kappa,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,trace_A,trace_G,trace_F,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,conv1,5.0,0.006260889024560795,0.05171752663773142,0.052262859230108344,0.009217257076537286,68.23441471884871,2.416493078691911,0.1465451083264288,0.2550164607218715,0.09467752084630614,0.029262269837438716,0.014655360908941201,0.04741714376034423,5.099388720380657,0.9645854208943492,0.30769712518368797,1.5384856259184398,0.04608628538268643,0.0031304445122803974,14.721962068700762,1.624974558016708,0.07798087083650496,0.1276304798317142,0.13247058819829505,0.023952143266797066,0.4016731083393097,0.033563237823545936,0.0346811655908823,0.057346681132912636,0.12638262659311295,0.3685374915599821,3.141690969467163,0.000160000185132958,0.0005026711151003838,3.141694009300977e-06,1.0596214679026161e-06,6.047663077879406e-07,1.016877222355105e-05
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,conv2,5.0,0.02594422380950015,0.2816563790095097,0.28252825545105265,0.029679794948256167,117.85766114849824,1.7034032095902296,0.07946833619549402,0.26455676024598757,0.24554459619811247,0.00913229396261115,0.008484811159129975,0.22813539934598911,14.29550498169763,0.9855469454172987,0.49552456669484357,2.477622833474218,0.14839897474128083,0.012972111904750075,11.439846943927522,1.00903170822387,0.10286675401738087,0.024589835081484313,0.08729228842198179,0.0011132016079500318,0.8950358033180237,0.0015893159550614655,0.002265527204144746,0.0038111564936116338,0.008708501933142543,0.048404409736394885,20.448074340820312,0.0003200029022991657,0.006543443072587252,1.4102239663923317e-06,6.659956142129886e-08,2.7711323014045774e-08,8.855004125507548e-07
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,fc1,5.0,0.08400440509568913,1.8753708580683492,1.8771688000442024,0.06343297246077069,498.3910158479342,1.0816073694195998,0.04376799226149808,0.32352102056898324,0.24372796780334027,0.000745566083117917,0.002006456713824714,0.6559171994299579,25.144192239404497,0.9978298016315982,0.4936881280761573,2.4684406403807864,0.31716486230385343,0.042002202547844564,7.551148345971164,1.0127851401803534,0.08219521201516232,0.0034289649771802543,0.027285586482367966,4.207079200568842e-06,0.9721584320068359,1.5842561333556658e-05,0.00021540752277360298,0.0007037323375698179,0.0018250526918563992,0.004105842392891646,66.95089721679688,0.0012823340948671103,0.08585342019796371,4.2748607288512303e-07,1.2259408599391008e-08,2.7579639128028075e-10,7.177039904604498e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,0,fc2,5.0,0.025036133728182003,0.14673662807550694,0.1487538988260423,0.008505563872024635,34.351249916282036,0.9194180517526058,0.1641808978723737,0.2884622729364108,0.0737937717330078,0.0025003877344693805,0.029111022183917246,0.8591515867181301,14.700123412741082,0.9732348006564351,0.2716500906184421,1.3582504530922104,0.042527819360123176,0.012518066864091001,3.397315241918067,1.8406031040146278,3.01894642537456,0.004631577768992259,0.04636191479332986,5.7433280744589865e-06,0.5355396866798401,7.237748150146217e-06,3.707056021085009e-05,0.0002802830858854577,0.0006548642413690686,0.001449036039412022,1.8253209590911865,0.00011374698078725487,0.00020762474741786718,1.6094939588462247e-07,4.880619020042332e-09,1.2599777193811336e-10,2.5261853586755486e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,conv1,5.0,0.00599820218747728,0.054220338885702664,0.05412293476330799,0.01012601939884579,81.71132285392247,3.761391880532071,0.03915925956986823,0.026225153032898976,0.10620767213798105,0.03612703410217494,0.012238205635871812,0.035978357701453134,4.683235889889096,0.9539673114094975,0.3258951858159016,1.629475929079508,0.05063009699422895,0.00299910109373864,16.881757364915092,1.5342356124306669,0.07157449141094532,0.1276304798317142,0.13247058819829505,0.023952143266797066,0.4016731083393097,0.033563237823545936,0.0346811655908823,0.057346681132912636,0.12638262659311295,0.3685374915599821,3.141690969467163,0.000160000185132958,0.0005026711151003838,3.141694009300977e-06,1.0596214679026161e-06,6.047663077879406e-07,1.016877222355105e-05
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,conv2,5.0,0.025619623623509707,0.28037476261962885,0.28100157506953566,0.024941069786830146,119.76566950990478,1.1031673745706816,0.07002508276680969,0.43377005804455215,0.3716729750850001,0.005517150133370791,0.008349638110452305,0.5624887414603492,18.284461814378655,0.9907889516330436,0.6096498790986512,3.048249395493256,0.12470534893415072,0.012809811811754853,9.73514293238722,0.8201428674740568,0.10030882934700364,0.024589835081484313,0.08729228842198179,0.0011132016079500318,0.8950358033180237,0.0015893159550614655,0.002265527204144746,0.0038111564936116338,0.008708501933142543,0.048404409736394885,20.448074340820312,0.0003200029022991657,0.006543443072587252,1.4102239663923317e-06,6.659956142129886e-08,2.7711323014045774e-08,8.855004125507548e-07
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,fc1,5.0,0.09118922608314638,1.8728112593265929,1.8749929888854016,0.0704514981934378,421.7945495827618,0.9844535725108408,0.0482285978720659,0.3963541790752875,0.30068533104140194,0.0007948379498267841,0.00237082247949542,0.8968765797768602,25.77833646758364,0.9976660353399911,0.5483478194006082,2.741739097003041,0.35225749096718895,0.04559461304157319,7.7258576717884315,0.911830014288434,0.09685665328617338,0.0034289649771802543,0.027285586482367966,4.207079200568842e-06,0.9721584320068359,1.5842561333556658e-05,0.00021540752277360298,0.0007037323375698179,0.0018250526918563992,0.004105842392891646,66.95089721679688,0.0012823340948671103,0.08585342019796371,4.2748607288512303e-07,1.2259408599391008e-08,2.7579639128028075e-10,7.177039904604498e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,1,fc2,5.0,0.039575657686901494,0.1451418310464996,0.14888817689504544,0.017387636263656265,13.45020529638791,0.7062103546915971,0.22637588590943436,0.5540203204447947,0.10230578881074469,0.0026929068249426963,0.07434830750000586,2.8245545095938973,15.796788738828727,0.9474944553561775,0.31985276114291195,1.5992638057145596,0.08693818131828132,0.019787828843450747,4.393517954985853,1.5632192706788424,7.54357413210969,0.004631577768992259,0.04636191479332986,5.7433280744589865e-06,0.5355396866798401,7.237748150146217e-06,3.707056021085009e-05,0.0002802830858854577,0.0006548642413690686,0.001449036039412022,1.8253209590911865,0.00011374698078725487,0.00020762474741786718,1.6094939588462247e-07,4.880619020042332e-09,1.2599777193811336e-10,2.5261853586755486e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,conv1,5.0,0.011194185397528526,0.046938733204157576,0.0485961267805103,0.010647883686818635,17.58238294869201,1.2344381471128134,0.26070932992701396,0.35236572682698164,0.11802348840893041,0.04459480753901532,0.05687511155251532,0.15052422972003762,4.226841519848498,0.9297911921179965,0.34354546774616374,1.7177273387308187,0.053239418434093175,0.005597092698764263,9.511977251392583,1.4554114285913993,0.24928782000916966,0.1276304798317142,0.13247058819829505,0.023952143266797066,0.4016731083393097,0.033563237823545936,0.0346811655908823,0.057346681132912636,0.12638262659311295,0.3685374915599821,3.141690969467163,0.000160000185132958,0.0005026711151003838,3.141694009300977e-06,1.0596214679026161e-06,6.047663077879406e-07,1.016877222355105e-05
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,conv2,5.0,0.04886197309556216,0.286522019238372,0.2911997670336324,0.043940023041526007,34.38539405002468,0.33169336276376177,0.17886267623790011,0.8212177117109859,0.6051203867614338,0.0046478182900737556,0.02908211545036087,3.7863315241898903,21.145926431251873,0.9903536553259454,0.7778948429970685,3.8894742149853423,0.21970011520763003,0.02443098654778108,8.992682909834905,0.6427603994300314,0.36486791249527395,0.024589835081484313,0.08729228842198179,0.0011132016079500318,0.8950358033180237,0.0015893159550614655,0.002265527204144746,0.0038111564936116338,0.008708501933142543,0.048404409736394885,20.448074340820312,0.0003200029022991657,0.006543443072587252,1.4102239663923317e-06,6.659956142129886e-08,2.7711323014045774e-08,8.855004125507548e-07
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,fc1,5.0,0.12264575181341147,1.8688765334898054,1.8730454552831908,0.10046941116960925,232.19678496601247,0.6642863625890787,0.06669340523909878,0.6144992914644781,0.45668187536325994,0.0007201677043003483,0.004306691843642912,2.7310140337743856,28.021801339019504,0.9971391233402042,0.6757824171752769,3.3789120858763844,0.5023470558480463,0.06132287590670574,8.191837848637528,0.739883115173705,0.1752053721682539,0.0034289649771802543,0.027285586482367966,4.207079200568842e-06,0.9721584320068359,1.5842561333556658e-05,0.00021540752277360298,0.0007037323375698179,0.0018250526918563992,0.004105842392891646,66.95089721679688,0.0012823340948671103,0.08585342019796371,4.2748607288512303e-07,1.2259408599391008e-08,2.7579639128028075e-10,7.177039904604498e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,2,fc2,5.0,0.06705142883781134,0.14541647536355393,0.15934686345061255,0.023274853004253016,4.70339175898777,0.7348597840468899,0.4090701003700962,0.5554746952121763,0.0933739623373356,0.0018288183074915325,0.21261252538008807,10.855355803813165,17.08055216807232,0.8437596054787728,0.305571533912005,1.5278576695600248,0.11637426502126508,0.03352571441890567,3.4711941873539502,1.6362780707915943,21.653941273627016,0.004631577768992259,0.04636191479332986,5.7433280744589865e-06,0.5355396866798401,7.237748150146217e-06,3.707056021085009e-05,0.0002802830858854577,0.0006548642413690686,0.001449036039412022,1.8253209590911865,0.00011374698078725487,0.00020762474741786718,1.6094939588462247e-07,4.880619020042332e-09,1.2599777193811336e-10,2.5261853586755486e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,3,conv1,5.0,0.010087366541119889,0.05076441257439292,0.05148687848069496,0.011338826081153202,25.325797033460955,1.5765022895397833,0.16907892706522584,0.30559399032009354,0.13187543196634507,0.0442890860123718,0.039485430151051326,0.1175720393426636,4.738671777556423,0.9377511283516518,0.3631465709136534,1.815732854568267,0.05669413040576601,0.0050436832705599444,11.240620664158252,1.3768545266465146,0.20242850737933485,0.1276304798317142,0.13247058819829505,0.023952143266797066,0.4016731083393097,0.033563237823545936,0.0346811655908823,0.057346681132912636,0.12638262659311295,0.3685374915599821,3.141690969467163,0.000160000185132958,0.0005026711151003838,3.141694009300977e-06,1.0596214679026161e-06,6.047663077879406e-07,1.016877222355105e-05
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,3,conv2,5.0,0.03080433469251515,0.2818419397244029,0.2841764184183435,0.03425934349358949,83.71197167156953,1.2098066742738138,0.12967213353338294,0.46175593572282997,0.26146308917467215,0.009033389400412987,0.011945722684168835,0.34575787845731143,14.61559656184537,0.9855479849524382,0.5113346156624565,2.556673078312283,0.17129671746794747,0.015402167346257574,11.121598253407344,0.9778332713721135,0.14501647300620307,0.024589835081484313,0.08729228842198179,0.0011132016079500318,0.8950358033180237,0.0015893159550614655,0.002265527204144746,0.0038111564936116338,0.008708501933142543,0.048404409736394885,20.448074340820312,0.0003200029022991657,0.006543443072587252,1.4102239663923317e-06,6.659956142129886e-08,2.7711323014045774e-08,8.855004125507548e-07
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,3,fc1,5.0,0.08545040298821531,1.8726205941515626,1.8746485849642078,0.05945257619114138,480.2544082878962,1.2329997462198021,0.04651116638042304,0.18043395179412905,0.10316808689551714,0.0007836800377997731,0.002082229715345571,0.27411653455352697,21.194065925491007,0.9974326112890559,0.32119789366606555,1.6059894683303277,0.2972628809557069,0.042725201494107655,6.957553634703061,1.556672723757865,0.08504927764003664,0.0034289649771802543,0.027285586482367966,4.207079200568842e-06,0.9721584320068359,1.5842561333556658e-05,0.00021540752277360298,0.0007037323375698179,0.0018250526918563992,0.004105842392891646,66.95089721679688,0.0012823340948671103,0.08585342019796371,4.2748607288512303e-07,1.2259408599391008e-08,2.7579639128028075e-10,7.177039904604498e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,3,fc2,5.0,0.03424644780166848,0.15362723214640875,0.15830148125493035,0.013461516059581726,20.123584860989236,0.8306537307690772,0.24264193568105275,0.411949527435151,0.05728602051736418,0.0019778325989919226,0.04969293523061801,1.4393080840528167,14.618591145273074,0.9587223779226258,0.23934498222725326,1.1967249111362663,0.06730758029790863,0.01712322390083424,3.9307773281349574,2.0890348121991167,5.6487446509602925,0.004631577768992259,0.04636191479332986,5.7433280744589865e-06,0.5355396866798401,7.237748150146217e-06,3.707056021085009e-05,0.0002802830858854577,0.0006548642413690686,0.001449036039412022,1.8253209590911865,0.00011374698078725487,0.00020762474741786718,1.6094939588462247e-07,4.880619020042332e-09,1.2599777193811336e-10,2.5261853586755486e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,4,conv1,5.0,0.005194942121199584,0.05490424058768772,0.05421277273321609,0.010057705689080394,111.69927010192679,4.924832980322455,-0.0860403756954114,-0.045586264105289896,0.0856783010766861,0.03456302384981219,0.008952609642851394,0.02219263015862262,3.9425912711270295,0.9559098911372047,0.29270855996483275,1.4635427998241637,0.050288528445401964,0.002597471060599792,19.36057313163253,1.7081837308016,0.05368803334469735,0.1276304798317142,0.13247058819829505,0.023952143266797066,0.4016731083393097,0.033563237823545936,0.0346811655908823,0.057346681132912636,0.12638262659311295,0.3685374915599821,3.141690969467163,0.000160000185132958,0.0005026711151003838,3.141694009300977e-06,1.0596214679026161e-06,6.047663077879406e-07,1.016877222355105e-05
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,4,conv2,5.0,0.021821569800254653,0.28569376838142657,0.28652310987832363,0.027461882953203808,171.4073950792391,1.8021038944987022,0.0760305272827122,0.31055600691642476,0.23048597791465472,0.007223995700340384,0.005834053994143139,0.18613904220997085,15.038670306234232,0.98948642855436,0.4800895519740611,2.4004477598703056,0.13730941476601904,0.010910784900127327,12.584742162026485,1.0414723626936442,0.07277222452954475,0.024589835081484313,0.08729228842198179,0.0011132016079500318,0.8950358033180237,0.0015893159550614655,0.002265527204144746,0.0038111564936116338,0.008708501933142543,0.048404409736394885,20.448074340820312,0.0003200029022991657,0.006543443072587252,1.4102239663923317e-06,6.659956142129886e-08,2.7711323014045774e-08,8.855004125507548e-07
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,4,fc1,5.0,0.09385713925189255,1.8781444419533808,1.8803936097157898,0.05436523319435411,400.4269996134683,1.1243068097806503,0.04890618489307206,0.1823141483996702,0.11082717510183758,0.0006670991327652092,0.00249733409797915,0.414889586396356,22.204558871743,0.9971922302670259,0.3329071568798688,1.664535784399344,0.27182616597177056,0.04692856962594628,5.792338614465006,1.5019202491309778,0.10260700817898782,0.0034289649771802543,0.027285586482367966,4.207079200568842e-06,0.9721584320068359,1.5842561333556658e-05,0.00021540752277360298,0.0007037323375698179,0.0018250526918563992,0.004105842392891646,66.95089721679688,0.0012823340948671103,0.08585342019796371,4.2748607288512303e-07,1.2259408599391008e-08,2.7579639128028075e-10,7.177039904604498e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,4,fc2,5.0,0.04237555335754326,0.14528131699682892,0.15205716268658892,0.010184063712396167,11.754083488235707,0.8733582788324554,0.2956780776939174,0.38364038663798383,0.05447186961000126,0.0012375819723167338,0.08507681610366308,3.7446352342410107,16.43598290775629,0.9256974582777812,0.23339209414631262,1.166960470731563,0.05092031856198083,0.02118777667877163,2.403287486534414,2.142317638593232,8.648716186492285,0.004631577768992259,0.04636191479332986,5.7433280744589865e-06,0.5355396866798401,7.237748150146217e-06,3.707056021085009e-05,0.0002802830858854577,0.0006548642413690686,0.001449036039412022,1.8253209590911865,0.00011374698078725487,0.00020762474741786718,1.6094939588462247e-07,4.880619020042332e-09,1.2599777193811336e-10,2.5261853586755486e-08
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,5,conv1,5.0,0.006724322978651278,0.05076064020084206,0.05052265103421366,0.008805422871165288,56.98453936521429,2.5853624265851884,0.031071961135330086,0.0494076010045507,0.09291424107055361,0.03081625680749939,0.017548619127849416,0.05291092470481017,4.793024033635707,0.9546304584650198,0.3048183739057631,1.5240918695288155,0.04402711435582644,0.003362161489325639,13.094883896121907,1.6403210659241245,0.08995249194343567,0.1276304798317142,0.13247058819829505,0.023952143266797066,0.4016731083393097,0.033563237823545936,0.0346811655908823,0.057346681132912636,0.12638262659311295,0.3685374915599821,3.141690969467163,0.000160000185132958,0.0005026711151003838,3.141694009300977e-06,1.0596214679026161e-06,6.047663077879406e-07,1.016877222355105e-05
91,dp_fisher_wiener_adaptive_beta_lr5p00,dp_fisher_wiener_adaptive_beta,6f5bfa6c60eeb2ad400161beec4006ab7b7da4908d9989b6db2c608560d2f56e,5,conv2,5.0,0.028179958695078618,0.2822407562470055,0.2835427786298186,0.02967347719954277,100.31335351318512,1.2823954553898436,0.09579036448229931,0.3924086599430729,0.2714125074781344,0.007542226973746731,0.009968762519705176,0.35873314874359735,15.561302593126547,0.9872161042327711,0.5209726552115134,2.604863276057567,0.14836738599771385,0.014089979347539309,10.529993148151414,0.959743270586902,0.12135966694075466,0.024589835081484313,0.08729228842198179,0.0011132016079500318,0.8950358033180237,0.0015893159550614655,0.002265527204144746,0.0038111564936116338,0.008708501933142543,0.048404409736394885,20.448074340820312,0.0003200029022991657,0.006543443072587252,1.4102239663923317e-06,6.659956142129886e-08,2.7711323014045774e-08,8.855004125507548e-07
