window_size,seed,run_id,method,learning_rate,layer,window_index,n_steps,beta_oracle,beta_dp_raw,negative,log_error,trace_F,oracle_observability_snr
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,0,1,1.4900602804681955,-7835.164201377102,True,,0.0005051987877676203,9.00514291345531e-05
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,1,1,22.10271155742741,5268.750751112724,False,2.377262097744649,0.0005051987877676203,0.0013355859748869993
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,2,1,9.56122925530638,-11521.275057124394,True,,0.0020000928569727794,0.002287081726544195
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,3,1,18.399684158200277,9030.247018289923,False,2.690889262259652,0.0020000928569727794,0.004400233419061454
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,0,1,2.328064749205937,-147.17173085684425,True,,0.0063968065180625144,0.0003308149534501042
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,1,1,10.520056320538748,13069.236644550529,False,3.0942321569228532,0.0063968065180625144,0.0014948501060805324
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,2,1,1.6457862641339156,-212.42786337620478,True,,0.03908170808461797,0.0014287752955429425
1,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,3,1,2.682952650780232,311.03215029760565,False,2.0641922746034544,0.03908170808461797,0.0023291389015879477
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,0,1,0.30047446432074315,-18.474780163578046,True,,0.5930909942719609,0.0006017283220960479
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,1,1,0.131714532680337,551.5183674801655,False,3.6219262851874703,0.5930909942719609,0.0002637709978165429
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,2,1,0.00815435505283669,35.33755046161612,False,3.6368468243052723,9.281277885197483,0.00025554619671566713
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,3,1,0.015159117156139842,-23.71045455749697,True,,9.281277885197483,0.00047506541303875147
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,0,1,0.19350463365521567,266.4489720109103,False,3.138922679944877,0.09618011437395602,0.0007840743209552125
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,1,1,0.4582378921127556,-62.26178879721495,True,,0.09618011437395602,0.0018566862366391525
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,2,1,0.005103964043116957,0.647907292412816,False,2.1036052619366594,6.468928082973264,0.0013909455319846874
1,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,3,1,0.01615632927754731,1.4013163632146768,False,1.9381934974868604,6.468928082973264,0.004402442737931897
2,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,0,2,11.7963859189478,-1283.206725132189,True,,0.0010103975755352407,0.001008139196195109
2,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,1,2,13.980456706753328,-1245.5140194172352,True,,0.004000185713945559,0.004728822365213478
2,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,0,2,6.424060534872342,6461.032456846842,False,3.0024922980028874,0.012793613036125029,0.0012909500895549974
2,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,1,2,2.1643694574570738,49.302143460700435,False,1.357534404332337,0.07816341616923594,0.0026572525622022246
2,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,0,2,0.21609449850054008,266.5217936582937,False,3.0910890169313947,1.1861819885439218,0.0006120005656540921
2,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,1,2,0.011656736104488266,5.813547952059573,False,2.6978642943814486,18.562555770394965,0.0005166204774358126
2,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,0,2,0.32587126288398566,102.09359160684771,False,2.4959524186863247,0.19236022874791203,0.001867315713581799
2,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,1,2,0.010630146660332134,1.0246118278137464,False,1.984020108565104,12.937856165946528,0.0040966703770300645
4,42,dp_sgd_lr0p10,dp_sgd,0.1,conv1,0,4,13.540032967379721,-1253.114854743076,True,,0.0050105832894807995,0.0040570313167065985
4,42,dp_sgd_lr0p10,dp_sgd,0.1,conv2,0,4,2.7635187455768917,951.1477428398432,False,2.536785566777392,0.09095702920536097,0.002791810557656103
4,42,dp_sgd_lr0p10,dp_sgd,0.1,fc1,0,4,0.023936021722256694,21.47264622438552,False,2.9528335985685676,19.748737758938887,0.000798055600135885
4,42,dp_sgd_lr0p10,dp_sgd,0.1,fc2,0,4,0.015248490441172791,2.5052920759678368,False,2.215631512923298,13.13021639469444,0.0042172239291511674
