seed,run_id,method,config_fingerprint,step,epoch,train_loss,learning_rate,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,refresh_time,diagnostic_spectrum_time,beta_observation_time,oracle_diagnostic_time,reconstruction_diagnostic_time,wiener_filter_time,beta_controller_time,active_state_bytes,diagnostics_finite,beta_diagnostics_finite,oracle_diagnostics_finite,oracle_diagnostic_error,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,parameter_update_norm,filter_gradient_norm_ratio,beta_train,gamma_model_raw
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,1,2.302597999572754,0.001,,,1.0,0.11699788756472526,1.8956002706850195,1.8993143004945205,1.8993143004945205,262.5049414542024,262.5049414542024,0.06251341357164736,0.06251341357164736,1.0,1.0,0.0038094520978803415,0.00380945209744622,0.0,0.0,,,,,,,0.5890656039118767,0.0,0.0009637065231800079,0.0005373358726501465,0.04892610106617212,0.0,0.0,0,True,True,True,,1.8993143004945205,0.18993143331309223,0.060061593240858024,454.8773186792505,0.4548772798851856,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,1,2.2853479385375977,0.001,,,1.0,0.12226440466203149,1.900434545475882,1.9046211662423316,1.9046211662423316,241.60491087255645,241.60491087255645,0.06630149494556656,0.06630149494556656,1.0,1.0,0.004138988716418577,0.0041389887164435465,0.0,0.0,,,,,,,0.0,0.0,0.000616702251136303,0.0006012199446558952,0.005973372608423233,0.0,0.0,0,True,True,True,,1.9046211662423316,0.2558271874341216,0.08503745995016566,322.013040387864,0.3220130575258179,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,1,2.284186363220215,0.001,,,1.0,0.10884309612914671,1.9010200094034821,1.9041268082653697,1.9041268082653697,305.0504021754608,305.0504021754608,0.057101386341037744,0.057101386341037744,1.0,1.0,0.003278146800606826,0.0032781468004622416,0.0,0.0,,,,,,,0.0,0.0,0.0005561625584959984,0.00048259925097227097,0.006519111804664135,0.0,0.0,0,True,True,True,,1.9041268082653697,0.29920510642604103,0.10416255273864464,263.88252074869945,0.263882527392886,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,3,1,2.264115571975708,0.001,,,1.0,0.10206253618727086,1.8960191654951317,1.8987703793538664,1.8987703793538664,345.1061778676923,345.1061778676923,0.05381258451042075,0.05381258451042075,1.0,1.0,0.0028976589352367526,0.0028976589359458096,0.0,0.0,,,,,,,0.0,0.0,0.0005655474960803986,0.00048059970140457153,0.006311655975878239,0.0,0.0,0,True,True,True,,1.8987703793538664,0.33037035011380816,0.12018451156260974,229.40682339399066,0.22940682568594317,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,4,1,2.257598876953125,0.001,,,1.0,0.12115775002491971,1.903852244088446,1.9074609811090226,1.9074609811090226,246.92444210183848,246.92444210183848,0.061516171949073294,0.061516171949073294,1.0,1.0,0.004049821845984663,0.004049821847477267,0.0,0.0,,,,,,,0.0,0.0,0.0006894934922456741,0.0006027435883879662,0.005758087150752544,0.0,0.0,0,True,True,True,,1.9074609811090228,0.353169111613268,0.13441830328955093,205.90457557645348,0.2059046054303583,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,5,1,2.2452898025512695,0.001,,,1.0,0.11758545042372291,1.9004119934814527,1.9040858634278965,1.9040858634278965,261.20912892285656,261.20912892285656,0.06209125359791118,0.06209125359791118,1.0,1.0,0.003828350119504167,0.0038283501191763605,0.0,0.0,,,,,,,0.0,0.0,0.0006638728082180023,0.0006370386108756065,0.006047450937330723,0.0,0.0,0,True,True,True,,1.9040858634278965,0.3710165700319765,0.1472268839586055,188.97862967351642,0.18897862728917872,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,6,1,2.2390832901000977,0.001,,,1.0,0.11302114587507447,1.9037728546220725,1.9071120006823998,1.9071120006823998,283.7336518806871,283.7336518806871,0.059150063334004,0.059150063334004,1.0,1.0,0.0035244321330694635,0.0035244321340131826,0.0,0.0,,,,,,,0.0,0.0,0.0005536768585443497,0.0004848157986998558,0.00654708594083786,0.0,0.0,0,True,True,True,,1.9071120006823996,0.38536591075855137,0.1590319346458609,176.16789913638067,0.1761678916400231,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,7,1,2.225560426712036,0.001,,,1.0,0.10730750321983142,1.8982461205989611,1.901132423398847,1.901132423398847,312.92831519830827,312.92831519830827,0.05509907091095303,0.05509907091095303,1.0,1.0,0.0031956200552805854,0.0031956200550727646,0.0,0.0,,,,,,,0.0,0.0,0.0007094778120517731,0.0006027156487107277,0.005378971807658672,0.0,0.0,0,True,True,True,,1.9011324233988467,0.39673386182262443,0.16994166666734195,166.09280151747157,0.16609280175883598,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,8,1,2.217072010040283,0.001,,,1.0,0.10504439543222266,1.8957917729792761,1.8986635348492216,1.8986635348492216,325.71330302057044,325.71330302057044,0.054980598900709214,0.054980598900709214,1.0,1.0,0.0030701847011939216,0.0030701847011536075,0.0,0.0,,,,,,,0.0,0.0,0.000752829946577549,0.0006766300648450851,0.0060456302016973495,0.0,0.0,0,True,True,True,,1.8986635348492218,0.4054009497392649,0.18015608141632017,157.92195182913406,0.1579219599208377,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,9,1,2.1945626735687256,0.001,,,1.0,0.13238454186400664,1.8966667705412452,1.9016519125719547,1.9016519125719547,205.26150894904762,205.26150894904762,0.07241494324362825,0.07241494324362825,1.0,1.0,0.0048718340085422175,0.004871834006691987,0.0,0.0,,,,,,,0.0,0.0,0.000606871210038662,0.0007021529600024223,0.00625977199524641,0.0,0.0,0,True,True,True,,1.9016519125719547,0.41227530103762733,0.18984213977451894,151.1647465176262,0.15116474775880248,,,
