seed,run_id,method,config_fingerprint,step,layer,learning_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,signal_amplitude_retention,effective_signal_lr,optimizer_update_norm,clean_reference_update_norm,update_to_clean_reference_ratio,lr_compensation_to_dp_sgd_0p5,kappa,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,trace_A,trace_G,trace_F,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90,gradient_norm_into_adam,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,parameter_update_norm,filter_gradient_norm_ratio,beta_train,gamma_model_raw
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,conv1,0.001,0.006230401591973249,0.05290791329196135,0.05451089756055738,0.05451089756055738,72.1122711054882,72.1122711054882,0.31064954406122225,0.31064954406122225,1.0,1.0,0.013867265009843057,0.013867264922876276,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.05451089756055738,0.005451089877772634,0.0017237859835205805,12.648963870497258,0.012648945713138193,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,conv2,0.001,0.029191113156295873,0.2789248139360987,0.28055176575994184,0.28055176575994184,91.30046527091942,91.30046527091942,0.10759735409908659,0.10759735409908659,1.0,1.0,0.010952846689732253,0.010952846694586156,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.2805517657599419,0.028055177076290027,0.008871826015774357,68.11645560910632,0.06811644197190012,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,fc1,0.001,0.10897651229139631,1.8682863660334967,1.8714020487336818,1.8714020487336818,293.914545891388,293.914545891388,0.05768288045746194,0.05768288045746194,1.0,1.0,0.0034023494716217454,0.003402349471238868,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.8714020487336818,0.18714020808469578,0.05917893031943051,448.13341547384107,0.44813337920106966,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,0,fc2,0.001,0.030359289716828185,0.14902396316120808,0.1535202033430455,0.1535202033430455,24.095115035517267,24.095115035517267,0.24480938623164986,0.24480938623164986,1.0,1.0,0.04150218819856056,0.04150218813574158,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.1535202033430455,0.015352020607881508,0.004854735204634567,35.916140839873975,0.03591613435505858,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,conv1,0.001,0.008540369940710472,0.05302934606701136,0.05406849901432441,0.05406849901432441,38.55486357341466,38.55486357341466,0.19948346733296374,0.19948346733296374,1.0,1.0,0.025937064568519227,0.025937064715898368,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.05406849901432441,0.007896387298371796,0.0024273173434870444,9.227190375105737,0.009227187524936821,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,conv2,0.001,0.03222220220049429,0.2839840133889387,0.28589704599995597,0.28589704599995597,77.6742998859949,77.6742998859949,0.1155241893347529,0.1155241893347529,1.0,1.0,0.012874271161660839,0.012874271140733558,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.28589704599995597,0.038233088227757506,0.012663637453062105,48.44154750177015,0.04844155351915242,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,fc1,0.001,0.11326998334763336,1.8724324103120007,1.8759694918041698,1.8759694918041698,273.26412903701464,273.26412903701464,0.06138727771352629,0.06138727771352629,1.0,1.0,0.0036594631115535814,0.0036594631117582784,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.8759694918041698,0.2519463621935956,0.08377293951836122,317.1860701884915,0.3171860866103364,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,1,fc2,0.001,0.03173778956408458,0.1489607298804937,0.15381719416613251,0.15381719416613251,22.028769074901415,22.028769074901415,0.253769967776053,0.253769967776053,1.0,1.0,0.04539518279764087,0.04539518267650622,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.15381719416613251,0.02112956317743748,0.006870561563688355,25.566980495020932,0.025566982242270657,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,conv1,0.001,0.0077963943773934384,0.058538765600384,0.05889747966673341,0.05889747966673341,56.37668225079307,56.37668225079307,0.11205628522510223,0.11205628522510223,1.0,1.0,0.017737829601392568,0.0177378295995617,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.05889747966673341,0.008757300591604962,0.003058576627828758,7.31270776099271,0.007312715140843443,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,conv2,0.001,0.030013949703104503,0.2905584133832531,0.2920543649157665,0.2920543649157665,93.71748154955212,93.71748154955212,0.10109840859725003,0.10109840859725003,1.0,1.0,0.010670367815521558,0.01067036779248286,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.2920543649157665,0.04480837697166637,0.015668538690757353,39.600543105314955,0.03960054455789027,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,fc1,0.001,0.09971163398976983,1.8717432336652717,1.8743912485978187,1.8743912485978187,352.37158284687484,352.37158284687484,0.05313637581884737,0.05313637581884737,1.0,1.0,0.002837913295447809,0.002837913295483215,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.8743912485978187,0.29466976342370244,0.10258767128640908,259.94339827562817,0.25994340449879033,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,2,fc2,0.001,0.030704864109787393,0.15034415424245062,0.15359584615909763,0.15359584615909763,23.975006457322493,23.975006457322493,0.20473396599041405,0.20473396599041405,1.0,1.0,0.0417101034227106,0.041710103384948335,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.15359584615909763,0.024676816544098378,0.008411248264707363,21.01751033239521,0.02101751148026152,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,3,conv1,0.001,0.010065473701306267,0.053213817461432306,0.0540184685143132,0.0540184685143132,27.949908458862087,27.949908458862087,0.17251326418136764,0.17251326418136764,1.0,1.0,0.03577829212744555,0.03577829196690606,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.0540184685143132,0.009853644274042467,0.0035019324934414944,6.707699896847531,0.006707697863594335,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,3,conv2,0.001,0.032733742944127536,0.28369916396197936,0.28561601762009164,0.28561601762009164,75.11467219822235,75.11467219822235,0.11566620715644325,0.11566620715644325,1.0,1.0,0.013312978274276063,0.013312978274327722,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.28561601762009164,0.04984700354563342,0.018078554063300337,34.44526725750324,0.03444526764748519,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,3,fc1,0.001,0.09274499621413214,1.867730798557191,1.8700654417065885,1.8700654417065885,405.5529687240241,405.5529687240241,0.04995425912635429,0.04995425912635429,1.0,1.0,0.00246576915225086,0.0024657691528552827,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.8700654417065885,0.3252853573846954,0.11836744116687362,225.9685376577318,0.22596853975914685,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,3,fc2,0.001,0.025343939754005954,0.15216245937887748,0.15391456326343908,0.15391456326343908,36.046805436276706,36.046805436276706,0.1510707539452857,0.1510707539452857,1.0,1.0,0.02774170932200178,0.027741709366288662,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.15391456326343908,0.027426017528496837,0.009714321537889042,18.282257360645907,0.018282260157962502,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,4,conv1,0.001,0.011568934639942982,0.05774602485120904,0.05891232322190408,0.05891232322190408,24.914802486616367,24.914802486616367,0.1980027690588535,0.1980027690588535,1.0,1.0,0.040136781849492736,0.040136782393057444,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.05891232322190408,0.011185387140478172,0.003965088871092452,6.034102789283491,0.006034102603563362,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,4,conv2,0.001,0.037716029842788,0.2757616582876619,0.27778441323463743,0.27778441323463743,53.45838351680792,53.45838351680792,0.12132314149483125,0.12132314149483125,1.0,1.0,0.018706139869894313,0.01870613989710001,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.27778441323463743,0.05297042639507275,0.020091577130525954,30.95178054751717,0.030951785493800718,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,4,fc1,0.001,0.10828351264491204,1.876858387473945,1.8798910931091866,1.8798910931091866,300.4265703191012,300.4265703191012,0.05678496979504459,0.05678496979504459,1.0,1.0,0.0033286003926093163,0.0033286003936986506,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.8798910931091866,0.3476754610822864,0.1324040450667773,202.77834008456128,0.20277836923823886,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,4,fc2,0.001,0.03738371469737537,0.15058839637115523,0.1542142355252244,0.1542142355252244,16.226248001154147,16.226248001154147,0.21705668720143012,0.21705668720143012,1.0,1.0,0.061628541556201524,0.061628541630458986,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.1542142355252244,0.030318578478654493,0.010865344350225022,16.82902018348493,0.016829025135979038,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,5,conv1,0.001,0.01240520213158595,0.04918598054910899,0.05139551401089946,0.05139551401089946,15.720812008624167,15.720812008624167,0.29496854566921143,0.29496854566921143,1.0,1.0,0.06360994537304303,0.06360994540330432,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.05139551401089946,0.011916321483327377,0.004283422365634069,5.6463349693664115,0.0056463388427384405,,,
123,dp_adam,dp_sgd,91dd788dafed093ef93b8c11550057107c7dfcef533df02a5c2e7b37b8983963,5,conv2,0.001,0.038057464069959704,0.28334318627245353,0.285767702867514,0.285767702867514,55.430124537799294,55.430124537799294,0.13002459197540928,0.13002459197540928,1.0,1.0,0.018040731599208045,0.018040731596411338,0.0,0.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0.285767702867514,0.05663394300591828,0.022021148670865565,28.68068207884773,0.028680682604920814,,,
