step,layer,parameter,M_syn,q_log_rms_drift,sqrt_q_q05,sqrt_q_q50,sqrt_q_q95,sqrt_q_norm,q_q05,q_q50,q_q95,q_norm,denominator_q05,denominator_q50,denominator_q95,max_inverse_denominator
0,conv1.weight,conv1.weight,2560,,0.00843560269850209,0.012271964646481434,0.014345879124435088,0.14622218196506231,7.116268957848206e-05,0.0001506011170351409,0.00020580552788498425,0.0018400472275737522,0.00843561269850209,0.012271974646481434,0.014345889124435088,134.9890204070188
0,conv1.bias,conv1.bias,2560,,0.016858462824181943,0.023315294046130978,0.03274007590435907,0.09789850423433635,0.0002883138438622327,0.0005436506758902585,0.0010722368770437148,0.0026447724119088275,0.01685847282418194,0.02331530404613098,0.03274008590435907,74.9134380878525
0,conv2.weight,conv2.weight,2560,,0.0004740307852086843,0.010820506425469369,0.022536297598491545,0.8694805953472692,2.2470791778790602e-07,0.00011708335938019596,0.0005078847115628956,0.01572512991397866,0.00047404078520868427,0.01082051642546937,0.022536307598491546,100000000.0
0,conv2.bias,conv2.bias,2560,,0.00827192305320892,0.03420214812709028,0.04739179707608425,0.19559184148602635,0.00010607109829297704,0.0011704768589283054,0.002245992674417129,0.0076387811896416755,0.00827193305320892,0.03420215812709028,0.04739180707608425,906.9174526818483
0,fc1.weight,fc1.weight,2560,,0.0,0.0030250857104339645,0.015398093558118896,3.17635144169212,0.0,9.151143555545151e-06,0.0002371012852274707,0.055372770766805426,1e-08,0.0030250957104339645,0.015398103558118896,100000000.0
0,fc1.bias,fc1.bias,2560,,0.0003106522454818694,0.031744345948545624,0.054286115227466146,0.3911096578662594,2.7572805035122143e-07,0.0010077240334710681,0.0029469893475316472,0.01774225133333933,0.00031066224548186944,0.03174435594854563,0.05428612522746615,100000000.0
0,fc2.weight,fc2.weight,2560,,0.0,0.00986020988726979,0.05757470920369991,0.8616347076045848,0.0,9.72245632823955e-05,0.003314847156096453,0.04220189762435644,1e-08,0.009860219887269792,0.057574719203699914,100000000.0
0,fc2.bias,fc2.bias,2560,,0.2863335776760805,0.29964354038018515,0.3113305981324284,0.9491693886240505,0.08199176687046517,0.08979045536822595,0.09693055661711815,0.28539092662598325,0.28633358767608047,0.2996435503801852,0.3113306081324284,3.5168949768120688
50,conv1.weight,conv1.weight,2560,47.41370587703974,45011615.48155603,97438120.11252788,574994430541.5566,1889239502353.9802,2027427300249443.2,9494200791592172.0,3.30961930410352e+23,1.2150987286319612e+24,45011615.481556036,97438120.1125279,574994430541.5566,2.5417770473777955e-08
50,conv1.bias,conv1.bias,2560,47.08034457853145,79872107.42965956,190008572.04182577,176226892807.1344,697495020228.9515,6400130533209572.0,3.654006474239685e+16,1.2162760709689276e+23,4.864920875516777e+23,79872107.42965958,190008572.04182577,176226892807.1344,1.3885957034798804e-08
50,conv2.weight,conv2.weight,2560,42.98163184744079,478214.86930242216,31314578.98302916,107575173.25136127,3662866816.527107,228719933678.65802,980602858816449.6,1.1572419658121836e+16,3.451178847262596e+17,478214.86930243217,31314578.98302917,107575173.25136128,100000000.0
50,conv2.bias,conv2.bias,2560,43.7680278445899,13861741.824213153,142972220.4555944,238026737.0929614,825873062.1555597,228966962782876.84,2.044355174394431e+16,5.666357795548853e+16,1.6516873998359104e+17,13861741.824213164,142972220.4555944,238026737.0929614,5.777051258599187e-07
50,fc1.weight,fc1.weight,2560,11.415683697371074,0.0,0.003964787603684275,15.390871326391592,16920513.67896937,0.0,1.5719540800816492e-05,236.87896917306065,21807634493045.33,1e-08,0.003964797603684275,15.390871336391593,100000000.0
50,fc1.bias,fc1.bias,2560,10.647910128800431,0.0287694844826362,0.04888481067370401,1645.2937435704353,9237.124625134316,0.0008276833351996421,0.0023897339897057564,4162769.529958347,35384346.2310893,0.0287694944826362,0.04888482067370402,1645.2937435804351,44.1480081325531
50,fc2.weight,fc2.weight,2560,39.368406030218935,741229.1181255266,1320070.5857680694,3306695.2803501585,60902903.37306272,549422435097.2903,1742588972982.3184,10934248181330.254,176441968886606.72,741229.1181255366,1320070.5857680794,3306695.2803501682,2.2245296089869097e-06
50,fc2.bias,fc2.bias,2560,0.7451768314435708,0.3108379237411019,0.3371517215320206,0.6611827881826451,1.3396009619031317,0.09662109375000001,0.11367161848162913,0.4757031249999995,0.7968749265877975,0.3108379337411019,0.3371517315320206,0.6611827981826451,3.22591125011701
100,conv1.weight,conv1.weight,2560,13.964676815813236,40354202201.949554,186176948038.40836,629074913200.2994,3121832000046.583,1.628465130797544e+21,3.4664568438025108e+22,3.960196560020967e+23,1.5749755081353326e+24,40354202201.949554,186176948038.40836,629074913200.2994,3.1245688918932094e-11
100,conv1.bias,conv1.bias,2560,13.585805478715248,69081126439.97981,245261805004.11243,573065634287.051,1336977877252.476,4.809896242207886e+21,6.0263140553427494e+22,3.3972146758072285e+23,7.159268238794983e+23,69081126439.97981,245261805004.11243,573065634287.051,1.71094903706801e-11
100,conv2.weight,conv2.weight,2560,6.628960385585575,2170026.622911643,36685736.111145526,104855973.67000537,3664724399.6032467,4709036598124.218,1345843234120668.0,1.0994775513333424e+16,3.328207634026206e+17,2170026.6229116526,36685736.111145526,104855973.67000538,100000000.0
100,conv2.bias,conv2.bias,2560,1.4770987326694298,20501313.709405344,132520507.63602857,249141654.34408033,832929201.7211955,420699666065850.1,1.7581479700735976e+16,6.2237107389998504e+16,1.638708627030333e+17,20501313.709405355,132520507.63602859,249141654.34408033,5.456679934035523e-08
100,fc1.weight,fc1.weight,2560,11.660778032217502,3.11714700866257e-05,0.01046650523548949,45.252957566545795,36792449.942429885,9.716605479600567e-10,0.00010954773186586773,2047.8301960805227,55997844271266.32,3.1181470086625705e-05,0.010466515235489492,45.252957576545796,100000000.0
100,fc1.bias,fc1.bias,2560,0.3477982542063263,0.028969785612844554,0.048669127253361054,1203.8073651271777,8605.98727424133,0.000839598683802219,0.0023686890275206336,2228252.0277778143,31160032.630558714,0.028969795612844556,0.048669137253361056,1203.8073651371776,45.2082100229794
100,fc2.weight,fc2.weight,2560,1.9556779135825715,1731565.8849362752,3192685.9192326507,6712227.184895554,141492825.43329746,2998326158522.733,10193243787407.621,45054009517435.24,828784435196569.0,1731565.8849362852,3192685.919232661,6712227.184895564,9.454282957946244e-07
100,fc2.bias,fc2.bias,2560,0.24440697209102943,0.30776064559506716,0.3576093371333156,0.61623487221755,1.341931909598993,0.0947265625,0.128515625,0.39359374999999974,0.6932837766885442,0.30776065559506716,0.3576093471333156,0.6162348822175501,3.2796801392001296
150,conv1.weight,conv1.weight,2560,0.05943201790064092,40631594579.026855,185648847069.45416,631212256405.4668,3134848917139.498,1.6509367184922952e+21,3.4467295894423615e+22,3.987688088311134e+23,1.5834504823436514e+24,40631594579.026855,185648847069.45416,631212256405.4668,3.1970089401108784e-11
150,conv1.bias,conv1.bias,2560,0.039441267909484566,70835225444.92943,245462455922.44235,578784030352.1858,1347864230344.7163,5.04239940589101e+21,6.03253035074024e+22,3.454542518796792e+23,7.225472057925006e+23,70835225444.92943,245462455922.44235,578784030352.1858,1.6073330776959694e-11
150,conv2.weight,conv2.weight,2560,0.6747816707074157,2110369.9797552177,37065094.512461364,106552013.78057489,3711924279.4210863,4453671265197.984,1373821255166247.8,1.1353331842036308e+16,3.427941600084838e+17,2110369.9797552275,37065094.51246138,106552013.7805749,100000000.0
150,conv2.bias,conv2.bias,2560,0.052203929981486506,20667598.54223418,132374243.72701368,254809490.44425467,843336921.5689685,427327487608521.5,1.7541276230404028e+16,6.503718759947301e+16,1.6884366541488816e+17,20667598.54223419,132374243.72701368,254809490.44425467,5.556134458672005e-08
150,fc1.weight,fc1.weight,2560,1.171041761277893,2.8909194623857707e-05,0.010446052390793697,45.970067574149255,37488989.46704508,8.357415385633474e-10,0.0001091200105827488,2113.247119349338,58235616391361.88,2.891919462385771e-05,0.010446062390793695,45.970067584149255,100000000.0
150,fc1.bias,fc1.bias,2560,0.05684283240648458,0.028835057608362438,0.04882042812372919,1215.2760276965744,8723.82353748696,0.000831598356603968,0.002383445038209221,2270921.810805838,31975344.25390833,0.02883506760836244,0.04882043812372919,1215.2760277065743,48.238205459884654
150,fc2.weight,fc2.weight,2560,0.2107804268599211,1697250.654075196,3170939.753693389,6821795.5754259555,141372596.47444844,2880659840096.375,10054859002240.1,46536904303025.77,843743192759262.0,1697250.654075206,3170939.7536933986,6821795.575425966,1.1562680553595916e-06
150,fc2.bias,fc2.bias,2560,0.053817067177762926,0.30825256417487135,0.3527452388655313,0.6222209566890758,1.3439680055715613,0.09503906250000001,0.125390625,0.40322265624999964,0.7055301745130661,0.30825257417487134,0.35274524886553127,0.6222209666890759,3.2865920120541694
