clip_rate,coefficient_mean,coefficient_std,coefficient_cv,norm_q10,norm_q50,norm_q90,norm_q99,coefficient_q10,coefficient_q50,coefficient_q90,contrib_conv1,contrib_conv2,contrib_fc1,contrib_fc2,aggregate_cosine,relative_distortion,clipping_alpha_star,clipping_shape_error,clipped_aggregate_norm,norm_mean,norm_std,norm_cv,norm_q90_over_q10,actual_noise_norm,expected_noise_norm,noisy_update_norm,update_norm,diagnostic_snr,step,epoch,train_loss,test_loss,test_accuracy,seed,method,config_fingerprint
1.0,0.0008515490917488933,0.00011135381032415782,0.1307661733409317,997.0946350097656,1187.272216796875,1390.46142578125,1595.5868774414062,0.0007191861514002085,0.0008422668324783444,0.0010029207915067673,0.000131916138343513,0.011333854869008064,0.7949316501617432,0.1936025768518448,0.9897260110715151,0.9991776932073727,0.0008223138542500242,0.1429770016756205,0.12897312099519673,1194.1283793449402,153.5829381105253,0.12861509764534343,1.3945129950153932,1.8980261679641852,1.897935625156794,1.901955423994319,0.19019554239943193,0.06795442336695372,1,1,2.3067173957824707,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008466067956760526,0.00010122559160033169,0.11956624475282546,1017.1046447753906,1202.2364501953125,1366.3928833007812,1481.969604492187,0.00073185411747545,0.0008317831670865417,0.0009831853676587343,0.00013340254372451454,0.011185724288225174,0.7909623384475708,0.1977185606956482,0.9925004554187735,0.9991709775499761,0.0008290276672492973,0.12224093419674664,0.12779067749589024,1197.0669050216675,134.52986521753718,0.11238291247814759,1.3434142596040581,1.9019209139875093,1.897935625156794,1.906418785818945,0.19064187858189452,0.06733140776851466,2,1,2.313056707382202,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.00084362190682441,0.00010256116668071552,0.12157243061164233,1015.2871704101562,1211.9006958007812,1371.1840209960938,1489.994854736328,0.0007292971713468432,0.000825151102617383,0.0009849433554336429,0.00013338409189600497,0.011324036866426468,0.7926369905471802,0.19590559601783752,0.9881391359707102,0.9991849938841489,0.0008150141433626343,0.1535612189410887,0.12251889468103631,1201.831311225891,137.17279674788253,0.11413648110728912,1.350538114691394,1.9008806980290511,1.897935625156794,1.9047724798416739,0.1904772479841674,0.06455376729168573,3,1,2.3047947883605957,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008569250348955393,0.0001239544501140222,0.14465028197632585,962.1131286621094,1202.0979614257812,1392.1092529296875,1513.1712890625,0.0007183367270044982,0.0008318789768964052,0.0010393825359642506,0.00013448181562125683,0.011298006400465965,0.793546199798584,0.19502130150794983,0.9843497319519756,0.9991403965410189,0.0008596153110093773,0.176226006042271,0.13409810844982267,1189.4569523334503,157.95726015348293,0.13279779469412975,1.4469288605026298,1.8961725153767535,1.897935625156794,1.9012502821457922,0.19012502821457922,0.07065471909178889,4,1,2.2997074127197266,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008537491667084396,0.00010907486471649416,0.12775984919857453,986.5984497070312,1207.1592407226562,1359.4752197265625,1502.8634399414057,0.0007355782436206937,0.0008283911738544703,0.001013584085740149,0.00013403227785602212,0.011328158900141716,0.7921838760375977,0.196353942155838,0.9881275988214233,0.9991640580802972,0.0008359503734764668,0.15363544007498878,0.12662433776503032,1189.676212310791,145.5794220190145,0.12236894418208574,1.3779417757348544,1.9031808491025013,1.897935625156794,1.9073747559244194,0.19073747559244195,0.06671687705661923,5,1,2.2932357788085938,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008578482666052878,0.00010953825389916579,0.12768954605364644,978.8177795410156,1189.2183837890625,1359.5149536132812,1509.3433959960937,0.0007355568814091384,0.0008408884750679135,0.001021647360175848,0.0001335993583779782,0.01130097359418869,0.7915582656860352,0.19700723886489868,0.987728491511365,0.9991471457428425,0.0008528633579457173,0.15618075123492442,0.12908387958234263,1184.2234864234924,147.21510577762467,0.12431361771267782,1.3889356957234467,1.8970184432227661,1.897935625156794,1.9014265742459462,0.19014265742459463,0.06801278076626578,6,1,2.2955217361450195,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008552398066967726,0.00011772365461939364,0.13764987755214572,974.8528442382812,1216.0816040039062,1370.34814453125,1485.8597534179687,0.0007297416450455785,0.0008223132463172078,0.0010258329566568136,0.00013031074195168912,0.011036929674446583,0.7859632968902588,0.2028694748878479,0.9842991992145129,0.9991331880511157,0.0008668240404622708,0.17650803501602785,0.13877154767627622,1189.8657422065735,151.92761740058816,0.12768467232180533,1.4056974369316166,1.9022060924069633,1.897935625156794,1.9072288624765064,0.19072288624765066,0.07311709935616956,7,1,2.2899417877197266,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008387096459046006,0.00010378708054148279,0.12374614177846358,1026.9815063476562,1210.373779296875,1375.7266845703125,1509.949102783203,0.0007268885965459049,0.0008261918555945158,0.0009737352374941111,0.00013152527390047908,0.011161559261381626,0.7929095029830933,0.19579742848873138,0.9893335427365688,0.9991949402336602,0.0008050667974768157,0.14566791416089972,0.13161582330768942,1209.2772030830383,139.03905447225875,0.11497699131165309,1.3395827247784897,1.8973013565345367,1.897935625156794,1.9014323455546693,0.19014323455546694,0.06934683219129043,8,1,2.291343927383423,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008522805874235928,0.00010461066008365218,0.12274204415719553,1003.2899780273438,1205.8803100585938,1362.5827026367188,1474.535382080078,0.0007339133881032467,0.0008292697020806372,0.0009967208607122302,0.00013943325029686093,0.011505238711833954,0.7909500002861023,0.19740529358386993,0.9889839396433228,0.9991830694399506,0.0008169380414330011,0.1480228601508678,0.13311722533482148,1190.0115773677826,137.5935020841171,0.11562366677848934,1.3581145356557935,1.9039278888684845,1.897935625156794,1.9088107957305702,0.19088107957305703,0.07013790329361362,9,1,2.2767038345336914,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
1.0,0.0008490629261359572,9.892915833777994e-05,0.11651569944502294,1001.0002746582031,1201.6808471679688,1355.27294921875,1510.8949279785147,0.0007378588779829443,0.000832167686894536,0.000999012147076428,0.00013323088933248073,0.011336719617247581,0.7899190783500671,0.19861093163490295,0.992836737054239,0.9991711755569407,0.0008288294214247155,0.11947892515107501,0.1210906291688596,1193.2197959423065,134.25855197359888,0.11251787175352086,1.3539186586951875,1.8975386377933936,1.897935625156794,1.900908453554167,0.1900908453554167,0.06380123096050327,10,1,2.2861924171447754,,,42,dp_kfc,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
