seed,run_id,method,config_fingerprint,step,refresh_index,refresh_time,diagnostic_spectrum_time,active_state_bytes,measurement_only
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,0,0,0.4883533474057913,0.0,0,True
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,2,1,0.014968479052186012,0.0,0,True
