seed,run_id,status,completed_steps,metric_scope,method,learning_rate,layer,signal_retention,noise_retention,signal_amplitude_retention,effective_signal_lr,snr_gain_db,relmse_filtered,cosine_filtered,optimizer_update_norm,update_to_clean_reference_ratio
42,dp_sgd_lr0p50,completed,4,full,dp_sgd,0.5,conv1,1.0,1.0,1.0,0.5,0.0,885.2717639368215,0.07287038876124285,4.214449496291745,29.705462902711588
42,dp_sgd_lr0p50,completed,4,full,dp_sgd,0.5,conv2,1.0,1.0,1.0,0.5,0.0,27664.95909462662,0.0131222796775216,23.293526466549125,165.79417219906173
42,dp_sgd_lr0p50,completed,4,full,dp_sgd,0.5,fc1,1.0,1.0,1.0,0.5,0.0,954059.8192940024,0.0024757737366744,153.21807196504707,972.2601847870882
42,dp_sgd_lr0p50,completed,4,full,dp_sgd,0.5,fc2,1.0,1.0,1.0,0.5,0.0,7408.762350286257,-0.0078469873597413,12.34471527829543,85.68682065203618
42,dp_fisher_wiener_adaptive_beta_lr0p50,completed,4,full,dp_fisher_wiener_adaptive_beta,0.5,conv1,4.889344936325399e-10,1.207485603717096e-10,2.2081300891708705e-05,1.1040650445854351e-05,6.049394548366418,0.9998943469538619,0.0646044451283796,4.6259610302670155e-05,0.0018142207158793498
42,dp_fisher_wiener_adaptive_beta_lr0p50,completed,4,full,dp_fisher_wiener_adaptive_beta,0.5,conv2,0.30395018721236694,0.0034768725249335,0.5502389120467451,0.27511945602337257,19.51052020497837,228.70841766786947,0.07759926038687466,1.366642518129554,15.131553839129397
42,dp_fisher_wiener_adaptive_beta_lr0p50,completed,4,full,dp_fisher_wiener_adaptive_beta,0.5,fc1,0.1333089366288889,9.402694126225821e-05,0.3508489389744127,0.1754244694872063,30.808136586540506,47.36090055183031,0.04451122789856795,1.495354504895963,6.466133053699194
42,dp_fisher_wiener_adaptive_beta_lr0p50,completed,4,full,dp_fisher_wiener_adaptive_beta,0.5,fc2,0.30760427045513805,0.0048531715460192,0.5383278080264384,0.2691639040132192,17.644287150232017,48.906297987883754,-0.1082391859481808,0.8259201833239664,6.218758819173506
42,dp_fisher_wiener_adaptive_beta_lr1p00,completed,4,full,dp_fisher_wiener_adaptive_beta,1.0,conv1,5.195923159427189e-10,1.2087997769912166e-10,2.2780024886597654e-05,2.2780024886597654e-05,6.32174750862029,0.9999734329088081,0.07103494722334339,9.275052357485761e-05,0.0022526412650854
42,dp_fisher_wiener_adaptive_beta_lr1p00,completed,4,full,dp_fisher_wiener_adaptive_beta,1.0,conv2,0.34063472162208625,0.003486616402558,0.5835269015697404,0.5835269015697404,20.023219334867584,169.81798979949315,0.1385776337248135,2.7482461306238752,26.056874106693
42,dp_fisher_wiener_adaptive_beta_lr1p00,completed,4,full,dp_fisher_wiener_adaptive_beta,1.0,fc1,0.16767768305017025,9.570898246146896e-05,0.3709020380199663,0.3709020380199663,30.51770769530758,62.532727382034736,0.0407692189516822,3.0149234235819833,14.571118525837932
42,dp_fisher_wiener_adaptive_beta_lr1p00,completed,4,full,dp_fisher_wiener_adaptive_beta,1.0,fc2,0.3871243569284152,0.0050682535337652004,0.5840570655766385,0.5840570655766385,17.665536111474676,23.987840720079344,-0.0924275431383921,1.6893515330853406,9.010513139123471
42,dp_fisher_wiener_adaptive_beta_lr5p00,completed,4,full,dp_fisher_wiener_adaptive_beta,5.0,conv1,5.728035901011543e-10,1.253890305501558e-10,2.3928900231087323e-05,0.00011964450115534999,6.593823808088734,1.0000282183378333,0.0937191458701486,0.0004779844488015,0.0057500822854544
42,dp_fisher_wiener_adaptive_beta_lr5p00,completed,4,full,dp_fisher_wiener_adaptive_beta,5.0,conv2,0.4950211564427699,0.00370027146407635,0.7002747351720129,3.5013736758600644,21.287485287744772,260.9407361355034,0.21551681643212753,14.313736232608235,144.9579651823208
42,dp_fisher_wiener_adaptive_beta_lr5p00,completed,4,full,dp_fisher_wiener_adaptive_beta,5.0,fc1,0.2077002361860867,0.00010182968554086223,0.3981874049097133,1.990937024548567,30.336743628176055,409.4947032157771,0.0493380595292758,15.472424692655832,172.77208725293528
42,dp_fisher_wiener_adaptive_beta_lr5p00,completed,4,full,dp_fisher_wiener_adaptive_beta,5.0,fc2,0.5802052970646485,0.0059285463891334995,0.7113741775409202,3.5568708877046014,18.734978650079917,13.463991861946702,-0.06351831106209131,9.046908406206745,34.106546202909
