seed,run_id,method,config_fingerprint,step,layer,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,kappa,H_mean,H_std,H_min,H_max,H_q10,H_q25,H_q50,H_q75,H_q90,trace_A,trace_G,trace_F,lambdaF_mean,lambdaF_median,lambdaF_q10,lambdaF_q90
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,0,conv1,0.02743677545545782,8.414774423671854,8.414852996324656,8.414852996324656,94062.99830423968,94062.99830423968,0.00449401677791516,0.00449401677791516,1.0,1.0,1.0631172902198439e-05,1.0631172916538092e-05,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,0,conv2,0.1220335190109345,46.553354266192315,46.55461842496435,46.55461842496435,145527.0368673731,145527.0368673731,0.01166961927800239,0.01166961927800239,1.0,1.0,6.871575354373537e-06,6.871575338934026e-06,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,0,fc1,0.42214772153515695,306.3290999472629,306.3297565163868,306.3297565163868,526559.6915709171,526559.6915709171,0.0022443462243324935,0.0022443462243324935,1.0,1.0,1.8991199212591236e-06,1.8991199212600926e-06,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,0,fc2,0.13642323041494472,25.068343595047605,25.068797897051684,25.068797897051684,33765.611481000036,33765.611481000036,0.00605103923761211,0.00605103923761211,1.0,1.0,2.9615930412187832e-05,2.9615930429163115e-05,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,1,conv1,0.10567054029004345,8.797956451428387,8.79942230483126,8.79942230483126,6931.9554020684645,6931.9554020684645,0.01987516786567734,0.01987516786567734,1.0,1.0,0.00014425943935127397,0.00014425944142597982,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,1,conv2,0.25941234519892653,47.4488083647686,47.453928224491726,47.453928224491726,33455.63983323544,33455.63983323544,0.022468619234220524,0.022468619234220524,1.0,1.0,2.9890326562869123e-05,2.989032658360685e-05,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,1,fc1,0.2794972328082118,306.8801839674631,306.8810478508783,306.8810478508783,1205542.891987644,1205542.891987644,0.003546227143836958,0.003546227143836958,1.0,1.0,8.295018009176302e-07,8.295018008728216e-07,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,1,fc2,0.20993659250803645,24.433615303002814,24.430087790115437,24.430087790115437,13545.628978065506,13545.628978065506,-0.012507285849018718,-0.012507285849018718,1.0,1.0,7.382455267279305e-05,7.382455256426659e-05,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,2,conv1,0.13828718790046118,7.195590661535998,7.191970971943425,7.191970971943425,2707.5033862859377,2707.5033862859377,-0.016567751346243997,-0.016567751346243997,1.0,1.0,0.00036934395170580195,0.00036934395296701054,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
42,dp_sgd_lr0p10,dp_sgd,3e67cd62a3399a0984603c0f797375b4acfeb07deb6eaa48020a8ac3e16af8af,2,conv2,0.25361415249263136,46.47006714514219,46.47549765237315,46.47549765237315,33573.73283111472,33573.73283111472,0.02413969772299459,0.02413969772299459,1.0,1.0,2.9785189660462608e-05,2.9785189652052235e-05,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
