seed,method,config_fingerprint,step,refresh_time,diagnostic_spectrum_time,active_state_bytes
42,dp_fisher_wiener,7c6539f7b74f3ee411f632c87cd1c75273362b374ae465b64fb82e059e574d45,0,0.08575164712965488,0.09937185235321522,10905008
42,dp_fisher_wiener,7c6539f7b74f3ee411f632c87cd1c75273362b374ae465b64fb82e059e574d45,2,0.04121853783726692,0.003587629646062851,10905008
