seed,alpha,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.25,-0.00040093457943912725,0.0011999999999999789,0.0002571428571428447,-0.010960647600889162,0.0,0.0,0.0,0.0,0.0
123,0.5,-0.0016009345794392171,0.0012999999999999678,-0.0012285714285713567,-0.02781866499185559,0.0,0.0,0.0,0.0,100.0
123,0.75,-0.006910280373831568,-0.0026000000000000467,-0.004928571428571504,-0.05995282301902771,0.0,0.0,0.0,100.0,100.0
123,1.0,-0.10424999999999984,-0.11440000000000006,-0.11221428571428582,0.3023232851982116,0.0,0.0,,,
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,0.25,-0.00014953271028050885,-0.00039999999999995595,0.0005571428571428116,-0.006128207111358641,0.0,0.0,0.0,0.0,0.0
456,0.5,-0.0018102803738317963,-0.0008000000000000229,-5.714285714275569e-05,-0.015543539309501697,0.0,0.0,0.0,0.0,0.0
456,0.75,-0.0035785046728972203,-0.0015000000000000568,-0.0006142857142857894,-0.04284416567087168,0.0,0.0,0.0,100.0,100.0
456,1.0,-0.16907056074766358,-0.15000000000000002,-0.16955714285714274,0.25469095020294186,0.0,600.0,,,
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.25,-0.00027523364485981805,0.00040000000000001146,0.00040714285714282816,-0.008544427356123901,0.0,0.0,0.0,0.0,0.0
mean,0.5,-0.0017056074766355067,0.00024999999999997247,-0.0006428571428570562,-0.021681102150678644,0.0,0.0,0.0,0.0,50.0
mean,0.75,-0.005244392523364394,-0.0020500000000000518,-0.002771428571428647,-0.0513984943449497,0.0,0.0,0.0,100.0,100.0
mean,1.0,-0.1366602803738317,-0.13220000000000004,-0.14088571428571428,0.27850711770057673,0.0,300.0,,,
