seed,alpha,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.25,-0.0017378504672895811,-0.0050000000000000044,-0.003214285714285614,0.032342860329151124,0.0,0.0,0.0,0.0,100.0
123,0.5,-0.004175233644859833,-0.00880000000000003,-0.0059714285714285165,0.07800382156372071,0.0,0.0,0.0,0.0,100.0
123,0.75,-0.008250467289719676,-0.016900000000000026,-0.011128571428571266,0.17861085584163666,0.0,0.0,0.0,0.0,300.0
123,1.0,-0.025998598130841044,-0.0363,-0.03052857142857124,0.4260076150894165,0.0,0.0,0.0,100.0,
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,0.25,-0.00198037383177585,-0.0019000000000000128,-0.0028571428571427804,0.019731422948837285,0.0,0.0,0.0,0.0,100.0
456,0.5,-0.004630841121495366,-0.005099999999999993,-0.006371428571428583,0.052570595049858115,0.0,0.0,0.0,0.0,100.0
456,0.75,-0.011108411214953318,-0.011399999999999966,-0.013328571428571467,0.13072571327686305,0.0,0.0,0.0,0.0,300.0
456,1.0,-0.03955794392523371,-0.03579999999999994,-0.03802857142857141,0.40956454622745514,0.0,0.0,0.0,200.0,
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.25,-0.0018591121495327156,-0.0034500000000000086,-0.003035714285714197,0.026037141638994205,0.0,0.0,0.0,0.0,100.0
mean,0.5,-0.004403037383177599,-0.006950000000000012,-0.00617142857142855,0.06528720830678941,0.0,0.0,0.0,0.0,100.0
mean,0.75,-0.009679439252336497,-0.014149999999999996,-0.012228571428571366,0.15466828455924986,0.0,0.0,0.0,0.0,300.0
mean,1.0,-0.032778271028037376,-0.03604999999999997,-0.034278571428571325,0.4177860806584358,0.0,0.0,0.0,150.0,
