seed,alpha,accuracy_auc,final_accuracy,late_mean_accuracy,final_test_loss,T50,T70,T80,T85,T90
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.25,-0.0021387850467287084,-0.0038000000000000256,-0.0029571428571427694,0.021382212728261962,0.0,0.0,0.0,0.0,100.0
123,0.5,-0.00577616822429905,-0.007500000000000062,-0.007199999999999873,0.05018515657186512,0.0,0.0,0.0,0.0,200.0
123,0.75,-0.015160747663551244,-0.019500000000000073,-0.01605714285714277,0.11865803282260895,0.0,0.0,0.0,100.0,400.0
123,1.0,-0.1302485981308409,-0.15070000000000006,-0.14274285714285706,0.7283309002876281,0.0,0.0,,,
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,0.25,-0.002129906542056359,-0.0022999999999999687,-0.0022999999999999687,0.013603215837478644,0.0,0.0,0.0,0.0,100.0
456,0.5,-0.006441121495327162,-0.005900000000000016,-0.006428571428571339,0.03702705574035642,0.0,0.0,0.0,0.0,100.0
456,0.75,-0.014686915887850538,-0.012900000000000023,-0.013942857142857257,0.08788154760599137,0.0,0.0,0.0,100.0,400.0
456,1.0,-0.20862850467289729,-0.18579999999999997,-0.20758571428571415,0.664255496430397,0.0,600.0,,,
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.25,-0.0021343457943925337,-0.003049999999999997,-0.002628571428571369,0.017492714282870303,0.0,0.0,0.0,0.0,100.0
mean,0.5,-0.006108644859813106,-0.006700000000000039,-0.006814285714285606,0.04360610615611077,0.0,0.0,0.0,0.0,150.0
mean,0.75,-0.014923831775700891,-0.016200000000000048,-0.015000000000000013,0.10326979021430016,0.0,0.0,0.0,100.0,400.0
mean,1.0,-0.1694385514018691,-0.16825,-0.1751642857142856,0.6962931983590126,0.0,300.0,,,
