method,step,epoch,layer,log_pearson,log_spearman,log_ratio_spread,A_raw,A_residual,R,config_fingerprint
syn_diag,0,1,conv1,0.16031116976225188,0.10653052853627096,1.2994822787261526,1.0280663216037844,1.2985583577207052,1.2631075743196731,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,0,1,conv2,0.7752312324421584,0.836033059109445,1.7337019591265879,2.7188579681276126,1.6326074292956698,0.6004754380089934,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,0,1,fc1,0.717078498470318,0.7633442378490183,6.48437272295118,8.670236175638045,13.559495465920444,1.5639130458776223,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,0,1,fc2,0.7944606759206226,0.7937935791233202,4.169168525002583,9.740898564976705,13.818238969763657,1.4185794952682276,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,100,1,conv1,0.25597770004297404,0.3214607992499707,1.527396640077165,1.5239011601981622,1.5250288496147764,1.0007400016786308,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,100,1,conv2,0.779281333188561,0.8380146640055168,1.5209802171368365,2.73917827616871,1.5193076482103098,0.5546581839628804,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,100,1,fc1,0.7187570209220123,0.75151455795143,5.247867284676632,8.779064731928946,13.365026940479503,1.5223748028502033,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,100,1,fc2,0.8030531287222366,0.7917678070648295,3.9562216123107734,6.443909391750531,5.19372953576756,0.8059904663489765,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,200,1,conv1,0.40877064063902413,0.48987753427868275,1.6441477838389047,1.915526574331165,1.643674790622063,0.8580798682972993,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,200,1,conv2,0.8136573543177308,0.8145870676570138,1.4761560303625862,2.5016654481273153,1.468950729387098,0.5871891185476932,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,200,1,fc1,0.7221458576600484,0.7204121818303895,5.009926913570728,8.95709052946469,13.303940204289903,1.4852970571778956,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,200,1,fc2,0.8540751136564289,0.8116844567521229,3.491256571959556,10.461782392565286,13.426534603111783,1.2833888241312887,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,300,2,conv1,0.4303588098220568,0.4981483651705145,1.6220398735154995,1.8433113264445098,1.6210748638429064,0.8794362843577452,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
syn_diag,300,2,conv2,0.8132547542202461,0.8115443857803261,1.4193301424217981,2.4487839879078193,1.4157987551456617,0.5781640039043563,77995445c6ef08639187f2e820a22d1d59e4ff14541371f60b632fd64bf2d8e2
