seed,method,config_fingerprint,step,layer,bin,count,lambda_min,lambda_max,lambda_mean,log10_lambda_mean,signal_power,noise_power,empirical_snr,H_mean,mse_before,mse_after,mse_reduction,signal_retention,noise_retention
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,0,16,4.2719833004412067e-07,4.2719898374343757e-07,4.2719865334106544e-07,-6.369370125004467,3.3990778766085958e-09,2.534318768206067e-05,0.0001341219496587915,0.02395216131117195,2.534318768206067e-05,1.8020562383758073e-08,0.9992889386331834,0.0005735375499581427,0.0005737063982517187
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,1,16,6.244960104595521e-07,6.244969767976727e-07,6.244964829704713e-07,-6.204470003135832,1.662849847216229e-08,1.7189182858972187e-05,0.0009673815004010654,0.034631157759577036,1.7189182858972187e-05,3.054992368021266e-08,0.9982227240146561,0.001199245358421454,0.0011993168493757405
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,2,16,6.254301183616917e-07,6.254310846998123e-07,6.25430590872611e-07,-6.203820880492735,9.921430340397995e-09,1.4971767858774534e-05,0.0006626758958132943,0.034681162564083934,1.4971767858774534e-05,3.941386524343009e-08,0.9973674543325366,0.00120266161139196,0.0012027833873305405
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,3,16,9.031206218423904e-07,9.031220429278619e-07,9.031213323851262e-07,-6.044253899248491,3.2314989714204643e-08,1.3547695430537522e-05,0.0023852755986888104,0.04932012245990336,1.3547695430537522e-05,9.413090931115778e-08,0.9930518882089077,0.002432399922234774,0.002432473821408856
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,4,16,9.560359330862411e-07,9.560374110151315e-07,9.560366009964127e-07,-6.01952548083426,2.901294725163059e-08,1.2128462166520513e-05,0.002392137144936723,0.052059425273910165,1.2128462166520513e-05,3.739897681356297e-08,0.9969164290396825,0.0027100902679039873,0.0027101837984198443
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,5,16,1.1632055247901008e-06,1.1632073437795043e-06,1.163206405863093e-06,-5.934343214786849,4.314963096788415e-08,2.8951676714104486e-05,0.0014904017443819085,0.06263394095003605,2.8951676714104486e-05,1.7950524337368068e-07,0.9937998327714794,0.0039229216157114005,0.0039230108237620865
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,6,16,2.5122969873336842e-06,2.5123008526861668e-06,2.5122988773773614e-06,-5.599928695717275,7.907478866497814e-07,1.4138854955065688e-05,0.055927289249062,0.12611565459519625,1.4138854955065688e-05,6.837280442245296e-07,0.9516419117361782,0.01590513522851871,0.01590515089363284
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,7,16,2.5183846901200013e-06,2.518388555472484e-06,2.5183865801636784e-06,-5.598877603558796,1.5368739205773235e-07,1.2363613291498325e-05,0.012430620078742948,0.1263826321810484,1.2363613291498325e-05,3.4825423938020713e-07,0.9718323274109514,0.015972461852360932,0.015972569216341704
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,8,16,1.0000104339269456e-05,1.0000119800679386e-05,1.0000111899444164e-05,-4.999995140296077,1.6468205592980223e-07,1.3002979990327605e-05,0.012664946295953413,0.364855632185936,1.3002979990327605e-05,1.8756818947636197e-06,0.85574985488644,0.13311883338407673,0.1331196429409086
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv1,9,16,1.168664402939612e-05,1.1686662219290156e-05,1.1686652669595787e-05,-4.932309863114849,1.2063759178657754e-06,1.553148020856246e-05,0.07767294707221511,0.4016729090362787,1.553148020856246e-05,2.613532879067323e-06,0.8317267462148755,0.1613409691861756,0.16134107499916267
91,dp_fisher_wiener,b47a1595ee654f8a78e687241bff5037cb0f0d90ae4862e4d6981afb2651c309,0,conv2,0,464,1.9400541617642375e-08,2.771130702683422e-08,2.3905253355371474e-08,-7.621506649154692,3.4094179301870856e-09,1.6554217926690532e-05,0.00020595462372978814,0.0013713088606139001,1.6554217926690532e-05,3.4064420513840708e-09,0.9997942251418523,1.8570771039207968e-06,1.8973868114981961e-06
