,,filtered_gradient_norm,filtered_gradient_norm,filtered_gradient_norm,filtered_gradient_norm,filter_gradient_norm_ratio,filter_gradient_norm_ratio,filter_gradient_norm_ratio,filter_gradient_norm_ratio,parameter_update_norm,parameter_update_norm,parameter_update_norm,parameter_update_norm,gradient_norm_into_adam,gradient_norm_into_adam,gradient_norm_into_adam,gradient_norm_into_adam,adam_first_moment_norm,adam_first_moment_norm,adam_first_moment_norm,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_second_moment_sqrt_norm,adam_second_moment_sqrt_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,adam_normalized_update_norm,adam_normalized_update_norm,adam_normalized_update_norm,signal_retention,signal_retention,signal_retention,signal_retention,noise_retention,noise_retention,noise_retention,noise_retention,cosine_filtered,cosine_filtered,cosine_filtered,cosine_filtered,snr_gain_db,snr_gain_db,snr_gain_db,snr_gain_db,relmse_filtered,relmse_filtered,relmse_filtered,relmse_filtered,beta_train,beta_train,beta_train,beta_train,gamma_model_raw,gamma_model_raw,gamma_model_raw,gamma_model_raw
,,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
run_id,layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dp_adam,conv1,8.917816869827906,8.703619026336499,8.67184428483937,9.59218514179926,,,,,0.008815601500622975,0.0080916117569252,0.006430099400247,0.0126490830883945,8.917816869827908,8.703619026336499,8.671844284839372,9.59218514179926,1.240677984036673,1.2960081832915598,0.8671844437192762,1.5035111258442966,0.42971505921978564,0.4402483701961052,0.2742278012413524,0.5641356952455799,8.815605668787576,8.091607028157293,6.43009966982389,12.649108949011833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.046453061598199924,0.0366072704652768,-0.0050596256173093,0.1176573310795554,0.0,0.0,0.0,0.0,122026.95345020731,118779.99333459177,86832.39243707,163715.43469457573,,,,,,,,
dp_adam,conv2,46.578222055601856,46.504975464469396,45.69987305990028,47.60306423356836,,,,,0.0475336201488935,0.04392699279660655,0.0341629683602461,0.0681175266421148,46.57822205560186,46.504975464469396,45.69987305990028,47.60306423356837,6.5026434594263485,6.718488527875996,4.569987388776213,8.003609393177188,2.2507620720064283,2.306948360404709,1.4451569102462267,2.943994656970069,47.5336211028098,43.92699282984805,34.162967043561125,68.11753170798198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004064774768268247,0.0027706240345847996,-0.0164547569540326,0.0125394187921703,0.0,0.0,0.0,0.0,148317.0319683955,152375.729617509,116381.925885866,172134.74275269793,,,,,,,,
dp_adam,fc1,306.38900359471495,306.382980724715,306.0094790598984,306.78057386953134,,,,,0.3125622653641996,0.28829963020547894,0.2255069883059092,0.4481428127399313,306.38900359471495,306.382980724715,306.0094790598984,306.78057386953134,43.22633748481695,44.62385961896791,30.60993863315996,53.04769206817203,14.881027124253553,15.24058677130453,9.679712574466109,19.36322237993904,312.56225153066083,288.2996192129703,225.5069853766181,448.14278232008456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013327145469373249,0.0014782259807409,-0.0009216325178275,0.003296038744095,0.0,0.0,0.0,0.0,435605.95760220755,426465.997754553,337694.2230348447,551797.6118648794,,,,,,,,
dp_adam,fc2,24.597201539706905,24.527085514683783,24.40458196081655,24.930053168643504,,,,,0.025004043272538024,0.0231185241989981,0.0178625545498366,0.0359165701423193,24.597201539706905,24.527085514683783,24.40458196081655,24.930053168643504,3.428329445344869,3.5390786482376067,2.442105221439495,4.193055263464768,1.189711131083081,1.2160069949288335,0.7722614833582954,1.5545690511163617,25.00404176526333,23.118523006209404,17.862554422015947,35.916566626618575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010587935144397325,0.0042451622584423,-0.0035920045460224,0.0374534206067271,0.0,0.0,0.0,0.0,25573.749850323107,25419.761338487406,15299.569099938728,36155.907624378895,,,,,,,,
dp_fisher_wiener_adaptive_beta_adam,conv1,0.049023464304879014,0.044307326648785596,9.637257872677588e-05,0.1073828313432181,0.005342151427225564,0.005082024266361233,1.1093702268788065e-05,0.011193463473911,0.0091495389692701,0.00849897921253045,0.0070135414585811,0.0125866559934384,0.049023464304879014,0.044307326648785596,9.637257872677588e-05,0.1073828313432181,0.006316756808143838,0.005375799656677791,1.0035731667571376e-05,0.0145053921875522,0.00195066889951613,0.0017000724905665721,3.173577045975449e-06,0.0043993570398854,9.149538684364153,8.498973249902637,7.013548134233625,12.586660103417712,0.0002162636930690611,0.00017096347522164296,3.8404945857490957e-10,0.0005231274377835,5.7048329690460486e-05,5.1489742414282714e-05,1.231534765127976e-10,0.0001252137107798,0.08334171079733213,0.08633832819188436,-0.0750744752322972,0.235764662037857,5.40353285060557,5.409413265998992,4.585749094926316,6.20955577549798,11.434793635151266,7.421784196126688,0.9984030003720832,29.8972031479796,560.2290526494506,560.2290526494506,1.0,1119.4581052989013,24350.1994898798,24350.1994898798,47.761957715170425,48652.63702204443
dp_fisher_wiener_adaptive_beta_adam,conv2,0.000728938613061125,0.00070492471769865,0.000652704530713,0.0008532004861342,1.5661304159887846e-05,1.5130732904887381e-05,1.4028324981344456e-05,1.8355425848432167e-05,0.046044555610630075,0.04262573605026645,0.031367043700853,0.0675597066411344,0.000728938613061125,0.00070492471769865,0.000652704530713,0.0008532004861342,9.222068743486235e-05,9.287142309704206e-05,7.369766049346531e-05,0.0001094422430519,3.461277322917823e-05,3.4405410191658424e-05,2.3305246731785923e-05,4.633502580161015e-05,46.04455547063712,42.62573376059602,31.367043056967933,67.5597113043885,1.4705833491668818e-08,1.3570903499489997e-08,1.1498913048777269e-08,2.0182613918918008e-08,2.4746639465607484e-10,2.29577665275762e-10,1.954449286936997e-10,3.352653193790757e-10,0.07169542093688552,0.08937503252646276,-0.033186103578565,0.1412177222731816,17.748939739482964,17.803976382484574,15.352674227196816,20.03513196576589,0.9989182351345477,0.999028843704823,0.997159919495218,1.0004553336333266,1.0,1.0,1.0,1.0,6580.842407113376,6580.842407113376,6534.29400889678,6627.390805329972
dp_fisher_wiener_adaptive_beta_adam,fc1,1.3257115335195038,1.2692406852529072,0.1467578300240834,2.617606933548117,0.004327327724323125,0.0041476266617614,0.0004783809321393,0.0085356766416304,0.30660476135851766,0.29094381568928834,0.2281426973453344,0.4163887167101595,1.3257115335195038,1.2692406852529072,0.1467578300240834,2.617606933548117,0.14549885120494577,0.14203600873069816,0.0187470044285503,0.2791763829298364,0.052014116929177304,0.04532179998669295,0.0059283233695099,0.1114845443738134,306.6047626144011,290.9438047180935,228.1426950612231,416.3887459601944,0.13593107419972203,0.09171221448895,0.0012743495360662,0.3590255182849219,3.161537599230112e-05,2.8336336466095394e-05,2.2463948976895361e-07,6.956419154724473e-05,0.07903420295186768,0.13390289795614815,-0.149156408960092,0.1974874248552664,36.65422852651987,36.997148767745216,35.084593894200054,37.538022676389005,22.055882040545782,18.594376707611392,1.0496677985702432,49.98510694839009,53.40018165462298,53.40018165462298,1.0,105.80036330924597,4.383361379931419,4.383361379931419,1.242867985377855,7.523854774484983
dp_fisher_wiener_adaptive_beta_adam,fc2,0.12530730544834615,0.1023019891359797,0.0956380831244252,0.200987160397,0.0050803556440206996,0.004171078504911101,0.0039186978635118,0.0080605677027488,0.027265826276514575,0.0274120850463581,0.02019396596113,0.0340451690522121,0.12530730544834615,0.1023019891359797,0.0956380831244252,0.200987160397,0.018828911745754774,0.0191726833164189,0.0100181706340084,0.0269521097161729,0.005355274663519675,0.0049305987785851005,0.0031680237848279,0.0083918773120806,27.265825570157276,27.41208439690294,20.193962841224785,34.04517064559844,0.00582834690604545,0.005770552210114,0.0001696927137186,0.0116025904902352,3.0152410202385797e-05,2.0315570392028075e-05,1.5208652313998714e-05,6.476984771148832e-05,-0.04364288471117957,-0.076947329137593,-0.2072738786575451,0.1865969980880128,18.37648622243651,18.087837798144772,10.475724595272109,26.8545446981844,1.3821498356969846,1.3039740892571683,1.1472634554846708,1.773387708788931,1.0,1.0,1.0,1.0,14.373658141948967,14.373658141948967,6.537211245961391,22.210105037936543
