lambda,K,output,final_test_accuracy,final_test_loss,best_test_accuracy,late_mean_accuracy,final_coefficient_cv,final_aggregate_cosine,final_clipping_shape_error,final_diagnostic_snr,final_R_conv1,final_attenuation_q50_conv1,final_A_old_conv1,final_A_new_conv1,final_R_conv2,final_attenuation_q50_conv2,final_A_old_conv2,final_A_new_conv2,final_R_fc1,final_attenuation_q50_fc1,final_A_old_fc1,final_A_new_fc1,final_R_fc2,final_attenuation_q50_fc2,final_A_old_fc2,final_A_new_fc2
0.0001,50,runs/lambda1e4_K50,0.8978,0.468636551618576,0.8978,0.8655857142857144,0.7172133834961695,0.2108028707960645,0.9775285927353636,0.0205677627953822,0.5704707779610464,0.999445687932042,0.0646439019017125,0.0012957900031198,0.5826946773811534,0.9986621535729076,0.11133958090938,0.0062353595124169,0.911954045314869,0.998571240979264,0.1639809423207696,0.0035755389676552,0.5834255781656118,0.9998492964726486,0.3004119847765504,0.0013907086132446
0.0001,100,runs/lambda1e4_K100,0.8899,0.4844693007946014,0.8899,0.8472428571428573,0.7980949421756025,0.2050822551063103,0.9787447412858497,0.0220377345779205,0.5973169490431957,0.9994076000440824,0.082558481215401,0.0012570729420193,0.571598132684457,0.998685725338725,0.1083774959315796,0.00595540530641,0.8541573845107512,0.9982036682904134,0.2020838259315392,0.0045891487555938,0.6471251720599769,0.9998181052864356,0.3902624443622131,0.0013316223340723
0.0001,200,runs/lambda1e4_K200,0.8371,0.5578777897834778,0.8371,0.7674142857142857,1.085619778088804,0.551974464807543,0.8338610137036655,0.0287092424888431,0.5627254756203939,0.9990396299224792,0.3536067942192163,0.0015742910592043,0.5964004269773628,0.99835523299975,0.4980946973699536,0.0084457475593481,0.8573079853337482,0.9961162382421528,0.7081857857928995,0.011333825317984,0.548675175453914,0.9996532738751276,1.023043315123564,0.0046648958403973
0.0003,50,runs/lambda3e4_K50,0.9002,0.4654714295148849,0.9002,0.8795428571428571,0.6801859941342414,0.1787787389723587,0.9838893039568912,0.0201292089107335,0.574393692249022,0.9983451414447388,0.0764111131106186,0.0036670490479495,0.5918179377610545,0.9959849772315752,0.1088347275278052,0.0183446987913552,1.002304601540025,0.9958761845754264,0.2050726524591126,0.013590468080842,0.9702332915925,0.9995791666158989,0.3533899155262388,0.0055968515959458
0.0003,100,runs/lambda3e4_K100,0.8984,0.4772421818733215,0.8984,0.8728857142857143,0.704407438973686,0.2334625695492956,0.972365789490814,0.021043745664605,0.5623405178733397,0.9983894859153836,0.0818199498892867,0.0038718129241405,0.5708215674635864,0.9960149124883538,0.1234405448098604,0.018315152374126,0.9187792983708284,0.995495918359322,0.1771548250917705,0.0126787714899972,0.6158264969074361,0.9995364425573452,0.3887707335586184,0.0045748263650222
0.0003,200,runs/lambda3e4_K200,0.857,0.5328931590080261,0.857,0.7880571428571429,0.9838062554869452,0.3963599458264467,0.918095198392484,0.0268169079569179,0.6068704300320873,0.9977710731683492,0.2910723162218874,0.0039873215441739,0.6117630088130909,0.9956891019151038,0.3814461074431594,0.0197751073933459,0.840173889471458,0.9909031120876955,0.4682554913962099,0.0282713180659766,0.7562532862360971,0.9990699724732902,0.8708185745400827,0.0049532963595649
0.001,50,runs/lambda1e3_K50,0.9018,0.4735160163283348,0.9018,0.8855285714285713,0.6529073687694541,0.2546183860125794,0.9670416110255384,0.0199161601330098,0.6007424157043169,0.9947815256396856,0.0622640460922459,0.0125577114203646,0.5954598477792631,0.9865620057821908,0.1274948525716311,0.0611204738608851,1.0015186187082332,0.9872193396307334,0.2236749369711867,0.0490157865832841,0.9768769707498628,0.9986691291176516,0.4061749958991493,0.0219466115477809
0.001,100,runs/lambda1e3_K100,0.9004,0.4746545313239098,0.9004,0.8814000000000001,0.6618293505297166,0.3247972287856717,0.94578367512113,0.0198373304543802,0.5611870567970846,0.994888215793359,0.0814086603541921,0.0127745993101623,0.5817220418019692,0.9868020902757186,0.1306950919600034,0.0600295805783493,0.8920539893205012,0.9858502364091332,0.1902265049176382,0.053392534273246,0.8383858004743187,0.9984966280731596,0.3850741917772904,0.0166739747485139
0.001,200,runs/lambda1e3_K200,0.8923,0.4970591993808746,0.8923,0.8578857142857143,0.7512806883965153,0.2064042389269035,0.9784668058284234,0.0224555553321943,0.634552184646576,0.9942744755169436,0.1827625739855706,0.0126825193468597,0.5875828981541396,0.9871832184167934,0.2989737599335109,0.0586391863020033,0.8790203272200071,0.981172204668908,0.3481330601133097,0.0677481774064047,0.6715682089731448,0.9980019649780578,0.5750683048626032,0.011535093418931
