method,metric,mean,std,n,mean_pm_std
dp_sgd,oracle_R_full_old_fc1,1.0,0.0,3,1 ± 0
dp_sgd,oracle_R_full_old_fc2,1.0,0.0,3,1 ± 0
dp_sgd,oracle_S_full_new_conv1,6.602491057401106,0.5152323783247096,3,6.60249 ± 0.515232
dp_sgd,oracle_S_full_new_conv2,9.812870191405556,0.017903902400439244,3,9.81287 ± 0.0179039
dp_sgd,oracle_S_full_new_fc1,8.440597533027047,0.0042968891321595645,3,8.4406 ± 0.00429689
dp_sgd,oracle_S_full_new_fc2,10.077863692601769,0.03797414214253006,3,10.0779 ± 0.0379741
dp_sgd,oracle_S_full_old_conv1,6.602491057401106,0.5152323783247096,3,6.60249 ± 0.515232
dp_sgd,oracle_S_full_old_conv2,9.812870191405556,0.017903902400439244,3,9.81287 ± 0.0179039
dp_sgd,oracle_S_full_old_fc1,8.440597533027047,0.0042968891321595645,3,8.4406 ± 0.00429689
dp_sgd,oracle_S_full_old_fc2,10.077863692601769,0.03797414214253006,3,10.0779 ± 0.0379741
dp_sgd,oracle_S_full_raw_conv1,6.602491057401106,0.5152323783247096,3,6.60249 ± 0.515232
dp_sgd,oracle_S_full_raw_conv2,9.812870191405556,0.017903902400439244,3,9.81287 ± 0.0179039
dp_sgd,oracle_S_full_raw_fc1,8.440597533027047,0.0042968891321595645,3,8.4406 ± 0.00429689
dp_sgd,oracle_S_full_raw_fc2,10.077863692601769,0.03797414214253006,3,10.0779 ± 0.0379741
dp_sgd,oracle_private_delta_stale_diag_conv1,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_diag_conv2,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_diag_fc1,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_diag_fc2,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_full_conv1,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_full_conv2,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_full_fc1,0.0,0.0,3,0 ± 0
dp_sgd,oracle_private_delta_stale_full_fc2,0.0,0.0,3,0 ± 0
dp_sgd,peak_cuda_memory,698902016.0,0.0,3,6.98902e+08 ± 0
dp_sgd,peak_cuda_memory_allocated,698902016.0,0.0,3,6.98902e+08 ± 0
dp_sgd,peak_cuda_memory_core,698902016.0,0.0,3,6.98902e+08 ± 0
dp_sgd,peak_cuda_memory_overall,698902016.0,0.0,3,6.98902e+08 ± 0
dp_sgd,peak_cuda_memory_reserved,1008730112.0,0.0,3,1.00873e+09 ± 0
dp_sgd,preconditioner_state_bytes,0.0,0.0,3,0 ± 0
dp_sgd,refresh_A_new_diag_conv1,,,0,N/A
dp_sgd,refresh_A_new_diag_conv2,,,0,N/A
dp_sgd,refresh_A_new_diag_fc1,,,0,N/A
dp_sgd,refresh_A_new_diag_fc2,,,0,N/A
dp_sgd,refresh_A_old_diag_conv1,,,0,N/A
dp_sgd,refresh_A_old_diag_conv2,,,0,N/A
dp_sgd,refresh_A_old_diag_fc1,,,0,N/A
dp_sgd,refresh_A_old_diag_fc2,,,0,N/A
dp_sgd,refresh_S_new_full_conv1,,,0,N/A
dp_sgd,refresh_S_new_full_conv2,,,0,N/A
dp_sgd,refresh_S_new_full_fc1,,,0,N/A
dp_sgd,refresh_S_new_full_fc2,,,0,N/A
dp_sgd,refresh_S_old_full_conv1,,,0,N/A
dp_sgd,refresh_S_old_full_conv2,,,0,N/A
dp_sgd,refresh_S_old_full_fc1,,,0,N/A
dp_sgd,refresh_S_old_full_fc2,,,0,N/A
dp_sgd,refresh_delta_stale_diag_conv1,,,0,N/A
dp_sgd,refresh_delta_stale_diag_conv2,,,0,N/A
dp_sgd,refresh_delta_stale_diag_fc1,,,0,N/A
dp_sgd,refresh_delta_stale_diag_fc2,,,0,N/A
dp_sgd,refresh_delta_stale_full_conv1,,,0,N/A
dp_sgd,refresh_delta_stale_full_conv2,,,0,N/A
dp_sgd,refresh_delta_stale_full_fc1,,,0,N/A
dp_sgd,refresh_delta_stale_full_fc2,,,0,N/A
dp_sgd,total_refresh_time,0.0,0.0,3,0 ± 0
dp_sgd,wall_time,136.10814049560577,2.2527700748873176,3,136.108 ± 2.25277
syn_diag,G_diag,0.8223770520737433,0.08793134303265003,3,0.822377 ± 0.0879313
syn_diag,G_diag_new,0.8223770520737433,0.08793134303265003,3,0.822377 ± 0.0879313
syn_diag,G_diag_old,0.8260488867137615,0.08725662569827335,3,0.826049 ± 0.0872566
syn_diag,G_full,0.99443501043179,0.01175576465803538,3,0.994435 ± 0.0117558
syn_diag,G_full_new,0.99443501043179,0.01175576465803538,3,0.994435 ± 0.0117558
syn_diag,G_full_old,0.9933831810808322,0.01272663450782012,3,0.993383 ± 0.0127266
syn_diag,best_accuracy,0.9030333333333335,0.004771093515467201,3,0.903033 ± 0.00477109
syn_diag,core_wall_time,103.339124477158,2.288875106804852,3,103.339 ± 2.28888
syn_diag,diagnostic_seconds,166.80524401987591,5.253942106166613,3,166.805 ± 5.25394
syn_diag,final_accuracy,0.9030333333333335,0.004771093515467201,3,0.903033 ± 0.00477109
syn_diag,final_test_loss,0.4649651049931844,0.027349124363664747,3,0.464965 ± 0.0273491
syn_diag,late_aggregate_cosine,0.4819615671342697,0.027037042992133314,3,0.481962 ± 0.027037
syn_diag,late_aggregate_cosine_iqr,0.28616112363989327,0.030982870648204677,3,0.286161 ± 0.0309829
syn_diag,late_aggregate_cosine_q25,0.3287681628165854,0.0373781191809825,3,0.328768 ± 0.0373781
syn_diag,late_aggregate_cosine_q75,0.6149292864564787,0.0219629586663032,3,0.614929 ± 0.021963
