pair,metric,seed,delta,mean,std,n
syn_diag - dp_sgd,G_diag,42,-0.2058489778754965,,,
syn_diag - dp_sgd,G_diag,7,-0.24797524839237883,,,
syn_diag - dp_sgd,G_diag,91,-0.07904461751089498,,,
syn_diag - dp_sgd,G_diag,all,,-0.17762294792625677,0.08793134303265003,3
syn_diag - dp_sgd,G_diag_new,42,-0.2058489778754965,,,
syn_diag - dp_sgd,G_diag_new,7,-0.24797524839237883,,,
syn_diag - dp_sgd,G_diag_new,91,-0.07904461751089498,,,
syn_diag - dp_sgd,G_diag_new,all,,-0.17762294792625677,0.08793134303265003,3
syn_diag - dp_sgd,G_diag_old,42,-0.20200611334843954,,,
syn_diag - dp_sgd,G_diag_old,7,-0.24372937950592177,,,
syn_diag - dp_sgd,G_diag_old,91,-0.07611784700435431,,,
syn_diag - dp_sgd,G_diag_old,all,,-0.17395111328623855,0.08725662569827333,3
syn_diag - dp_sgd,G_full,42,-0.010344940187621221,,,
syn_diag - dp_sgd,G_full,7,-0.014177834658388622,,,
syn_diag - dp_sgd,G_full,91,0.007827806141379678,,,
syn_diag - dp_sgd,G_full,all,,-0.005564989568210055,0.01175576465803538,3
syn_diag - dp_sgd,G_full_new,42,-0.010344940187621221,,,
syn_diag - dp_sgd,G_full_new,7,-0.014177834658388622,,,
syn_diag - dp_sgd,G_full_new,91,0.007827806141379678,,,
syn_diag - dp_sgd,G_full_new,all,,-0.005564989568210055,0.01175576465803538,3
syn_diag - dp_sgd,G_full_old,42,-0.013629499581779836,,,
syn_diag - dp_sgd,G_full_old,7,-0.014294572576147413,,,
syn_diag - dp_sgd,G_full_old,91,0.00807361540042395,,,
syn_diag - dp_sgd,G_full_old,all,,-0.006616818919167766,0.01272663450782012,3
syn_diag - dp_sgd,best_accuracy,42,0.0043000000000000815,,,
syn_diag - dp_sgd,best_accuracy,7,0.007499999999999951,,,
syn_diag - dp_sgd,best_accuracy,91,0.005800000000000027,,,
syn_diag - dp_sgd,best_accuracy,all,,0.005866666666666687,0.0016010413278029782,3
syn_diag - dp_sgd,core_wall_time,42,10.53313487675041,,,
syn_diag - dp_sgd,core_wall_time,7,6.248012876138091,,,
syn_diag - dp_sgd,core_wall_time,91,14.267724049277604,,,
syn_diag - dp_sgd,core_wall_time,all,,10.349623934055368,4.013003740929143,3
syn_diag - dp_sgd,diagnostic_seconds,42,123.24913646653295,,,
syn_diag - dp_sgd,diagnostic_seconds,7,118.1687609469518,,,
syn_diag - dp_sgd,diagnostic_seconds,91,129.64191478863358,,,
syn_diag - dp_sgd,diagnostic_seconds,all,,123.68660406737278,5.749073681477978,3
syn_diag - dp_sgd,final_accuracy,42,0.0043000000000000815,,,
syn_diag - dp_sgd,final_accuracy,7,0.007499999999999951,,,
syn_diag - dp_sgd,final_accuracy,91,0.005800000000000027,,,
syn_diag - dp_sgd,final_accuracy,all,,0.005866666666666687,0.0016010413278029782,3
syn_diag - dp_sgd,final_test_loss,42,-0.006748755490779912,,,
syn_diag - dp_sgd,final_test_loss,7,-0.025301840698719047,,,
syn_diag - dp_sgd,final_test_loss,91,-0.0076085732460021704,,,
syn_diag - dp_sgd,final_test_loss,all,,-0.013219723145167043,0.01047224880703452,3
syn_diag - dp_sgd,late_aggregate_cosine,42,-0.17006501767140847,,,
syn_diag - dp_sgd,late_aggregate_cosine,7,-0.15978660648652315,,,
syn_diag - dp_sgd,late_aggregate_cosine,91,-0.10542259250079866,,,
syn_diag - dp_sgd,late_aggregate_cosine,all,,-0.14509140555291009,0.034736471911291145,3
syn_diag - dp_sgd,late_aggregate_cosine_iqr,42,0.031428342520418595,,,
syn_diag - dp_sgd,late_aggregate_cosine_iqr,7,0.07787457865535069,,,
syn_diag - dp_sgd,late_aggregate_cosine_iqr,91,0.020466218595771135,,,
syn_diag - dp_sgd,late_aggregate_cosine_iqr,all,,0.04325637992384681,0.030477152143782313,3
syn_diag - dp_sgd,late_aggregate_cosine_q25,42,-0.1730044391274691,,,
syn_diag - dp_sgd,late_aggregate_cosine_q25,7,-0.19408840392074228,,,
syn_diag - dp_sgd,late_aggregate_cosine_q25,91,-0.11755732961757048,,,
syn_diag - dp_sgd,late_aggregate_cosine_q25,all,,-0.1615500575552606,0.03953041204440845,3
syn_diag - dp_sgd,late_aggregate_cosine_q75,42,-0.1415760966070505,,,
syn_diag - dp_sgd,late_aggregate_cosine_q75,7,-0.11621382526539159,,,
syn_diag - dp_sgd,late_aggregate_cosine_q75,91,-0.09709111102179935,,,
syn_diag - dp_sgd,late_aggregate_cosine_q75,all,,-0.11829367763141381,0.022315304726315908,3
syn_diag - dp_sgd,late_coefficient_cv,42,0.1635701134457237,,,
syn_diag - dp_sgd,late_coefficient_cv,7,0.18971849978314181,,,
syn_diag - dp_sgd,late_coefficient_cv,91,0.18560011761295325,,,
syn_diag - dp_sgd,late_coefficient_cv,all,,0.1796295769472729,0.014059517911120763,3
syn_diag - dp_sgd,late_coefficient_cv_iqr,42,0.1087168230136758,,,
syn_diag - dp_sgd,late_coefficient_cv_iqr,7,0.12611575471310998,,,
syn_diag - dp_sgd,late_coefficient_cv_iqr,91,0.10651790549840112,,,
syn_diag - dp_sgd,late_coefficient_cv_iqr,all,,0.11378349440839564,0.01073649350240433,3
syn_diag - dp_sgd,late_coefficient_cv_q25,42,0.1291209631536433,,,
syn_diag - dp_sgd,late_coefficient_cv_q25,7,0.14974640180657162,,,
syn_diag - dp_sgd,late_coefficient_cv_q25,91,0.14634820100816537,,,
syn_diag - dp_sgd,late_coefficient_cv_q25,all,,0.1417385219894601,0.011058437294574949,3
syn_diag - dp_sgd,late_coefficient_cv_q75,42,0.2378377861673191,,,
syn_diag - dp_sgd,late_coefficient_cv_q75,7,0.2758621565196816,,,
syn_diag - dp_sgd,late_coefficient_cv_q75,91,0.2528661065065665,,,
syn_diag - dp_sgd,late_coefficient_cv_q75,all,,0.2555220163978557,0.019150811423707146,3
syn_diag - dp_sgd,late_mean_accuracy,42,0.00018571428571423354,,,
syn_diag - dp_sgd,late_mean_accuracy,7,0.003042857142857014,,,
syn_diag - dp_sgd,late_mean_accuracy,91,-0.0031285714285715915,,,
syn_diag - dp_sgd,late_mean_accuracy,all,,3.333333333321864e-05,0.003088534866089055,3
syn_diag - dp_sgd,late_norm_cv,42,0.18668457103335978,,,
syn_diag - dp_sgd,late_norm_cv,7,0.14801710167621485,,,
