step,layer,R_diag,A_diag_raw,A_diag_pre,R_full,S_full_raw,S_full_pre,rank_raw,rank_pre,eigen_tolerance_raw,eigen_tolerance_pre,R_diag_new,R_full_new,A_diag_new,S_full_new,rank_new,eigen_tolerance_new,R_diag_old,R_full_old,A_diag_old,S_full_old,rank_old,eigen_tolerance_old,private_delta_stale_diag,private_delta_stale_full,seed,method,config_fingerprint
0,conv1,1.0,2.0330429227704543,2.0330429227704543,1.0,3.1304911379209988,3.1304911379209988,160,160,1.8531004688950342e-15,1.8531004688950342e-15,1.0,1.0,2.0330429227704543,3.1304911379209988,160,1.8531004688950342e-15,,,,,,,,,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,conv2,1.0,3.7456899087767663,3.7456899087767663,1.0,2.213293776734351,2.213293776734351,512,512,1.5411781673641228e-13,1.5411781673641228e-13,1.0,1.0,3.7456899087767663,2.213293776734351,512,1.5411781673641228e-13,,,,,,,,,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc1,1.0,8.927621095860035,8.927621095860035,1.0,2.0407313317226876,2.0407313317226876,512,512,2.1577798205830842e-10,2.1577798205830842e-10,1.0,1.0,8.927621095860035,2.0407313317226876,512,2.1577798205830842e-10,,,,,,,,,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
0,fc2,1.0,10.033157938117789,10.033157938117789,1.0,2.671251483723741,2.671251483723741,512,512,1.406107461825766e-13,1.406107461825766e-13,1.0,1.0,10.033157938117789,2.671251483723741,512,1.406107461825766e-13,,,,,,,,,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv1,1.0,2.5799747636298744,2.5799747636298744,1.0,3.1936246362323497,3.1936246362323497,160,160,1.7645776319231825e-14,1.7645776319231825e-14,1.0,1.0,2.5799747636298744,3.1936246362323497,160,1.7645776319231825e-14,1.0,1.0,2.5799747636298744,3.1936246362323497,160,1.7645776319231825e-14,0.0,0.0,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,conv2,1.0,3.8700127601918375,3.8700127601918375,1.0,2.2010011835544914,2.2010011835544914,512,512,3.570103204410492e-13,3.570103204410492e-13,1.0,1.0,3.8700127601918375,2.2010011835544914,512,3.570103204410492e-13,1.0,1.0,3.8700127601918375,2.2010011835544914,512,3.570103204410492e-13,0.0,0.0,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc1,1.0,9.282508751532179,9.282508751532179,1.0,2.1879433731927924,2.1879433731927924,512,512,5.158975071707042e-10,5.158975071707042e-10,1.0,1.0,9.282508751532179,2.1879433731927924,512,5.158975071707042e-10,1.0,1.0,9.282508751532179,2.1879433731927924,512,5.158975071707042e-10,0.0,0.0,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
50,fc2,1.0,10.62474853194215,10.62474853194215,1.0,3.1341497382686088,3.1341497382686088,512,512,5.100010667808881e-13,5.100010667808881e-13,1.0,1.0,10.62474853194215,3.1341497382686088,512,5.100010667808881e-13,1.0,1.0,10.62474853194215,3.1341497382686088,512,5.100010667808881e-13,0.0,0.0,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv1,1.0,2.98596112962169,2.98596112962169,1.0,3.3031263214449806,3.3031263214449806,160,160,5.600507493030843e-14,5.600507493030843e-14,1.0,1.0,2.98596112962169,3.3031263214449806,160,5.600507493030843e-14,1.0,1.0,2.98596112962169,3.3031263214449806,160,5.600507493030843e-14,0.0,0.0,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
100,conv2,1.0,4.004900758511907,4.004900758511907,1.0,2.542377201143154,2.542377201143154,512,512,7.855767654986854e-13,7.855767654986854e-13,1.0,1.0,4.004900758511907,2.542377201143154,512,7.855767654986854e-13,1.0,1.0,4.004900758511907,2.542377201143154,512,7.855767654986854e-13,0.0,0.0,7,dp_sgd,6fe427028c78c3809d02e88325a4f4fa4096caf5cdc4dd92d875cce0f9b848d2
