seed,run_id,method,learning_rate,interval_index,start_step,end_step,n_steps,layer,trace_F,oracle_signal_energy_sum,noisy_energy_sum,expected_noise_energy_sum,noise_debiased_energy_sum,beta_oracle,beta_dp_raw,beta_dp_positive,beta_dp_negative,estimated_signal_energy_positive,estimated_energy_to_noise_ratio,oracle_estimator_sd,oracle_observability_snr,conditional_variance_sum,sample_count,beta_oracle_interval,beta_dp_raw_interval,raw_positive,raw_finite,was_used_by_next_interval,next_beta_train,applied_to_training
789,dp_sgd_lr0p50,dp_sgd,0.5,0,0,49,50,conv1,0.025135352425673108,0.04283787685841947,0.1854852478830522,0.13926637620897964,0.046218871674072626,1.704287894315144,1.8387994284442548,1.8387994284442548,False,0.046218871674072626,0.3318738731622188,0.11133803816075503,15.30732822126445,7.831718822874557e-06,50,1.704287894315144,1.8387994284442548,True,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,1,50,99,50,conv1,0.0251347917314515,0.004524952096227783,0.14384467907437218,0.13926637620897964,0.00457830286539253,0.18002743545973568,0.18215002194204133,0.18215002194204133,False,0.00457830286539253,0.032874430928608124,0.09040912448247954,1.9912529449197123,5.1638677260756975e-06,50,0.18002743545973568,0.18215002194204133,True,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,2,100,149,50,conv1,0.025125715241335576,0.0010865174126454653,0.13883505741680577,0.13926637620897964,-0.00043131879217388853,0.04324324311603997,-0.017166428419291495,0.0,True,0.0,0.0,0.08832017645408716,0.4896190749495607,4.924438556968809e-06,50,0.04324324311603997,-0.017166428419291495,False,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,3,150,199,50,conv1,0.025135368437444877,0.0005508766513933567,0.139180087398501,0.13926637620897964,-8.628881047869838e-05,0.02191639453244298,-0.0034329638212166197,0.0,True,0.0,0.0,0.08795127561537981,0.24918790965011026,4.887140183084106e-06,50,0.02191639453244298,-0.0034329638212166197,False,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,4,200,249,50,conv1,0.025135410316234896,0.00032400921385505866,0.13940194432150396,0.13926637620897964,0.00013556811252429064,0.012890548026812276,0.005393511019660083,0.005393511019660083,False,0.00013556811252429064,0.0009734446764083749,0.08780886460464252,0.1468023539365687,4.871342680131218e-06,50,0.012890548026812276,0.005393511019660083,True,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,5,250,299,50,conv1,0.02513276300085271,0.00020739652081532746,0.13839967747310425,0.13926637620897964,-0.0008666987358754031,0.008252038218332416,-0.034484817122812865,0.0,True,0.0,0.0,0.08774489060978063,0.09404579750359038,4.863222566541412e-06,50,0.008252038218332416,-0.034484817122812865,False,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,6,300,349,50,conv1,0.02513490765089499,0.00016083137142592542,0.14018252860446154,0.13926637620897964,0.000916152395481833,0.006398725376665493,0.036449403682181865,0.036449403682181865,False,0.000916152395481833,0.0065784177086685965,0.08770815006013277,0.0729547410260212,4.859980086734867e-06,50,0.006398725376665493,0.036449403682181865,True,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,7,350,399,50,conv1,0.025136912845011294,0.00013925138946016012,0.13991104710298263,0.13926637620897964,0.0006446708940029675,0.00553971724048827,0.0256463829897437,0.0256463829897437,False,0.0006446708940029675,0.0046290491039341864,0.08768759406229533,0.06317560992515182,4.858477403791355e-06,50,0.00553971724048827,0.0256463829897437,True,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,8,400,449,50,conv1,0.025139209832893833,0.00013217550850662098,0.13642904305946615,0.13926637620897964,-0.0028373331495134906,0.005257743158405626,-0.11286485010363902,0.0,True,0.0,0.0,0.08767513591511052,0.059968463133056524,4.85798468764191e-06,50,0.005257743158405626,-0.11286485010363902,False,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,9,450,499,50,conv1,0.02514229958850145,0.00010289440253759316,0.14024297410569256,0.13926637620897964,0.0009765978967128663,0.004092481762672607,0.03884282315844739,0.03884282315844739,False,0.0009765978967128663,0.007012445669157037,0.08764596279028422,0.046693328823884335,4.8559457508820625e-06,50,0.004092481762672607,0.03884282315844739,True,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,10,500,549,50,conv1,0.02514262203384479,9.406168194597366e-05,0.13687113312899926,0.13926637620897964,-0.0023952430799803826,0.0037411246058329187,-0.09526624059957298,0.0,True,0.0,0.0,0.0876392880704644,0.04268775667116707,4.855330700387631e-06,50,0.0037411246058329187,-0.09526624059957298,False,True,False,,False
789,dp_sgd_lr0p50,dp_sgd,0.5,11,550,599,50,conv1,0.025139131900625555,8.517167209982913e-05,0.141395035232439,0.13926637620897964,0.0021286590234593406,0.003388011663907525,0.08467512052022654,0.08467512052022654,False,0.0021286590234593406,0.015284802271654166,0.08764586744470812,0.03865569205955353,4.854711660659764e-06,50,0.003388011663907525,0.08467512052022654,True,True,False,,False
