seed,run_id,method,config_fingerprint,step,epoch,train_loss,learning_rate,test_loss,test_accuracy,clip_rate,clean_clipped_norm,actual_noise_norm,noisy_gradient_norm,filtered_gradient_norm,relmse_noisy,relmse_filtered,cosine_noisy,cosine_filtered,signal_retention,noise_retention,snr_in,snr_out,snr_gain_db,mse_reduction,refresh_time,diagnostic_spectrum_time,wiener_filter_time,active_state_bytes,diagnostics_finite,beta_diagnostics_finite
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,0,1,2.3067173957824707,0.8,,,1.0,0.10232851681315358,1.8980261676600805,1.9007811897798015,0.0829792908915913,344.041658491307,1.0187803671310862,0.053821285786439764,0.3938755586422454,0.23941664405616905,0.001025906065992739,0.0029066247508787923,0.6783216966270388,23.6804674097828,0.9970387877689046,0.15197711810469627,0.004788178019225597,0.0013299733400344849,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,1,1,2.3111648559570312,0.8,,,1.0,0.10741349964893536,1.9019209136889603,1.904931530211427,0.08062838608850119,313.52138915725897,0.9065266145855871,0.056199672693074444,0.4375805831327468,0.30124966945243425,0.0010089915297609203,0.0031895750481363856,0.9522958324461969,24.750390583791322,0.9971085653293956,0.0,0.0,0.0012323874980211258,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,2,1,2.305300235748291,0.8,,,1.0,0.09110833560207286,1.9008806983116593,1.903031552456271,0.07282238550278664,435.3048399479466,1.1645453151671503,0.04753199783298086,0.2967156133920363,0.19611467073626565,0.0010214805963566448,0.002297240710668025,0.4410486181663319,22.832799615063372,0.997324759092258,0.0,0.0,0.0015998119488358498,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,3,1,2.298936367034912,0.8,,,1.0,0.11005528646300448,1.8961725154951667,1.8995422839545115,0.08113089920528002,296.84782927624406,0.9297764895266708,0.05956060695842805,0.4162211835492856,0.2597020486186911,0.0009369154275307259,0.003368729366676853,0.9337725603325664,24.427749850528176,0.9968678346350272,0.0,0.0,0.0015981029719114304,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,4,1,2.2924654483795166,0.8,,,1.0,0.09681969203613869,1.9031808490746152,1.90532274041216,0.07748779859361571,386.3960908184748,1.1807954208887859,0.04751772977873159,0.2872150795121179,0.19413960053323417,0.001184603883426544,0.0025880179009441294,0.4241390463327897,22.14540979418835,0.9969440803130609,0.0,0.0,0.0014920001849532127,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,5,1,2.289750099182129,0.8,,,1.0,0.10432553740324652,1.897018442871081,1.8995629799181362,0.07347537038157974,330.64491279104226,1.0162668265157417,0.05183442554572004,0.34059630459495804,0.23631301659296422,0.0010360188730454253,0.0030243925166325266,0.6898555011258486,23.581199769016127,0.9969264102147015,0.0,0.0,0.0016069775447249413,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,6,1,2.2871603965759277,0.8,,,1.0,0.11347364080023642,1.9022060922740984,1.9052047308280735,0.07729471954064504,281.0121887994566,0.9370305185886836,0.05618497135635886,0.38680610256394143,0.23996656700971927,0.0009991081938963246,0.0035585645028220034,0.8546987326014911,23.805382175497314,0.9966655164582304,0.0,0.0,0.0015054689720273018,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,7,1,2.289170026779175,0.8,,,1.0,0.11121955607187133,1.8973013564939738,1.900285809894715,0.089543295424701,291.01161281598723,0.9704756114648004,0.05607672107717179,0.42088770035922063,0.2683840121558235,0.0011533531970598563,0.0034362889860041464,0.7996206428300395,23.667943170000743,0.9966651653448683,0.0,0.0,0.0014661988243460655,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,8,1,2.2755911350250244,0.8,,,1.0,0.10398597006038725,1.9039278889501292,1.9065531870107284,0.07708065853099742,335.23665281047374,1.069901237413755,0.052499945455671396,0.32347981656112235,0.19306210377243163,0.0010672250529237131,0.0029829673799797603,0.5396218503211926,22.57441022432956,0.9968085195086996,0.0,0.0,0.0015146182850003242,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,9,1,2.28387451171875,0.8,,,1.0,0.09434432054080896,1.897538637714331,1.8996240531512085,0.07484939387331989,404.52906746943273,1.1379404971944025,0.0469245360612759,0.3097481132828998,0.20814235192665662,0.0010807722265848189,0.002472010246736932,0.4760762850967164,22.846262816064964,0.9971869994304425,0.0,0.0,0.0014751777052879333,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,10,1,2.2821226119995117,0.8,,,1.0,0.09922901113546549,1.9047282539159267,1.9073539188533384,0.0755043236442793,368.4586198908932,1.1184071198365502,0.05245466302459188,0.3026486008140231,0.1856091430111971,0.001074510207464393,0.002714008971195412,0.46881348887224333,22.373888198168245,0.9969646330430065,0.0,0.0,0.0014669029042124748,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,11,1,2.2814698219299316,0.8,,,1.0,0.11087656766330765,1.8974387058767894,1.9008235807209397,0.08268063612784059,292.8572395325889,0.9570368973952942,0.05966653601394629,0.40165714500427563,0.24826069429322214,0.0010608533159703123,0.0034146330188538844,0.7990917793275322,23.69252627192235,0.9967320702096267,0.0,0.0,0.0016245637089014053,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,12,1,2.266505479812622,0.8,,,1.0,0.119694770451856,1.898633967673978,1.902341273201292,0.08019109311241895,251.6124579934974,0.9033067067979818,0.062402672156075874,0.4071447430685133,0.226276260145633,0.0009151185270731035,0.003974366006772873,0.9827193414267049,23.931616440062772,0.9964099285305615,0.0,0.0,0.0014785872772336006,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,13,1,2.269895076751709,0.8,,,1.0,0.09139526621677618,1.8924709283980206,1.8944943838502093,0.06738561638733194,428.75680794655966,1.2443559492952856,0.046249067497701725,0.2029391120249228,0.10388390554268566,0.001002804773378762,0.0023323244817249522,0.24161330554859445,20.153318758808684,0.997097758155131,0.0,0.0,0.0016050375998020172,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,14,1,2.271822929382324,0.8,,,1.0,0.10849004463144728,1.8976143429143626,1.9006410161990281,0.0760135668338886,305.93990871527484,0.9780667511033477,0.05641633577286698,0.36597714735281595,0.22280020823258695,0.0009556492161441901,0.003268615736057561,0.76204558552822,23.676170842639017,0.9968030756261573,0.0,0.0,0.0014654556289315224,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,15,1,2.2722721099853516,0.8,,,1.0,0.09986724502175592,1.8955749546751692,1.8982187453329837,0.07397983279020491,360.27637554417976,1.0992195859303233,0.05276013081445021,0.30342136353166166,0.17770146489175986,0.0010250172115683085,0.0027756468860579736,0.4811982784519513,22.389598498151567,0.9969489545789126,0.0,0.0,0.0016211383044719696,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,16,1,2.258439779281616,0.8,,,1.0,0.09599088152173715,1.8989570778514924,1.9011156743065702,0.06831784885478855,391.35450451815024,1.2240098313593588,0.04772068308135472,0.1984819674272217,0.11399463971294173,0.0010736462353855755,0.0025552280307145846,0.27130193270550423,20.260232244312256,0.9968723757687009,0.0,0.0,0.0014820527285337448,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,17,1,2.2800769805908203,0.8,,,1.0,0.11726891931453527,1.8969231099899906,1.9001410674433201,0.08339068896125887,261.65775394224045,0.8925039009153407,0.05827555312674873,0.4311369286551612,0.2885479681894671,0.0010273006372115766,0.003821786225940585,1.0734624414570417,24.485204628743276,0.9965890408846355,0.0,0.0,0.001632477156817913,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,18,1,2.267120122909546,0.8,,,1.0,0.1012455942473381,1.8957245046042648,1.89831400240905,0.07603706745690893,350.58891494155114,1.1183550330608862,0.05222619651430261,0.2967114250258005,0.18821476312181745,0.0011301324054933887,0.002852343463480251,0.4750356211640636,22.21524357154624,0.9968100673312873,0.0,0.0,0.001494191586971283,10905008,True,True
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,e634d7597221c0fb056ed627f75d79d73dac1242a2726b4323c9b453f3bd1810,19,1,2.2573118209838867,0.8,,,1.0,0.11921038332599052,1.8980744236962381,1.9020438455678546,0.08936895915976804,253.51187382013947,0.9101993927212164,0.06460031730791009,0.43473022571364556,0.2567082879206402,0.0010668066234381947,0.003944588412607572,0.9491959606478172,23.8135418664894,0.9964096380220568,0.0,0.0,0.0015977565199136734,10905008,True,True
