seed,run_id,method,learning_rate,layer,source_interval,target_interval,beta_hold_predictor,beta_oracle_current,hold_prediction_positive,hold_ratio,hold_log10_abs_ratio_error
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,0,1,0.17829939401920888,0.9122542242098496,True,0.19544923913467563,0.7089660158956125
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,1,2,0.6405817411595887,0.3973900086983823,True,1.6119724380030602,0.2073576118328968
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,2,3,0.3851765539195673,0.11376146199341994,True,3.385826334948528,0.5296646786081854
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,3,4,0.3851765539195673,0.043654412856277705,True,8.823313125013824,0.9456316919041223
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,4,5,0.051401198579498285,0.0270278077203276,True,1.9017894130140445,0.27916242541458
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,5,6,0.0024735763642360705,0.014707247485385358,True,0.16818758008213786,0.7742060781037806
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,6,7,0.0024735763642360705,0.010995181026696804,True,0.2249691349537687,0.6478770616164086
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,7,8,0.0024735763642360705,0.00936297216659998,True,0.26418708933685875,0.5780884099113621
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,8,9,0.0024735763642360705,0.007078039068943862,True,0.3494719851278189,0.4565876330572091
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,9,10,0.001091824377966413,0.006832654932200409,True,0.15979504142978848,0.7964367013242349
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,10,11,0.001091824377966413,0.005166914506611563,True,0.2113107109802802,0.6750784887416497
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,11,12,0.07423997677957149,0.0048962187127170945,True,15.162716605519641,1.1807770179907058
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,12,13,0.07423997677957149,0.0035789877127616453,True,20.74328909117318,1.3168776199842436
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,13,14,0.02722164510282146,0.0026528935885021185,True,10.261114588539298,1.0111945375166707
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,14,15,0.02722164510282146,0.0026126398540169005,True,10.419210692575376,1.0178348202261915
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,15,16,0.022223455893171963,0.002652553150911729,True,8.378137827524162,0.9231475005991849
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,16,17,0.029663006757109932,0.0018990538015760158,True,15.619887510555385,1.1936779019022943
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,17,18,0.12870773833360352,0.002067101016745533,True,62.2648517372617,1.79424295830964
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,18,19,0.04780233048852063,0.0019738698725559364,True,24.21756933075941,1.384130551721472
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,19,20,0.037763688309590496,0.0018681067887642276,True,20.214951595230577,1.305672705751344
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,20,21,0.037763688309590496,0.0018323820057836479,True,20.609069610154922,1.314058386136503
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,21,22,0.037763688309590496,0.0016379624340242885,True,23.05528351881025,1.3627704672579948
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv1,22,23,0.037763688309590496,0.0025550347185058606,True,14.780107697195612,1.169677598614109
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv2,0,1,0.12003793355851225,0.12148206804509894,True,0.9881123649784216,0.005193666024394643
42,dp_fisher_wiener_lr0p80,dp_fisher_wiener,0.8,conv2,1,2,0.1674958133705801,0.0382376289691414,True,4.38039224413608,0.6415130013343786
