method,completed_steps_mean,completed_steps_sd,epsilon_spent_mean,epsilon_spent_sd,noise_multiplier_mean,noise_multiplier_sd,final_accuracy_mean,final_accuracy_sd,best_accuracy_mean,best_accuracy_sd,late_mean_accuracy_mean,late_mean_accuracy_sd,accuracy_auc_mean,accuracy_auc_sd,final_test_loss_mean,final_test_loss_sd,wall_time_mean,wall_time_sd,diagnostic_seconds_mean,diagnostic_seconds_sd,core_training_runtime_mean,core_training_runtime_sd,total_refresh_time_mean,total_refresh_time_sd,mean_refresh_time_mean,mean_refresh_time_sd,number_of_refreshes_mean,number_of_refreshes_sd,total_wiener_filter_time_mean,total_wiener_filter_time_sd,mean_wiener_filter_time_mean,mean_wiener_filter_time_sd,active_state_bytes_mean,active_state_bytes_sd,peak_cuda_allocated_memory_mean,peak_cuda_allocated_memory_sd,late_relmse_noisy_mean,late_relmse_noisy_sd,late_relmse_filtered_mean,late_relmse_filtered_sd,late_cosine_noisy_mean,late_cosine_noisy_sd,late_cosine_filtered_mean,late_cosine_filtered_sd,late_signal_retention_mean,late_signal_retention_sd,late_noise_retention_mean,late_noise_retention_sd,late_snr_gain_db_mean,late_snr_gain_db_sd,late_mse_reduction_mean,late_mse_reduction_sd
dp_fisher_wiener,4.0,,0.9941875233938002,,2.734375,,0.125,,0.15625,,0.125,,0.13541666666666666,,2.3027557730674744,,0.3442530920729041,,0.1334339017048478,,0.2108191903680563,,0.09190309885889292,,0.04595154942944646,,2.0,,0.006267741322517395,,0.0015669353306293488,,10905072.0,,140867584.0,,427358.8129340623,,1.1453494737885832,,0.0007568843290146001,,0.09744877524825285,,0.0029603997841115,,4.5726103745149425e-07,,38.24371325747969,,0.9999973129289381,
dp_scalar_wiener,4.0,,0.9941875233938002,,2.734375,,0.1875,,0.1875,,0.1875,,0.1875,,2.2963931262493134,,0.4659821940585971,,0.20381132327020168,,0.2621708707883954,,0.14510628208518028,,0.07255314104259014,,2.0,,0.0028691980987787247,,0.0007172995246946812,,10905072.0,,140867584.0,,427682.5799112844,,1.0000349679632592,,0.0012794785112690394,,0.0020915566543547497,,2.6709801544591725e-09,,1.8431653803872218e-10,,11.582905607017885,,0.9999975935004122,
dp_sgd,4.0,,0.9941875233938002,,2.734375,,0.09375,,0.09375,,0.09375,,0.0625,,9.7860746383667,,0.7077497569844127,,0.1310983058065176,,0.5766514511778951,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,91128832.0,,377142.58675607416,,377142.58675607416,,0.00020409480989205006,,0.00020409480989205006,,1.0,,1.0,,0.0,,0.0,
