contrast,metric,seed,difference,mean,sd,improvement_direction
dp_fisher_wiener - dp_scalar_wiener,late_mean_accuracy,42,-0.0625,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mean_accuracy,aggregate,,-0.0625,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,accuracy_auc,42,-0.05208333333333334,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,accuracy_auc,aggregate,,-0.05208333333333334,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,final_test_loss,42,0.006362646818161011,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,final_test_loss,aggregate,,0.006362646818161011,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_noisy,42,-323.76697722205427,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_noisy,aggregate,,-323.76697722205427,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_filtered,42,0.14531450582532401,,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_relmse_filtered,aggregate,,0.14531450582532401,,negative difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_noisy,42,-0.0005225941822544393,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_noisy,aggregate,,-0.0005225941822544393,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_filtered,42,0.0953572185938981,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_cosine_filtered,aggregate,,0.0953572185938981,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_signal_retention,42,0.0029603971131313455,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_signal_retention,aggregate,,0.0029603971131313455,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_noise_retention,42,4.570767209134555e-07,,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_noise_retention,aggregate,,4.570767209134555e-07,,descriptive; interpret signal and noise jointly
dp_fisher_wiener - dp_scalar_wiener,late_snr_gain_db,42,26.660807650461805,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_snr_gain_db,aggregate,,26.660807650461805,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mse_reduction,42,-2.8057147405391447e-07,,,positive difference improves
dp_fisher_wiener - dp_scalar_wiener,late_mse_reduction,aggregate,,-2.8057147405391447e-07,,positive difference improves
