method,metric,mean,std,n
syn_diag,best_accuracy,0.0625,,1
syn_diag,core_wall_time,0.595315370708704,,1
syn_diag,diagnostic_seconds,5.919116522185504,,1
syn_diag,final_accuracy,0.0625,,1
syn_diag,final_test_loss,10.87749719619751,,1
syn_diag,first_moment_state_bytes,0.0,,1
syn_diag,late_actual_noise_norm,311.0545992702126,,1
syn_diag,late_aggregate_cosine,0.930731510840309,,1
syn_diag,late_clipping_shape_error,0.33203280845630295,,1
syn_diag,late_coefficient_cv,0.5363309419980863,,1
syn_diag,late_cos_method_adam_current_noise_off,0.26935566473298733,,1
syn_diag,late_cos_method_adam_noisy,0.00016637147626889998,,1
syn_diag,late_diagnostic_snr,0.0015995170130916501,,1
syn_diag,late_expected_noise_norm,310.9577728256891,,1
syn_diag,late_mean_accuracy,0.0625,,1
syn_diag,late_method_clip_cosine,0.9307315108403029,,1
syn_diag,late_method_update_norm,31.105392483854295,,1
syn_diag,late_noise_degradation_method,0.2691892932567185,,1
syn_diag,late_relative_distortion,0.9999153722752459,,1
syn_diag,late_update_norm,31.105392483854295,,1
syn_diag,mean_refresh_time,0.2640125104226172,,1
syn_diag,optimizer_state_bytes,0.0,,1
syn_diag,peak_cuda_memory_allocated,91642368.0,,1
syn_diag,peak_cuda_memory_core,91642368.0,,1
syn_diag,peak_cuda_memory_overall,91642368.0,,1
syn_diag,peak_cuda_memory_reserved,127926272.0,,1
syn_diag,preconditioner_state_bytes,827688.0,,1
syn_diag,second_moment_state_bytes,0.0,,1
syn_diag,temporal_state_bytes,0.0,,1
syn_diag,total_algorithm_state_bytes,827688.0,,1
syn_diag,total_refresh_time,0.5280250208452344,,1
syn_diag,wall_time,6.514431892894208,,1
syn_diag_beta1,best_accuracy,0.125,,1
syn_diag_beta1,core_wall_time,0.11295261420309544,,1
syn_diag_beta1,diagnostic_seconds,5.401364545337856,,1
syn_diag_beta1,final_accuracy,0.125,,1
syn_diag_beta1,final_test_loss,7.9427149295806885,,1
syn_diag_beta1,first_moment_state_bytes,827688.0,,1
syn_diag_beta1,late_actual_noise_norm,311.0545992839442,,1
syn_diag_beta1,late_aggregate_cosine,0.9412235739912886,,1
syn_diag_beta1,late_clipping_shape_error,0.3350235145908737,,1
syn_diag_beta1,late_coefficient_cv,0.31253313631350166,,1
syn_diag_beta1,late_cos_method_adam_current_noise_off,-0.00225448306183415,,1
syn_diag_beta1,late_cos_method_adam_noisy,-0.0018840727105937502,,1
syn_diag_beta1,late_diagnostic_snr,0.0015289826117931,,1
syn_diag_beta1,late_expected_noise_norm,310.9577728256891,,1
syn_diag_beta1,late_mean_accuracy,0.125,,1
syn_diag_beta1,late_method_clip_cosine,0.941223573991285,,1
syn_diag_beta1,late_method_update_norm,16.859928775764192,,1
syn_diag_beta1,late_noise_degradation_method,-0.00037041035124030003,,1
