contrast,metric,seed,delta,mean,std,n
Full - SynDiag,final_accuracy,42,0.0,,,
Full - SynDiag,final_accuracy,all,,0.0,,1.0
Full - SynDiag,final_test_loss,42,-2.899763822555542,,,
Full - SynDiag,final_test_loss,all,,-2.899763822555542,,1.0
Full - SynDiag,late_mean_accuracy,42,0.0,,,
Full - SynDiag,late_mean_accuracy,all,,0.0,,1.0
Full - syn_diag_beta1,final_accuracy,42,-0.0625,,,
Full - syn_diag_beta1,final_accuracy,all,,-0.0625,,1.0
Full - syn_diag_beta1,final_test_loss,42,0.0350184440612793,,,
Full - syn_diag_beta1,final_test_loss,all,,0.0350184440612793,,1.0
Full - syn_diag_beta1,late_mean_accuracy,42,-0.0625,,,
Full - syn_diag_beta1,late_mean_accuracy,all,,-0.0625,,1.0
Full - syn_diag_beta2,final_accuracy,42,0.0,,,
Full - syn_diag_beta2,final_accuracy,all,,0.0,,1.0
Full - syn_diag_beta2,final_test_loss,42,-2.8042404651641846,,,
Full - syn_diag_beta2,final_test_loss,all,,-2.8042404651641846,,1.0
Full - syn_diag_beta2,late_mean_accuracy,42,0.0,,,
Full - syn_diag_beta2,late_mean_accuracy,all,,0.0,,1.0
Full - dp_sgd_momentum,final_accuracy,42,-0.0625,,,
Full - dp_sgd_momentum,final_accuracy,all,,-0.0625,,1.0
Full - dp_sgd_momentum,final_test_loss,42,0.3660096526145935,,,
Full - dp_sgd_momentum,final_test_loss,all,,0.3660096526145935,,1.0
Full - dp_sgd_momentum,late_mean_accuracy,42,-0.0625,,,
Full - dp_sgd_momentum,late_mean_accuracy,all,,-0.0625,,1.0
Full - dp_kfc_momentum,final_accuracy,42,-0.0625,,,
Full - dp_kfc_momentum,final_accuracy,all,,-0.0625,,1.0
Full - dp_kfc_momentum,final_test_loss,42,0.14478296041488647,,,
Full - dp_kfc_momentum,final_test_loss,all,,0.14478296041488647,,1.0
Full - dp_kfc_momentum,late_mean_accuracy,42,-0.0625,,,
Full - dp_kfc_momentum,late_mean_accuracy,all,,-0.0625,,1.0
