seed,run_id,method,learning_rate,interval_index,start_step,end_step,n_steps,layer,trace_F,oracle_signal_energy_sum,noisy_energy_sum,expected_noise_energy_sum,noise_debiased_energy_sum,beta_oracle,beta_dp_raw,beta_dp_positive,beta_dp_negative,estimated_signal_energy_positive,estimated_energy_to_noise_ratio,oracle_estimator_sd,oracle_observability_snr,conditional_variance_sum,sample_count
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,0,0,49,50,conv1,0.025138633447215238,0.0019849673357693214,0.1399914525926893,0.13926637620897964,0.0007250763837096941,0.07896082895425681,0.028843110554603965,0.028843110554603965,False,0.0007250763837096941,0.005206399444302738,0.08883375905784535,0.8888606060714034,4.9870004894681545e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,1,50,99,50,conv1,0.025132144262435957,0.003880015824665354,0.13702442855704272,0.13926637620897964,-0.0022419476519369413,0.15438459146777472,-0.08920638161734148,0.0,True,0.0,0.0,0.09002461469628527,1.7149153252612181,5.118958757362582e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,2,100,149,50,conv1,0.025133203220362166,0.005981643938553968,0.14391585875360402,0.13926637620897964,0.004649482544624365,0.2379976752707677,0.1849936318844346,0.1849936318844346,False,0.004649482544624365,0.03338553548355478,0.09129853163898066,2.606807260588664,5.265301823142672e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,3,150,199,50,conv1,0.025136497593461482,0.008019061814164063,0.14235541423833398,0.13926637620897964,0.0030890380293543077,0.3190206505241202,0.12289055059754346,0.12289055059754346,False,0.0030890380293543077,0.022180788453178345,0.0925082353505499,3.4485648673908984,5.407173725322479e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,4,200,249,50,conv1,0.025135681247376307,0.011085174318547065,0.1509484876286919,0.13926637620897964,0.011682111419712227,0.44101348236599514,0.46476207685564996,0.46476207685564996,False,0.011682111419712227,0.08388321530028511,0.09431996928938441,4.67571698215201,5.6206769140897086e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,5,250,299,50,conv1,0.02513281106308607,0.015969383583886824,0.1544984753007729,0.13926637620897964,0.015232099091793232,0.6353998183411298,0.6060642820080498,0.6060642820080498,False,0.015232099091793232,0.10937384533382954,0.0971427691525691,6.540886404603703,5.960779976604805e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,6,300,349,50,conv1,0.02513381890143669,0.0227151607315488,0.1567535648915839,0.13926637620897964,0.017487188682604255,0.9037687754744808,0.6957632961063731,0.6957632961063731,False,0.017487188682604255,0.1255664802840698,0.10089374105604816,8.957629736219875,6.430509945638921e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,7,350,399,50,conv1,0.025136880578922882,0.030778091067463816,0.1667716308094479,0.13926637620897964,0.02750525460046835,1.2244196717579607,1.0942190903166933,1.0942190903166933,False,0.02750525460046835,0.1975010433171403,0.10519328261084132,11.639713495546035,6.991957490393089e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,8,400,449,50,conv1,0.02513612984001226,0.039272072300510955,0.17423525983295574,0.13926637620897964,0.034968883623976134,1.5623754551902727,1.3911800999814965,1.3911800999814965,False,0.034968883623976134,0.2510935128465726,0.10955549301711967,14.261041701639,7.583420483349867e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,9,450,499,50,conv1,0.02512982449704229,0.046828558439044245,0.18434530601944057,0.13926637620897964,0.04507892981046098,1.8634653992333226,1.7938418079985652,1.7938418079985652,False,0.04507892981046098,0.3236885387359615,0.1133209831134101,16.44413371034622,8.109602704043323e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,10,500,549,50,conv1,0.02513307916788554,0.04580726736415866,0.18181914507190783,0.13926637620897964,0.04255276886292816,1.8225887507922274,1.6930981110066723,1.6930981110066723,False,0.04255276886292816,0.3055494802188935,0.11280840435193619,16.15649791828289,8.03848695051638e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,11,550,599,50,conv1,0.02513115915472597,0.04321010040760253,0.185858980594993,0.13926637620897964,0.04659260438601332,1.7193835008393068,1.8539775304097537,1.8539775304097537,False,0.04659260438601332,0.33455745495785044,0.1115407309492543,15.41484877788502,7.85763793529174e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,12,600,649,50,conv1,0.025144853912222043,0.031321152216518634,0.16816300731310455,0.13926637620897964,0.02889663110412487,1.2456287209246624,1.1492065615095588,1.1492065615095588,False,0.02889663110412487,0.20749180017835617,0.10544391456813124,11.813187375554726,7.029772569537464e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,13,650,699,50,conv1,0.02513572360639954,0.022813819793893932,0.1640150602562635,0.13926637620897964,0.024748684047283878,0.9076253443559328,0.984602012451429,0.984602012451429,False,0.024748684047283878,0.17770753229027023,0.10093997138681503,8.991733715516512,6.4373798906854115e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,14,700,749,50,conv1,0.025132398520411048,0.018557550623483576,0.15582903478425403,0.13926637620897964,0.016562658575274395,0.7383915470070328,0.6590162320489699,0.6590162320489699,False,0.016562658575274395,0.11892790654868449,0.09860199279311359,7.48860672855748,6.1410022989188866e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,15,750,799,50,conv1,0.025132600531679872,0.01349104605420099,0.1549955220278354,0.13926637620897964,0.01572914581885575,0.5367946718126285,0.6258463305072238,0.6258463305072238,False,0.01572914581885575,0.11294288145431489,0.09572702008388256,5.60755647776119,5.7882054332137755e-06,50
42,dp_fisher_wiener_lr0p10,dp_fisher_wiener,0.1,16,800,849,50,conv1,0.025136574625791303,0.01126365382246463,0.15061596768129487,0.13926637620897964,0.011349591472315223,0.4480981991439515,0.45151702812641825,0.45151702812641825,False,0.011349591472315223,0.0814955611051645,0.09442083305461228,4.745755618128784,5.633105010958797e-06,50
