trajectory,metric,mean,std,count
adam,alignment_advantage_current_noise_off,0.0722937421491175,0.018763426947749236,3
adam,alignment_advantage_noisy,-0.0035435758865717,0.0006532111106895671,3
adam,noise_degradation_dp,0.0008529804566577999,4.108152843492691e-05,3
adam,noise_degradation_syn,0.07738065689027167,0.017929771970593984,3
adam,clip_cosine_dp,0.6345289172237382,0.007273206653387155,3
adam,clip_cosine_syn,0.359759128321155,0.02180229170035266,3
adam,cos_dp_adam_current_noise_off,0.007633688314609366,0.0004784454751521086,3
adam,cos_syn_adam_current_noise_off,0.08036557226158036,0.01871437757266085,3
adam,cos_dp_adam_noisy,0.006922964948000966,0.0003317868260640285,3
adam,cos_syn_adam_noisy,0.0034884046813401337,0.0003602223029190616,3
adam,norm_ratio_dp_adam,2.1641217991750294,0.0632937046393154,3
adam,norm_ratio_syn_adam,0.039411042924547134,0.0011902414330526166,3
dp_adam,alignment_advantage_current_noise_off,0.0872088058207648,0.02815188124982977,3
dp_adam,alignment_advantage_noisy,-0.0030842441793768,0.00016370718983204832,3
dp_adam,noise_degradation_dp,0.0006163034250264666,4.299807017377866e-05,3
dp_adam,noise_degradation_syn,0.09101672838191893,0.028032905676209873,3
dp_adam,clip_cosine_dp,0.6826469809333161,0.007979183787784831,3
dp_adam,clip_cosine_syn,0.4667818600847405,0.07236121106074989,3
dp_adam,cos_dp_adam_current_noise_off,0.006124549537140567,0.00038435513382974635,3
dp_adam,cos_syn_adam_current_noise_off,0.09254756316761441,0.028272731917962177,3
dp_adam,cos_dp_adam_noisy,0.005425735375835433,0.0004119092059344099,3
dp_adam,cos_syn_adam_noisy,0.0022907892774675334,0.0005218994553432607,3
dp_adam,norm_ratio_dp_adam,0.6018623704919971,0.014945765976299529,3
dp_adam,norm_ratio_syn_adam,0.010958602063282667,0.0002756180621793867,3
