pair,metric,seed,delta,mean,std,n
syn_diag - dp_sgd,oracle_A_diag_old_conv2,all,,,,0
syn_diag - dp_sgd,oracle_A_diag_old_fc1,42,,,,
syn_diag - dp_sgd,oracle_A_diag_old_fc1,all,,,,0
syn_diag - dp_sgd,oracle_A_diag_old_fc2,42,,,,
syn_diag - dp_sgd,oracle_A_diag_old_fc2,all,,,,0
syn_diag - dp_sgd,oracle_A_diag_raw_conv1,42,,,,
syn_diag - dp_sgd,oracle_A_diag_raw_conv1,all,,,,0
syn_diag - dp_sgd,oracle_A_diag_raw_conv2,42,,,,
syn_diag - dp_sgd,oracle_A_diag_raw_conv2,all,,,,0
syn_diag - dp_sgd,oracle_A_diag_raw_fc1,42,,,,
syn_diag - dp_sgd,oracle_A_diag_raw_fc1,all,,,,0
syn_diag - dp_sgd,oracle_A_diag_raw_fc2,42,,,,
syn_diag - dp_sgd,oracle_A_diag_raw_fc2,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_new_conv1,42,,,,
syn_diag - dp_sgd,oracle_R_diag_new_conv1,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_new_conv2,42,,,,
syn_diag - dp_sgd,oracle_R_diag_new_conv2,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_new_fc1,42,,,,
syn_diag - dp_sgd,oracle_R_diag_new_fc1,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_new_fc2,42,,,,
syn_diag - dp_sgd,oracle_R_diag_new_fc2,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_old_conv1,42,,,,
syn_diag - dp_sgd,oracle_R_diag_old_conv1,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_old_conv2,42,,,,
syn_diag - dp_sgd,oracle_R_diag_old_conv2,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_old_fc1,42,,,,
syn_diag - dp_sgd,oracle_R_diag_old_fc1,all,,,,0
syn_diag - dp_sgd,oracle_R_diag_old_fc2,42,,,,
syn_diag - dp_sgd,oracle_R_diag_old_fc2,all,,,,0
