cos_dp_adam_noisy,cos_syn_adam_noisy,cos_syn_dp_noisy,alignment_advantage_noisy,cos_dp_adam_current_noise_off,cos_syn_adam_current_noise_off,cos_syn_dp_current_noise_off,alignment_advantage_current_noise_off,norm_ratio_dp_adam,norm_ratio_syn_adam,noise_degradation_dp,noise_degradation_syn,clip_cosine_dp,clip_cosine_syn,adam_direction_norm,dp_direction_norm,syn_direction_norm,loss_progress_adam,loss_progress_dp,loss_progress_syn,candidate_loss_adam,candidate_loss_dp,candidate_loss_syn,seed,trajectory,step,syn_refresh,batch_hash,noise_hash,reference_update_norm
0.023131991583553627,0.03202159479842406,0.7969825882651885,0.008889603214870437,0.910745612999453,0.5064039623382643,0.5140997019196523,-0.40434165066118866,1.0902051629580494,0.004562032740842644,0.8876136214158994,0.4743823675398403,0.9757624039222521,0.9182210191969652,417.2372955388795,454.8742537751399,1.9034502029490068,0.19698230500789304,0.032064369327194406,0.031198766930105874,2.226597785949707,2.294200897216797,2.3028476238250732,7,dp_adam,1,True,3d815f4a74928f497f631038d1969090bfdb5fb01885874cb3811426644951a0,33474ec4c6ad409c08769e9e100ef963f9963f858c7ac62a04ce081b49775efd,0.4548742402768523
0.03903034467172791,0.03413763835046254,0.658506681422042,-0.004892706321265372,0.1101869234793829,0.4552985057010579,0.11047656645573407,0.345111582221675,0.9267734533041706,0.0054727784439343695,0.071156578807655,0.4211608673505954,0.9556117046720842,0.9579632068926615,347.6924538994833,322.2321361882253,1.9028437668197369,,,,,,,7,dp_adam,2,False,98eb5e6e10447bf9b7c127da95c28bfde6022849d4c69f1002d6bb7fc61b983a,71458c7972bd95410714c06e58bc0b7519893ab157bea9c09a3845e70a33473b,0.32223215288494467
0.05127800174891737,0.03321008273944198,0.5856297313229489,-0.018067919009475387,0.08226118514516395,0.4764603402053799,0.08667780038200064,0.39419915506021597,0.7967996863185366,0.005770166577695916,0.03098318339624658,0.44325025746593794,0.9598884446981818,0.9397370046579395,330.7360460348469,263.53037773479906,1.9084020788695713,,,,,,,7,dp_adam,3,False,86a0a309019d5860c9cb4a25cdd62796b019c92d7ec0a886b7861bfb547f29b9,5d7b0df36785507f12ecf4a4cd002e3e254b6ebf9430ffc16a4ca21db1802fa3,0.26353037380615424
0.0571110581726597,0.025051371818919987,0.5417837931357617,-0.03205968635373971,0.07719571800768044,0.472781292042563,0.07835606646748168,0.39558557403488254,0.7199143217300795,0.005954975097612628,0.020084659835020738,0.447729920223643,0.9382051541186455,0.9264342271123166,318.4909167952724,229.28617234185973,1.896605478331663,,,,,,,7,dp_adam,4,False,205bb8c09e2a5d148b0b833b7e3c4830242173c5223bf8dd931d59583f33760e,0c7b8e69fef9d30862e49825d53ab7bb4636176906dfb3dc0469788d2ff7c128,0.2292861729099664
0.06017149192208915,0.023433343887937365,0.5141478760646725,-0.036738148034151784,0.07426963086922635,0.3904410623250317,0.06404183271082196,0.31617143145580534,0.6884894452295012,0.006351291531179985,0.014098138947137198,0.3670077184370943,0.9357366195171298,0.8696145072731076,299.3995132729496,206.13340479527574,1.9015735930898943,,,,,,,7,dp_adam,5,False,339ea13d75d0f893a0c1833eb68ed421a11354a12f3fbd78228e67b172c9f57b,912a495853db91dc0d60819e825d225c490502dc5c20ade3594cacfc13c6e8d4,0.20613342482512284
0.06345722767525407,0.024941296245502946,0.49270232289778665,-0.03851593142975112,0.0776118945370166,0.44446207924679515,0.0747030666436209,0.36685018470977854,0.6523068410245074,0.006550163478836751,0.014154666861762533,0.4195207830012922,0.9429602043984008,0.8844095539304204,289.9867507846228,189.16034134327842,1.8994606243359708,,,,,,,7,dp_adam,6,False,4b5d1b8178778b76bcc1b8587ed2181171a488d4044849fa186cf3e13c652913,c2ced2b54c031dd1370e82520b2cd2a7836149e59a6ca8478abc1043da967341,0.18916034302884055
0.0676919598365358,0.02679111287100279,0.47686619642827743,-0.040900846965533005,0.08019342672456208,0.4370132276237817,0.07549796344294037,0.3568198008992196,0.6152236169551707,0.006634081606805208,0.01250146688802628,0.4102221147527789,0.9392916072977517,0.8948543883465067,286.39030712012027,176.19408060734256,1.8999366688328845,,,,,,,7,dp_adam,7,False,37c21415227d26bdaca5c7a47f1324e3168f700288621f4f590e1f10ea9809d0,d2bec1961798f3d29f4db4e83c5f86844c527d9b1bf5bae434d63230006d18a5,0.1761940738110004
0.07085775988334198,0.026762898672098037,0.46751534455156757,-0.04409486121124394,0.08278766493893125,0.45104543765090105,0.07642290593971683,0.3682577727119698,0.595595507187397,0.006821300571395741,0.011929905055589274,0.424282538978803,0.9553363998156356,0.9452794815616384,278.6788637637901,165.97987920580206,1.9009522926278573,,,,,,,7,dp_adam,8,False,af420c38b58fbe37a3e30f0848a36b180aec8615699ce958071fcbebe0892382,5b3da3535d071fe08ce87c136ad65b2d00e6ad9a8ccbf0455a99b79898a46ba4,0.16597987693578733
0.07349772026429739,0.023765222622850635,0.46034935968339424,-0.04973249764144676,0.08649840017314103,0.42303477087623303,0.0755099045606402,0.336536370703092,0.5754072513186541,0.006943799687875169,0.01300067990884364,0.3992695482533824,0.9395811529881347,0.9240618046754053,274.2689962778933,157.81636927018874,1.9044689707482712,,,,,,,7,dp_adam,9,False,16a6ff9174775709cfdca04c9e63fe3d4f15ff8147f1872cfa825009496e543b,bbba731733b775d1442985df9e5e8cdd76c63e0c8e6daf8a36bf43c2da1f8cb6,0.15781637114999889
0.07653580546666554,0.024461549624870033,0.453696581684123,-0.05207425584179551,0.08745288657128052,0.37499027879304286,0.06668998084579256,0.28753739222176233,0.5596357676939472,0.0070548074119350795,0.010917081104614978,0.35052872916817285,0.9404913931669551,0.927725737450933,269.8521565092226,151.018918771906,1.9037549938679288,,,,,,,7,dp_adam,10,False,88c1c27bec38c83bc24d2c2cefa67b7ce8ef25d9ff104bb4bfe75b585362ddfa,738cf3137e3c85bad5f638fba87153a86f346206eff5a9f5c235c4a637f36209,0.15101892154086635
