seed,layer,interval_index,comparison,left_run,right_run,beta_oracle_left,beta_oracle_right,trajectory_log_difference,ratio
42,conv1,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,11.7963859189478,1.244009864867376,0.9769251477848505,9.482550140553277
42,conv1,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,13.980456706753328,1.6396909410693965,0.9307593616686051,8.526275505087172
42,conv2,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,6.424060534872342,2.209383382442371,0.46353854150942464,2.9076259855683535
42,conv2,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,2.1643694574570738,2.731825594342495,0.10112157284647999,0.7922795151855225
42,fc1,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.21609449850054,0.2721224827386923,0.10012071421693292,0.7941074780948784
42,fc1,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0116567361044882,0.3283595842051652,1.4497727324172751,0.03549991127167725
42,fc2,0,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.3258712628839856,0.1951241378460197,0.22273506653429742,1.6700715066894682
42,fc2,1,dp_sgd_vs_fisher_lr0p10,dp_sgd_lr0p10,dp_fisher_wiener_lr0p10,0.0106301466603321,0.2894891649559947,1.4350930571581624,0.03672036106065659
42,conv1,0,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,1.244009864867376,1.1554894084972225,0.032057855295680074,1.0766086263700845
42,conv1,1,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,1.6396909410693965,5.477373391521046,0.5238103504181618,0.29935715969403004
42,conv2,0,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,2.209383382442371,2.070851496117497,0.028122127103492822,1.0668960988195426
42,conv2,1,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,2.731825594342495,8.128964305566182,0.47358224696708073,0.33606071962598233
42,fc1,0,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,0.2721224827386923,0.2635453746173974,0.013909026155010662,1.032545090703059
42,fc1,1,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,0.3283595842051652,0.3038914766414021,0.033631177626288755,1.0805159388943177
42,fc2,0,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,0.1951241378460197,0.2557484686770642,0.11750204485551408,0.7629532988226985
42,fc2,1,fisher_lr0p10_vs_lr0p80_seed42,dp_fisher_wiener_lr0p10,dp_fisher_wiener_lr0p80,0.2894891649559947,0.2459438390422701,0.0707963656876206,1.1770539407829628
