,,filtered_gradient_norm,filtered_gradient_norm,filtered_gradient_norm,filtered_gradient_norm,filter_gradient_norm_ratio,filter_gradient_norm_ratio,filter_gradient_norm_ratio,filter_gradient_norm_ratio,parameter_update_norm,parameter_update_norm,parameter_update_norm,parameter_update_norm,gradient_norm_into_adam,gradient_norm_into_adam,gradient_norm_into_adam,gradient_norm_into_adam,adam_first_moment_norm,adam_first_moment_norm,adam_first_moment_norm,adam_first_moment_norm,adam_second_moment_sqrt_norm,adam_second_moment_sqrt_norm,adam_second_moment_sqrt_norm,adam_second_moment_sqrt_norm,adam_normalized_update_norm,adam_normalized_update_norm,adam_normalized_update_norm,adam_normalized_update_norm,signal_retention,signal_retention,signal_retention,signal_retention,noise_retention,noise_retention,noise_retention,noise_retention,cosine_filtered,cosine_filtered,cosine_filtered,cosine_filtered,snr_gain_db,snr_gain_db,snr_gain_db,snr_gain_db,relmse_filtered,relmse_filtered,relmse_filtered,relmse_filtered,beta_train,beta_train,beta_train,beta_train,gamma_model_raw,gamma_model_raw,gamma_model_raw,gamma_model_raw
,,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
run_id,layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dp_adam,conv1,0.053997248970659606,0.05328270416611665,0.0429269564388154,0.0854316288927724,,,,,0.0032189887470100522,0.0029002406201537,0.0023810259148401,0.0126489837958687,0.053997248970659606,0.05328270416611665,0.0429269564388154,0.0854316288927724,0.015088059494330052,0.01257084465096115,0.0052762136476771,0.055899515522084,0.03409902298076823,0.0366181546523981,0.0016684852707589,0.0446588547142451,3.218988556882393,2.900232282627777,2.3810216091105434,12.648993895821482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10697817589112481,0.0680631648808635,-0.2388509133909779,0.7724953003600389,0.0,0.0,0.0,0.0,690.5057931483857,486.44947891805003,0.759172088319601,5778.460213893103,,,,,,,,
dp_adam,conv2,0.28455799284361916,0.2843794765586468,0.2747456140506523,0.2992391207583298,,,,,0.01604130190799554,0.015634079240444902,0.0150369252566459,0.0681164419719001,0.28455799284361916,0.2843794765586468,0.2747456140506523,0.2992391207583298,0.0665420026535953,0.0654181594089551,0.02805517707629,0.0912746433446744,0.17510867570015107,0.1896294259108891,0.0088718260157743,0.236317434014756,16.041301275067774,15.634079150356857,15.03692405897393,68.11645560910632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03442881676315639,0.02253104301535845,-0.0343665643387601,0.2676221722484918,0.0,0.0,0.0,0.0,2768.9562314168293,2732.9686664157734,15.809881103057483,10513.057934991026,,,,,,,,
dp_adam,fc1,1.870307341905178,1.8703581717237976,1.8595885096628135,1.8798910931091863,,,,,0.10419165651341902,0.1027759768441881,0.1020729184387201,0.4481333792010696,1.870307341905178,1.8703581717237976,1.8595885096628135,1.8798910931091863,0.4285017801073729,0.4291884593808173,0.1870486911126186,0.4352143935388438,1.1491587807766728,1.2454255493201316,0.0591499901046626,1.5533630959741382,104.19165226599193,102.77597193959714,102.07291809949466,448.133415473841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020383001636882905,0.01810811037764615,0.0050938351627505,0.0667121715579142,0.0,0.0,0.0,0.0,3525.552694067983,3178.115500750926,247.2427279408807,17238.842928747992,,,,,,,,
dp_adam,fc2,0.15235558419537815,0.1521012266755133,0.1411096707964309,0.1679394675692296,,,,,0.008510620705622182,0.0081967377640096,0.0076727151602188,0.0359162005372151,0.15235558419537815,0.1521012266755133,0.1411096707964309,0.1679394675692296,0.03606054565838196,0.03492693924484955,0.0153520206078815,0.0564729695021928,0.09413624181101425,0.10195190025616915,0.0048547352046345,0.1263359248517891,8.510620444730275,8.196737448221272,7.672712914773587,35.916208559514274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16837391199455087,0.1552119514807368,-0.0146202744704113,0.4354762871750764,0.0,0.0,0.0,0.0,48.80845619935994,40.97162994054832,5.1241950691952045,435.1404597330141,,,,,,,,
dp_fisher_wiener_adaptive_beta_adam,conv1,0.0019801522278211207,0.00107342009128475,0.0003403668425338,0.0158612908595668,0.036991010024800555,0.020123418497129952,0.0070433918057933,0.2629515508039816,0.0014826799159325579,0.0009281616148837,0.0002292278812627,0.0126484582638283,0.0019801522278211207,0.00107342009128475,0.0003403668425338,0.0158612908595668,0.0007350183525583986,0.00028574088843115,8.946557529594277e-05,0.0072300965977198,0.0024689866184014085,0.0024837485635969,0.0003426296940892,0.0030209692850551,1.4826798621140194,0.9281605885083195,0.2292267786303401,12.648457966373288,0.012133902503599232,0.00181182925876885,0.0001378656613924,0.1502414951134847,0.002797957754852698,0.0004033287777654,5.048389342414996e-05,0.0501615551646999,0.12312331225189145,0.10479326583602591,-0.5251766684941779,0.7975830374613541,6.61512354652286,6.675198352088876,-0.7337941735988076,11.475003513981662,1.6681165374511135,1.2328850320886227,0.4847531916354505,14.742606898926232,0.14896804533454072,0.0723932830623141,0.0309618850933253,1.0,27.888472420159317,27.48579266958665,3.079720733696821,62.73592261589408
dp_fisher_wiener_adaptive_beta_adam,conv2,0.0056253931026452935,0.00414946298757345,3.558184329652387e-06,0.0334640748877388,0.01978045145419395,0.014571677022874301,1.2467240031074602e-05,0.1167637523970911,0.00840128245318459,0.00677063200283495,7.604847067868172e-06,0.0681025505041888,0.0056253931026452935,0.00414946298757345,3.558184329652387e-06,0.0334640748877388,0.001664660750281212,0.00095209053656935,7.941568878746235e-07,0.0147391811487393,0.006217054925096629,0.00611704461728475,0.0007469729452456,0.0074851928544497,8.401282210996026,6.770630983147605,0.0076054921952179,68.1025566609186,0.03586945834146784,0.01597923883121195,7.611168753987162e-09,0.3304159872659509,0.0007234176652968102,0.0002122691481983,1.5408773177703666e-10,0.0102982843470248,0.07788646829287157,0.07172430078042805,-0.3910610848589927,0.610311836351665,18.23346381281694,18.32077851492152,12.53796131259116,23.100472180804207,7.765243300096776,2.9473448892446292,0.6693083272131475,124.84785863405354,0.076833668201337,0.0204657303191996,1.8479032891412945e-05,1.0,456.10696776731857,7.497073130047582,1.447322040656153,7101.570713238806
dp_fisher_wiener_adaptive_beta_adam,fc1,0.024140646230834742,0.02170803497341445,0.0003796092779746,0.1137657477453677,0.012907354611762189,0.011601557579068951,0.0002031383033609,0.0606967377929965,0.05205939106532303,0.0476920502883342,0.0013047006893535,0.4447988075925114,0.024140646230834742,0.02170803497341445,0.0003796092779746,0.1137657477453677,0.005216025007565318,0.0046700416858339,8.843209035147712e-05,0.0203936928416023,0.021894070256677754,0.022065869865115,0.0023991202995752,0.0263644711355754,52.059389257943636,47.692048006894,1.3047009565648342,444.7988390081176,0.1222874058748288,0.1024077578108887,3.733035033115521e-05,0.6159627250142452,0.0001951736275776785,0.0001168801403172,3.993892771640249e-08,0.0019433726606688,0.2709610299808208,0.26789615533623323,-0.0535104379571115,0.6537500726664465,29.124776561349993,29.51692371319397,17.228881742818185,31.90998588515141,1.448198385857216,1.2682429944428555,0.6474128154128389,7.05307330789761,0.04807586345966606,0.0003113422219576,2.612701111257805e-06,1.0,8.495389177999588,2.7467695678182342,1.1287768442327788,124.78221945011262
dp_fisher_wiener_adaptive_beta_adam,fc2,0.09062332996737599,0.0902094432972694,0.0054049706672706,0.2439069019959306,0.49411459164188104,0.5109199202939663,0.0340034545972635,0.8305033202545047,0.006157051127174598,0.0055314757976377,0.0020349207337454,0.0347502342725066,0.09062332996737599,0.0902094432972694,0.0054049706672706,0.2439069019959306,0.013484034001393159,0.0133608805022101,0.0013867871556806,0.0296385222767423,0.05567963161682356,0.0587724809862346,0.0004869575151191,0.088833745690783,6.157050924619383,5.531476206688461,2.034921130371748,34.75023801914754,0.85886610102231,0.9028714773837356,0.0101650538141611,0.9714916257484454,0.011669270372676052,0.00811778597201775,0.0005341986888251,0.1184630512940961,0.9201834506747671,0.9591240461681299,0.0517463487097987,0.992427130216893,19.67829618853692,20.261555809632156,4.409742882093572,27.233620291134837,0.13769648721049785,0.08206342694219115,0.0156210244895878,1.0092266674043433,1.2301908992098016,0.0026959171618385,0.0006208079138024,27.677274329836955,1.0642878380246923,1.0182331654612993,1.0018219356753968,2.0369429951169624
